country;variable;percentile;year;value;age;pop
AD;acomnxi999;p0p100;1970;-1365.7;999;i
AD;acomnxi999;p0p100;1971;-1505.9;999;i
AD;acomnxi999;p0p100;1972;-1257.1;999;i
AD;acomnxi999;p0p100;1973;-1611.3;999;i
AD;acomnxi999;p0p100;1974;-1125.7;999;i
AD;acomnxi999;p0p100;1975;-1032.7;999;i
AD;acomnxi999;p0p100;1976;-1083.8;999;i
AD;acomnxi999;p0p100;1977;-1023.4;999;i
AD;acomnxi999;p0p100;1978;-994.4000000000001;999;i
AD;acomnxi999;p0p100;1979;-829.9000000000001;999;i
AD;acomnxi999;p0p100;1980;-937.8000000000001;999;i
AD;acomnxi999;p0p100;1981;-1027.9;999;i
AD;acomnxi999;p0p100;1982;-837.4000000000001;999;i
AD;acomnxi999;p0p100;1983;-733.3000000000001;999;i
AD;acomnxi999;p0p100;1984;-778.4000000000001;999;i
AD;acomnxi999;p0p100;1985;-765.5;999;i
AD;acomnxi999;p0p100;1986;-665.4000000000001;999;i
AD;acomnxi999;p0p100;1987;-654.3000000000001;999;i
AD;acomnxi999;p0p100;1988;-662.4000000000001;999;i
AD;acomnxi999;p0p100;1989;-634.2;999;i
AD;acomnxi999;p0p100;1990;-653.2;999;i
AD;acomnxi999;p0p100;1991;-616.3000000000001;999;i
AD;acomnxi999;p0p100;1992;-503.6;999;i
AD;acomnxi999;p0p100;1993;-517.1;999;i
AD;acomnxi999;p0p100;1994;-516.1;999;i
AD;acomnxi999;p0p100;1995;-540.5;999;i
AD;acomnxi999;p0p100;1996;-576.2;999;i
AD;acomnxi999;p0p100;1997;-653.9000000000001;999;i
AD;acomnxi999;p0p100;1998;-754.3000000000001;999;i
AD;acomnxi999;p0p100;1999;-661.9000000000001;999;i
AD;acomnxi999;p0p100;2000;-678.5;999;i
AD;acomnxi999;p0p100;2001;-734.6;999;i
AD;acomnxi999;p0p100;2002;-765.6;999;i
AD;acomnxi999;p0p100;2003;-778.4000000000001;999;i
AD;acomnxi999;p0p100;2004;-854.2;999;i
AD;acomnxi999;p0p100;2005;-871.6;999;i
AD;acomnxi999;p0p100;2006;-1167.8;999;i
AD;acomnxi999;p0p100;2007;-814.9000000000001;999;i
AD;acomnxi999;p0p100;2008;-649.2;999;i
AD;acomnxi999;p0p100;2009;-635.1;999;i
AD;acomnxi999;p0p100;2010;-624.7;999;i
AD;acomnxi999;p0p100;2011;-667.2;999;i
AD;acomnxi999;p0p100;2012;-745.9000000000001;999;i
AD;acomnxi999;p0p100;2013;-707.6;999;i
AD;acomnxi999;p0p100;2014;-820.7;999;i
AD;acomnxi999;p0p100;2015;-716.5;999;i
AD;acomnxi999;p0p100;2016;-762.8000000000001;999;i
AD;acomnxi999;p0p100;2017;-734.5;999;i
AD;acomnxi999;p0p100;2018;-710;999;i
AD;acomnxi999;p0p100;2019;-818.3000000000001;999;i
AD;acomnxi999;p0p100;2020;-348.8;999;i
AD;acomnxi999;p0p100;2021;-82.7;999;i
AD;acomnxi999;p0p100;2022;46.40000000000001;999;i
AD;acomnxi999;p0p100;2023;-50.6;999;i
AD;acomrxi999;p0p100;1970;188.2;999;i
