country;variable;percentile;year;value;age;pop
AI;acomnxi999;p0p100;1970;-549;999;i
AI;acomnxi999;p0p100;1971;-598;999;i
AI;acomnxi999;p0p100;1972;-559.5;999;i
AI;acomnxi999;p0p100;1973;-724.9000000000001;999;i
AI;acomnxi999;p0p100;1974;-531.3000000000001;999;i
AI;acomnxi999;p0p100;1975;-533.1;999;i
AI;acomnxi999;p0p100;1976;-575.9;999;i
AI;acomnxi999;p0p100;1977;-574.9;999;i
AI;acomnxi999;p0p100;1978;-625.7;999;i
AI;acomnxi999;p0p100;1979;-597.9;999;i
AI;acomnxi999;p0p100;1980;-704.7;999;i
AI;acomnxi999;p0p100;1981;-834;999;i
AI;acomnxi999;p0p100;1982;-709;999;i
AI;acomnxi999;p0p100;1983;-650.8000000000001;999;i
AI;acomnxi999;p0p100;1984;-718.8000000000001;999;i
AI;acomnxi999;p0p100;1985;-777.2;999;i
AI;acomnxi999;p0p100;1986;-747.8000000000001;999;i
AI;acomnxi999;p0p100;1987;-792.8000000000001;999;i
AI;acomnxi999;p0p100;1988;-883.5;999;i
AI;acomnxi999;p0p100;1989;-913.1;999;i
AI;acomnxi999;p0p100;1990;-838.5;999;i
AI;acomnxi999;p0p100;1991;-753.4000000000001;999;i
AI;acomnxi999;p0p100;1992;-934.6;999;i
AI;acomnxi999;p0p100;1993;-971.1;999;i
AI;acomnxi999;p0p100;1994;-1021.7;999;i
AI;acomnxi999;p0p100;1995;-954.4000000000001;999;i
AI;acomnxi999;p0p100;1996;-959.1;999;i
AI;acomnxi999;p0p100;1997;-987.2;999;i
AI;acomnxi999;p0p100;1998;-1018.7;999;i
AI;acomnxi999;p0p100;1999;-1051.1;999;i
AI;acomnxi999;p0p100;2000;-1406.5;999;i
AI;acomnxi999;p0p100;2001;-1404.6;999;i
AI;acomnxi999;p0p100;2002;-1375.2;999;i
AI;acomnxi999;p0p100;2003;-1495.9;999;i
AI;acomnxi999;p0p100;2004;-1701.7;999;i
AI;acomnxi999;p0p100;2005;-1764.3;999;i
AI;acomnxi999;p0p100;2006;-2438.2;999;i
AI;acomnxi999;p0p100;2007;-2199.9;999;i
AI;acomnxi999;p0p100;2008;-2152.7;999;i
AI;acomnxi999;p0p100;2009;-1713.7;999;i
AI;acomnxi999;p0p100;2010;-1602.3;999;i
AI;acomnxi999;p0p100;2011;-1942.1;999;i
AI;acomnxi999;p0p100;2012;-2137.2;999;i
AI;acomnxi999;p0p100;2013;-2150;999;i
AI;acomnxi999;p0p100;2014;-1735.8;999;i
AI;acomnxi999;p0p100;2015;-994.2;999;i
AI;acomnxi999;p0p100;2016;-1113.6;999;i
AI;acomnxi999;p0p100;2017;-399.5;999;i
AI;acomnxi999;p0p100;2018;-343.9;999;i
AI;acomnxi999;p0p100;2019;14;999;i
AI;acomnxi999;p0p100;2020;-340.3;999;i
AI;acomnxi999;p0p100;2021;18.5;999;i
AI;acomnxi999;p0p100;2022;31.8;999;i
AI;acomnxi999;p0p100;2023;53.90000000000001;999;i
AI;acomrxi999;p0p100;1970;17.7;999;i
AI;acomrxi999;p0p100;1971;18.3;999;i
AI;acomrxi999;p0p100;1972;20.8;999;i
AI;acomrxi999;p0p100;1973;23.2;999;i
AI;acomrxi999;p0p100;1974;24.5;999;i
AI;acomrxi999;p0p100;1975;25.4;999;i
AI;acomrxi999;p0p100;1976;26.3;999;i
AI;acomrxi999;p0p100;1977;31.4;999;i
AI;acomrxi999;p0p100;1978;35.6;999;i
AI;acomrxi999;p0p100;1979;33.9;999;i
AI;acomrxi999;p0p100;1980;35;999;i
AI;acomrxi999;p0p100;1981;42.1;999;i
AI;acomrxi999;p0p100;1982;41.2;999;i
AI;acomrxi999;p0p100;1983;41.5;999;i
AI;acomrxi999;p0p100;1984;42.8;999;i
AI;acomrxi999;p0p100;1985;44.1;999;i
AI;acomrxi999;p0p100;1986;44.7;999;i
AI;acomrxi999;p0p100;1987;52.2;999;i
AI;acomrxi999;p0p100;1988;57.40000000000001;999;i
AI;acomrxi999;p0p100;1989;69.7;999;i
AI;acomrxi999;p0p100;1990;83;999;i
AI;acomrxi999;p0p100;1991;31.4;999;i
AI;acomrxi999;p0p100;1992;48.40000000000001;999;i
AI;acomrxi999;p0p100;1993;44.8;999;i
AI;acomrxi999;p0p100;1994;50.1;999;i
AI;acomrxi999;p0p100;1995;47.6;999;i
AI;acomrxi999;p0p100;1996;50;999;i
AI;acomrxi999;p0p100;1997;58.8;999;i
AI;acomrxi999;p0p100;1998;35.7;999;i
AI;acomrxi999;p0p100;1999;64.60000000000001;999;i
AI;acomrxi999;p0p100;2000;62.7;999;i
AI;acomrxi999;p0p100;2001;68;999;i
AI;acomrxi999;p0p100;2002;53.5;999;i
AI;acomrxi999;p0p100;2003;52.1;999;i
AI;acomrxi999;p0p100;2004;54.2;999;i
AI;acomrxi999;p0p100;2005;73.2;999;i
AI;acomrxi999;p0p100;2006;76;999;i
AI;acomrxi999;p0p100;2007;65.3;999;i
AI;acomrxi999;p0p100;2008;69.4;999;i
AI;acomrxi999;p0p100;2009;91.7;999;i
AI;acomrxi999;p0p100;2010;111.6;999;i
AI;acomrxi999;p0p100;2011;63.6;999;i
AI;acomrxi999;p0p100;2012;57.7;999;i
AI;acomrxi999;p0p100;2013;54.7;999;i
AI;acomrxi999;p0p100;2014;54.8;999;i
AI;acomrxi999;p0p100;2015;109.3;999;i
AI;acomrxi999;p0p100;2016;95.9;999;i
AI;acomrxi999;p0p100;2017;55.8;999;i
AI;acomrxi999;p0p100;2018;69.60000000000001;999;i
AI;acomrxi999;p0p100;2019;97.7;999;i
AI;acomrxi999;p0p100;2020;85.9;999;i
AI;acomrxi999;p0p100;2021;99.80000000000001;999;i
AI;acomrxi999;p0p100;2022;84.2;999;i
AI;acomrxi999;p0p100;2023;115.1;999;i
AI;aconfci999;p0p100;1970;3350.4;999;i
AI;aconfci999;p0p100;1971;3463.7;999;i
AI;aconfci999;p0p100;1972;3596.1;999;i
AI;aconfci999;p0p100;1973;3722.1;999;i
AI;aconfci999;p0p100;1974;3832.9;999;i
AI;aconfci999;p0p100;1975;3937.1;999;i
AI;aconfci999;p0p100;1976;4051.5;999;i
AI;aconfci999;p0p100;1977;4204.2;999;i
AI;aconfci999;p0p100;1978;4405.2;999;i
AI;aconfci999;p0p100;1979;4631.8;999;i
AI;aconfci999;p0p100;1980;4845.1;999;i
AI;aconfci999;p0p100;1981;5030.5;999;i
AI;aconfci999;p0p100;1982;5206;999;i
AI;aconfci999;p0p100;1983;5438.900000000001;999;i
AI;aconfci999;p0p100;1984;5734.200000000001;999;i
AI;aconfci999;p0p100;1985;6078.8;999;i
AI;aconfci999;p0p100;1986;6539.200000000001;999;i
AI;aconfci999;p0p100;1987;7116.1;999;i
AI;aconfci999;p0p100;1988;7760.3;999;i
AI;aconfci999;p0p100;1989;8391.4;999;i
AI;aconfci999;p0p100;1990;8969.6;999;i
AI;aconfci999;p0p100;1991;9421.2;999;i
AI;aconfci999;p0p100;1992;9945.800000000001;999;i
AI;aconfci999;p0p100;1993;10466;999;i
AI;aconfci999;p0p100;1994;10885.9;999;i
AI;aconfci999;p0p100;1995;11195.8;999;i
AI;aconfci999;p0p100;1996;11485.6;999;i
AI;aconfci999;p0p100;1997;11815.9;999;i
AI;aconfci999;p0p100;1998;12109.3;999;i
AI;aconfci999;p0p100;1999;12273.2;999;i
AI;aconfci999;p0p100;2000;12324;999;i
AI;aconfci999;p0p100;2001;12423.4;999;i
AI;aconfci999;p0p100;2002;12787.7;999;i
AI;aconfci999;p0p100;2003;13553.4;999;i
AI;aconfci999;p0p100;2004;14739.3;999;i
AI;aconfci999;p0p100;2005;16214.2;999;i
AI;aconfci999;p0p100;2006;17643;999;i
AI;aconfci999;p0p100;2007;18494.3;999;i
AI;aconfci999;p0p100;2008;18395.3;999;i
AI;aconfci999;p0p100;2009;17525.6;999;i
AI;aconfci999;p0p100;2010;16477;999;i
AI;aconfci999;p0p100;2011;15656.5;999;i
AI;aconfci999;p0p100;2012;15104.2;999;i
AI;aconfci999;p0p100;2013;14626;999;i
AI;aconfci999;p0p100;2014;14124.5;999;i
AI;aconfci999;p0p100;2015;13682.3;999;i
AI;aconfci999;p0p100;2016;13287.6;999;i
AI;aconfci999;p0p100;2017;12902.9;999;i
AI;aconfci999;p0p100;2018;12544;999;i
AI;aconfci999;p0p100;2019;12149.4;999;i
AI;aconfci999;p0p100;2020;11895.2;999;i
AI;aconfci999;p0p100;2021;12258.7;999;i
AI;aconfci999;p0p100;2022;13305.4;999;i
AI;aconfci999;p0p100;2023;14835.6;999;i
AI;adefgei992;p0p100;1980;1021.1;992;i
AI;adefgei992;p0p100;1981;1144.5;992;i
AI;adefgei992;p0p100;1982;1268.1;992;i
AI;adefgei992;p0p100;1983;1048.2;992;i
AI;adefgei992;p0p100;1984;1009.9;992;i
AI;adefgei992;p0p100;1985;1079.3;992;i
AI;adefgei992;p0p100;1986;1094.5;992;i
AI;adefgei992;p0p100;1987;1107.7;992;i
AI;adefgei992;p0p100;1988;1249.1;992;i
AI;adefgei992;p0p100;1989;1214.7;992;i
AI;adefgei992;p0p100;1990;1541;992;i
AI;adefgei992;p0p100;1991;898.7;992;i
AI;adefgei992;p0p100;1992;1146.2;992;i
AI;adefgei992;p0p100;1993;1124.1;992;i
AI;adefgei992;p0p100;1994;1234.5;992;i
AI;adefgei992;p0p100;1995;1116.8;992;i
AI;adefgei992;p0p100;1996;1156.3;992;i
AI;adefgei992;p0p100;1997;1240.8;992;i
AI;adefgei992;p0p100;1998;1306.2;992;i
AI;adefgei992;p0p100;1999;1340.8;992;i
AI;adefgei992;p0p100;2000;1337.2;992;i
AI;adefgei992;p0p100;2001;1258.7;992;i
AI;adefgei992;p0p100;2002;1211.1;992;i
AI;adefgei992;p0p100;2003;1184.1;992;i
AI;adefgei992;p0p100;2004;1265.1;992;i
AI;adefgei992;p0p100;2005;1363.4;992;i
AI;adefgei992;p0p100;2006;1580.7;992;i
AI;adefgei992;p0p100;2007;1756.1;992;i
AI;adefgei992;p0p100;2008;1772.9;992;i
AI;adefgei992;p0p100;2009;1483;992;i
AI;adefgei992;p0p100;2010;1354.4;992;i
AI;adefgei992;p0p100;2011;1364;992;i
AI;adefgei992;p0p100;2012;1329.4;992;i
AI;adefgei992;p0p100;2013;1328.6;992;i
AI;adefgei992;p0p100;2014;1275.5;992;i
AI;adefgei992;p0p100;2015;1272.3;992;i
AI;adefgei992;p0p100;2016;1169.9;992;i
AI;adefgei992;p0p100;2017;1089.4;992;i
AI;adefgei992;p0p100;2018;1195.4;992;i
AI;adefgei992;p0p100;2019;1180.5;992;i
AI;adefgei992;p0p100;2020;884.2;992;i
AI;adefgei992;p0p100;2021;895.4000000000001;992;i
AI;adefgei992;p0p100;2022;1047.7;992;i
AI;adefgei992;p0p100;2023;1295.6;992;i
AI;adefgei999;p0p100;1980;522.5;999;i
AI;adefgei999;p0p100;1981;595.7;999;i
AI;adefgei999;p0p100;1982;670.2;999;i
AI;adefgei999;p0p100;1983;562.3000000000001;999;i
AI;adefgei999;p0p100;1984;549.1;999;i
AI;adefgei999;p0p100;1985;596.9;999;i
AI;adefgei999;p0p100;1986;616.7;999;i
AI;adefgei999;p0p100;1987;634.7;999;i
AI;adefgei999;p0p100;1988;726.5;999;i
AI;adefgei999;p0p100;1989;715.3000000000001;999;i
AI;adefgei999;p0p100;1990;917.7;999;i
AI;adefgei999;p0p100;1991;540.4;999;i
AI;adefgei999;p0p100;1992;696.1;999;i
AI;adefgei999;p0p100;1993;690.2;999;i
AI;adefgei999;p0p100;1994;764.6;999;i
AI;adefgei999;p0p100;1995;696.3000000000001;999;i
AI;adefgei999;p0p100;1996;725;999;i
AI;adefgei999;p0p100;1997;780.7;999;i
AI;adefgei999;p0p100;1998;823.1;999;i
AI;adefgei999;p0p100;1999;845.2;999;i
AI;adefgei999;p0p100;2000;842.4000000000001;999;i
AI;adefgei999;p0p100;2001;795.4000000000001;999;i
AI;adefgei999;p0p100;2002;773.5;999;i
AI;adefgei999;p0p100;2003;766.1;999;i
AI;adefgei999;p0p100;2004;829.8000000000001;999;i
AI;adefgei999;p0p100;2005;906.6;999;i
AI;adefgei999;p0p100;2006;1065.1;999;i
AI;adefgei999;p0p100;2007;1197.3;999;i
AI;adefgei999;p0p100;2008;1219.8;999;i
AI;adefgei999;p0p100;2009;1026.9;999;i
AI;adefgei999;p0p100;2010;941.3000000000001;999;i
AI;adefgei999;p0p100;2011;950.4000000000001;999;i
AI;adefgei999;p0p100;2012;930.1;999;i
AI;adefgei999;p0p100;2013;940.2;999;i
AI;adefgei999;p0p100;2014;920.7;999;i
AI;adefgei999;p0p100;2015;935.5;999;i
AI;adefgei999;p0p100;2016;870.8000000000001;999;i
AI;adefgei999;p0p100;2017;817.2;999;i
AI;adefgei999;p0p100;2018;902.2;999;i
AI;adefgei999;p0p100;2019;897.6;999;i
AI;adefgei999;p0p100;2020;677.4000000000001;999;i
AI;adefgei999;p0p100;2021;690;999;i
AI;adefgei999;p0p100;2022;810.4000000000001;999;i
AI;adefgei999;p0p100;2023;1004.2;999;i
AI;aecogei992;p0p100;1980;2812.2;992;i
AI;aecogei992;p0p100;1981;2847.6;992;i
AI;aecogei992;p0p100;1982;3032.8;992;i
AI;aecogei992;p0p100;1983;2951.3;992;i
AI;aecogei992;p0p100;1984;2936.4;992;i
AI;aecogei992;p0p100;1985;3097.4;992;i
AI;aecogei992;p0p100;1986;3318.6;992;i
AI;aecogei992;p0p100;1987;3645.4;992;i
AI;aecogei992;p0p100;1988;3957.8;992;i
AI;aecogei992;p0p100;1989;3806.8;992;i
AI;aecogei992;p0p100;1990;4347.400000000001;992;i
AI;aecogei992;p0p100;1991;3061.1;992;i
AI;aecogei992;p0p100;1992;4106;992;i
AI;aecogei992;p0p100;1993;4187.5;992;i
AI;aecogei992;p0p100;1994;4308;992;i
AI;aecogei992;p0p100;1995;3893.1;992;i
AI;aecogei992;p0p100;1996;4021.4;992;i
AI;aecogei992;p0p100;1997;4192.400000000001;992;i
AI;aecogei992;p0p100;1998;4617.6;992;i
AI;aecogei992;p0p100;1999;4588.6;992;i
AI;aecogei992;p0p100;2000;4536.400000000001;992;i
AI;aecogei992;p0p100;2001;4389.900000000001;992;i
AI;aecogei992;p0p100;2002;4167.1;992;i
AI;aecogei992;p0p100;2003;4277.7;992;i
AI;aecogei992;p0p100;2004;5001.6;992;i
AI;aecogei992;p0p100;2005;5878.200000000001;992;i
AI;aecogei992;p0p100;2006;7071.8;992;i
AI;aecogei992;p0p100;2007;8033.3;992;i
AI;aecogei992;p0p100;2008;8650.5;992;i
AI;aecogei992;p0p100;2009;6986.5;992;i
AI;aecogei992;p0p100;2010;6318;992;i
AI;aecogei992;p0p100;2011;6848;992;i
AI;aecogei992;p0p100;2012;5906.8;992;i
AI;aecogei992;p0p100;2013;5733.8;992;i
AI;aecogei992;p0p100;2014;5702.6;992;i
AI;aecogei992;p0p100;2015;5292.8;992;i
AI;aecogei992;p0p100;2016;4813.900000000001;992;i
AI;aecogei992;p0p100;2017;4242.5;992;i
