country;variable;percentile;year;value;age;pop
AW;ehfghgi999;p0p100;1980;1.24789034504671;999;i
AW;ehfghgi999;p0p100;1981;1.2480560912341;999;i
AW;ehfghgi999;p0p100;1982;1.25234320838139;999;i
AW;ehfghgi999;p0p100;1983;1.19355954038508;999;i
AW;ehfghgi999;p0p100;1984;1.2773875846532;999;i
AW;ehfghgi999;p0p100;1985;1.277843431658;999;i
AW;ehfghgi999;p0p100;1986;1.0411813029062;999;i
AW;ehfghgi999;p0p100;1987;1.10058465286191;999;i
AW;ehfghgi999;p0p100;1988;1.12407280259144;999;i
AW;ehfghgi999;p0p100;1989;1.11628692653586;999;i
AW;ehfghgi999;p0p100;1990;1.18654643716195;999;i
AW;ehfghgi999;p0p100;1991;1.1965473702144;999;i
AW;ehfghgi999;p0p100;1992;1.17767559596913;999;i
AW;ehfghgi999;p0p100;1993;1.19288651621501;999;i
AW;ehfghgi999;p0p100;1994;1.17886172562701;999;i
AW;ehfghgi999;p0p100;1995;1.18563508387481;999;i
AW;ehfghgi999;p0p100;1996;1.21897469134726;999;i
AW;ehfghgi999;p0p100;1997;1.20053814537398;999;i
AW;ehfghgi999;p0p100;1998;1.21469863869876;999;i
AW;ehfghgi999;p0p100;1999;1.22195411289025;999;i
AW;ehfghgi999;p0p100;2000;1.29287317886059;999;i
AW;ehfghgi999;p0p100;2001;1.27545379408065;999;i
AW;ehfghgi999;p0p100;2002;1.27535348012502;999;i
AW;ehfghgi999;p0p100;2003;1.27019562062714;999;i
AW;ehfghgi999;p0p100;2004;1.26845041330048;999;i
AW;ehfghgi999;p0p100;2005;1.27100140531113;999;i
AW;ehfghgi999;p0p100;2006;1.26461455943844;999;i
AW;ehfghgi999;p0p100;2007;1.2763165755976;999;i
AW;ehfghgi999;p0p100;2008;1.2650820060848;999;i
AW;ehfghgi999;p0p100;2009;1.26088474499066;999;i
AW;ehfghgi999;p0p100;2010;1.2561321705835;999;i
AW;ehfghgi999;p0p100;2011;1.22792144962652;999;i
AW;ehfghgi999;p0p100;2012;1.15192936533116;999;i
AW;ehfghgi999;p0p100;2013;1.11131648529108;999;i
AW;ehfghgi999;p0p100;2014;1.10576870336785;999;i
AW;ehfghgi999;p0p100;2015;1.12657603237547;999;i
AW;ehfghgi999;p0p100;2016;1.12647702774166;999;i
AW;ehfghgi999;p0p100;2017;1.12637802310784;999;i
AW;ehfghgi999;p0p100;2018;1.12627901847402;999;i
AW;ehfghgi999;p0p100;2019;1.12618001384021;999;i
AW;ehfghgi999;p0p100;2020;1.0698710131482;999;i
AW;ehfghoi999;p0p100;1990;0.146969451900523;999;i
AW;ehfghoi999;p0p100;1991;0.144212119733842;999;i
AW;ehfghoi999;p0p100;1992;0.139480876380593;999;i
AW;ehfghoi999;p0p100;1993;0.141169966644022;999;i
AW;ehfghoi999;p0p100;1994;0.134421221854783;999;i
AW;ehfghoi999;p0p100;1995;0.13256350661633;999;i
AW;ehfghoi999;p0p100;1996;0.136233786624285;999;i
AW;ehfghoi999;p0p100;1997;0.134498351733534;999;i
AW;ehfghoi999;p0p100;1998;0.13207224996466;999;i
AW;ehfghoi999;p0p100;1999;0.13134631890651;999;i
AW;ehfghoi999;p0p100;2000;0.146987838019561;999;i
AW;ehfghoi999;p0p100;2001;0.143895607599272;999;i
AW;ehfghoi999;p0p100;2002;0.143909341483102;999;i
AW;ehfghoi999;p0p100;2003;0.146026652812552;999;i
AW;ehfghoi999;p0p100;2004;0.146583067246857;999;i
AW;ehfghoi999;p0p100;2005;0.148483823914655;999;i
AW;ehfghoi999;p0p100;2006;0.149036809640016;999;i
AW;ehfghoi999;p0p100;2007;0.152365674621206;999;i
AW;ehfghoi999;p0p100;2008;0.15062674539268;999;i
AW;ehfghoi999;p0p100;2009;0.151228327807147;999;i
AW;ehfghoi999;p0p100;2010;0.149594787312219;999;i
AW;ehfghoi999;p0p100;2011;0.140417696799354;999;i
AW;ehfghoi999;p0p100;2012;0.128617839303723;999;i
AW;ehfghoi999;p0p100;2013;0.126827050909339;999;i
AW;ehfghoi999;p0p100;2014;0.12771285529264;999;i
AW;ehfghoi999;p0p100;2015;0.12909032447418;999;i
AW;ehfghoi999;p0p100;2016;0.129078979886743;999;i
AW;ehfghoi999;p0p100;2017;0.129067635299306;999;i
AW;ehfghoi999;p0p100;2018;0.129056290711869;999;i
AW;ehfghoi999;p0p100;2019;0.129044946124432;999;i
AW;ehfghoi999;p0p100;2020;0.12259269881821;999;i
AW;enfcari999;p0p100;1990;1.80511902695903;999;i
AW;enfcari999;p0p100;1991;1.8049607390475;999;i
AW;enfcari999;p0p100;1992;1.80480245113598;999;i
AW;enfcari999;p0p100;1993;1.80464416322445;999;i
AW;enfcari999;p0p100;1994;1.80448587531292;999;i
AW;enfcari999;p0p100;1995;1.8043275874014;999;i
AW;enfcari999;p0p100;1996;1.80416929948987;999;i
AW;enfcari999;p0p100;1997;1.80401101157834;999;i
AW;enfcari999;p0p100;1998;1.80385272366681;999;i
AW;enfcari999;p0p100;1999;1.80369443575529;999;i
AW;enfcari999;p0p100;2000;1.80353614784376;999;i
AW;enfcari999;p0p100;2001;1.80337785993223;999;i
AW;enfcari999;p0p100;2002;1.80321957202071;999;i
AW;enfcari999;p0p100;2003;1.80306128410918;999;i
AW;enfcari999;p0p100;2004;1.80290299619765;999;i
AW;enfcari999;p0p100;2005;1.80274470828613;999;i
AW;enfcari999;p0p100;2006;1.8025864203746;999;i
AW;enfcari999;p0p100;2007;1.80242813246307;999;i
AW;enfcari999;p0p100;2008;1.80226984455155;999;i
AW;enfcari999;p0p100;2009;1.80211155664002;999;i
AW;enfcari999;p0p100;2010;1.80195326872849;999;i
AW;enfcari999;p0p100;2011;1.80179498081696;999;i
AW;enfcari999;p0p100;2012;1.80163669290544;999;i
AW;enfcari999;p0p100;2013;1.80147840499391;999;i
AW;enfcari999;p0p100;2014;1.80132011708238;999;i
AW;enfcari999;p0p100;2015;1.80116182917086;999;i
AW;enfcari999;p0p100;2016;1.80100354125933;999;i
AW;enfcari999;p0p100;2017;1.8008452533478;999;i
AW;enfcari999;p0p100;2018;1.80068696543628;999;i
AW;enfcari999;p0p100;2019;1.80052867752475;999;i
AW;enfcari999;p0p100;2020;1.71050224364851;999;i
AW;enfghgi999;p0p100;1980;2.1070902905561;999;i
AW;enfghgi999;p0p100;1981;2.10690568515973;999;i
AW;enfghgi999;p0p100;1982;2.10672107976337;999;i
AW;enfghgi999;p0p100;1983;2.106536474367;999;i
AW;enfghgi999;p0p100;1984;2.10635186897063;999;i
AW;enfghgi999;p0p100;1985;2.10616726357426;999;i
AW;enfghgi999;p0p100;1986;2.10598265817789;999;i
AW;enfghgi999;p0p100;1987;2.10579805278152;999;i
AW;enfghgi999;p0p100;1988;2.10561344738515;999;i
AW;enfghgi999;p0p100;1989;2.10542884198879;999;i
AW;enfghgi999;p0p100;1990;2.10524423659242;999;i
AW;enfghgi999;p0p100;1991;2.10505963119605;999;i
AW;enfghgi999;p0p100;1992;2.10487502579968;999;i
AW;enfghgi999;p0p100;1993;2.10469042040331;999;i
AW;enfghgi999;p0p100;1994;2.10450581500694;999;i
AW;enfghgi999;p0p100;1995;2.10432120961057;999;i
AW;enfghgi999;p0p100;1996;2.1041366042142;999;i
AW;enfghgi999;p0p100;1997;2.10395199881784;999;i
