country;variable;percentile;year;value;age;pop
BM;acfccoi999;p0p100;2000;8461.6;999;i
BM;acfccoi999;p0p100;2001;9266.6;999;i
BM;acfccoi999;p0p100;2002;6281.900000000001;999;i
BM;acfccoi999;p0p100;2003;7942;999;i
BM;acfccoi999;p0p100;2004;8629.7;999;i
BM;acfccoi999;p0p100;2005;6624.900000000001;999;i
BM;acfccoi999;p0p100;2006;5396;999;i
BM;acfccoi999;p0p100;2007;5196.700000000001;999;i
BM;acfccoi999;p0p100;2008;5114.1;999;i
BM;acfccoi999;p0p100;2009;5343.5;999;i
BM;acfccoi999;p0p100;2010;5543.1;999;i
BM;acfccoi999;p0p100;2011;5718.8;999;i
BM;acfccoi999;p0p100;2012;4941;999;i
BM;acfccoi999;p0p100;2013;4891.900000000001;999;i
BM;acfccoi999;p0p100;2014;4682.1;999;i
BM;acfccoi999;p0p100;2015;4978.8;999;i
BM;acfccoi999;p0p100;2016;4658;999;i
BM;acfccoi999;p0p100;2017;4793.900000000001;999;i
BM;acfccoi999;p0p100;2018;4524.5;999;i
BM;acfccoi999;p0p100;2019;4424.400000000001;999;i
BM;acfccoi999;p0p100;2020;4256.400000000001;999;i
BM;acfccoi999;p0p100;2021;3885.3;999;i
BM;acomrxi999;p0p100;1970;14172.6;999;i
BM;acomrxi999;p0p100;1971;15507.3;999;i
BM;acomrxi999;p0p100;1972;16080.5;999;i
BM;acomrxi999;p0p100;1973;17539.5;999;i
BM;acomrxi999;p0p100;1974;18711.1;999;i
BM;acomrxi999;p0p100;1975;19566.2;999;i
BM;acomrxi999;p0p100;1976;21781.6;999;i
BM;acomrxi999;p0p100;1977;27564.8;999;i
BM;acomrxi999;p0p100;1978;29499.8;999;i
BM;acomrxi999;p0p100;1979;26303.6;999;i
BM;acomrxi999;p0p100;1980;27963.3;999;i
BM;acomrxi999;p0p100;1981;33026.7;999;i
BM;acomrxi999;p0p100;1982;30728.9;999;i
BM;acomrxi999;p0p100;1983;31409.6;999;i
BM;acomrxi999;p0p100;1984;31313.8;999;i
BM;acomrxi999;p0p100;1985;28733.1;999;i
BM;acomrxi999;p0p100;1986;28403.2;999;i
BM;acomrxi999;p0p100;1987;32076.4;999;i
BM;acomrxi999;p0p100;1988;32728.6;999;i
BM;acomrxi999;p0p100;1989;37948.8;999;i
BM;acomrxi999;p0p100;1990;34773;999;i
BM;acomrxi999;p0p100;1991;38014.1;999;i
BM;acomrxi999;p0p100;1992;52075.9;999;i
BM;acomrxi999;p0p100;1993;44695.7;999;i
BM;acomrxi999;p0p100;1994;42100.3;999;i
BM;acomrxi999;p0p100;1995;36491.2;999;i
BM;acomrxi999;p0p100;1996;42053.9;999;i
BM;acomrxi999;p0p100;1997;43065.60000000001;999;i
BM;acomrxi999;p0p100;1998;40974.7;999;i
BM;acomrxi999;p0p100;1999;45498.2;999;i
BM;acomrxi999;p0p100;2000;43512.7;999;i
BM;acomrxi999;p0p100;2001;51997.3;999;i
BM;acomrxi999;p0p100;2002;52143.7;999;i
BM;acomrxi999;p0p100;2003;62248.4;999;i
BM;acomrxi999;p0p100;2004;31343.6;999;i
BM;acomrxi999;p0p100;2005;30914.1;999;i
BM;acomrxi999;p0p100;2006;28635.2;999;i
BM;acomrxi999;p0p100;2007;34074.5;999;i
BM;acomrxi999;p0p100;2008;34626.1;999;i
BM;acomrxi999;p0p100;2009;38146.6;999;i
BM;acomrxi999;p0p100;2010;34347.7;999;i
BM;acomrxi999;p0p100;2011;28588.4;999;i
BM;acomrxi999;p0p100;2012;24620.5;999;i
BM;acomrxi999;p0p100;2013;24628.4;999;i
BM;acomrxi999;p0p100;2014;26345.6;999;i
BM;acomrxi999;p0p100;2015;28266.5;999;i
BM;acomrxi999;p0p100;2016;27479.8;999;i
BM;acomrxi999;p0p100;2017;28397.6;999;i
BM;acomrxi999;p0p100;2018;27069.4;999;i
BM;acomrxi999;p0p100;2019;27920.1;999;i
BM;acomrxi999;p0p100;2020;27884.4;999;i
BM;acomrxi999;p0p100;2021;27352.6;999;i
BM;acomrxi999;p0p100;2022;31181.7;999;i
BM;acomrxi999;p0p100;2023;28967.1;999;i
BM;acongoi992;p0p100;2000;23796.9;992;i
BM;acongoi992;p0p100;2001;24991.8;992;i
BM;acongoi992;p0p100;2002;23802.7;992;i
BM;acongoi992;p0p100;2003;25495.7;992;i
BM;acongoi992;p0p100;2004;27597.2;992;i
BM;acongoi992;p0p100;2005;25493.2;992;i
BM;acongoi992;p0p100;2006;25598.8;992;i
BM;acongoi992;p0p100;2007;27108.1;992;i
BM;acongoi992;p0p100;2008;27619.9;992;i
BM;acongoi992;p0p100;2009;28877.2;992;i
BM;acongoi992;p0p100;2010;29499.5;992;i
BM;acongoi992;p0p100;2011;28628.7;992;i
BM;acongoi992;p0p100;2012;25543.8;992;i
BM;acongoi992;p0p100;2013;27210.4;992;i
BM;acongoi992;p0p100;2014;25670.8;992;i
BM;acongoi992;p0p100;2015;24352.4;992;i
BM;acongoi992;p0p100;2016;23810.1;992;i
