country;variable;percentile;year;value;age;pop
BQ;acomnxi999;p0p100;1970;-28.6;999;i
BQ;acomnxi999;p0p100;1971;-43.8;999;i
BQ;acomnxi999;p0p100;1972;-22.3;999;i
BQ;acomnxi999;p0p100;1973;-56.2;999;i
BQ;acomnxi999;p0p100;1974;4.9;999;i
BQ;acomnxi999;p0p100;1975;13.7;999;i
BQ;acomnxi999;p0p100;1976;25.1;999;i
BQ;acomnxi999;p0p100;1977;100;999;i
BQ;acomnxi999;p0p100;1978;139.9;999;i
BQ;acomnxi999;p0p100;1979;188.2;999;i
BQ;acomnxi999;p0p100;1980;124.2;999;i
BQ;acomnxi999;p0p100;1981;162.3;999;i
BQ;acomnxi999;p0p100;1982;320.9;999;i
BQ;acomnxi999;p0p100;1983;402.6;999;i
BQ;acomnxi999;p0p100;1984;385.1;999;i
BQ;acomnxi999;p0p100;1985;238.2;999;i
BQ;acomnxi999;p0p100;1986;453;999;i
BQ;acomnxi999;p0p100;1987;563;999;i
BQ;acomnxi999;p0p100;1988;599.3000000000001;999;i
BQ;acomnxi999;p0p100;1989;790;999;i
BQ;acomnxi999;p0p100;1990;676.9000000000001;999;i
BQ;acomnxi999;p0p100;1991;869.3000000000001;999;i
BQ;acomnxi999;p0p100;1992;1483;999;i
BQ;acomnxi999;p0p100;1993;1131.1;999;i
BQ;acomnxi999;p0p100;1994;1018.8;999;i
BQ;acomnxi999;p0p100;1995;703.4000000000001;999;i
BQ;acomnxi999;p0p100;1996;709.1;999;i
BQ;acomnxi999;p0p100;1997;626.1;999;i
BQ;acomnxi999;p0p100;1998;342.4;999;i
BQ;acomnxi999;p0p100;1999;536.3000000000001;999;i
BQ;acomnxi999;p0p100;2000;439.4;999;i
BQ;acomnxi999;p0p100;2001;528;999;i
BQ;acomnxi999;p0p100;2002;483.6;999;i
BQ;acomnxi999;p0p100;2003;553.5;999;i
BQ;acomnxi999;p0p100;2004;52.8;999;i
BQ;acomnxi999;p0p100;2005;48.1;999;i
BQ;acomnxi999;p0p100;2006;-100.3;999;i
BQ;acomnxi999;p0p100;2007;129;999;i
BQ;acomnxi999;p0p100;2008;237.7;999;i
BQ;acomnxi999;p0p100;2009;250.6;999;i
BQ;acomnxi999;p0p100;2010;200.2;999;i
BQ;acomnxi999;p0p100;2011;102.7;999;i
BQ;acomnxi999;p0p100;2012;-58.6;999;i
BQ;acomnxi999;p0p100;2013;-25.1;999;i
BQ;acomnxi999;p0p100;2014;-50.3;999;i
BQ;acomnxi999;p0p100;2015;66.9;999;i
BQ;acomnxi999;p0p100;2016;32.8;999;i
BQ;acomnxi999;p0p100;2017;44.1;999;i
BQ;acomnxi999;p0p100;2018;32.7;999;i
BQ;acomnxi999;p0p100;2019;96.5;999;i
BQ;acomnxi999;p0p100;2020;59;999;i
BQ;acomnxi999;p0p100;2021;44.6;999;i
BQ;acomnxi999;p0p100;2022;103.5;999;i
BQ;acomnxi999;p0p100;2023;25;999;i
BQ;acomrxi992;p0p100;1970;173.8;992;i
BQ;acomrxi992;p0p100;1971;205.2;992;i
BQ;acomrxi992;p0p100;1972;242.2;992;i
BQ;acomrxi992;p0p100;1973;296;992;i
