country;variable;percentile;year;value;age;pop
CW;acomnxi999;p0p100;1970;-95.80000000000001;999;i
CW;acomnxi999;p0p100;1971;-121.1;999;i
CW;acomnxi999;p0p100;1972;-110.6;999;i
CW;acomnxi999;p0p100;1973;-164.4;999;i
CW;acomnxi999;p0p100;1974;-146.3;999;i
CW;acomnxi999;p0p100;1975;-173.3;999;i
CW;acomnxi999;p0p100;1976;-261.6;999;i
CW;acomnxi999;p0p100;1977;-848.3000000000001;999;i
CW;acomnxi999;p0p100;1978;-583.5;999;i
CW;acomnxi999;p0p100;1979;-740.3000000000001;999;i
CW;acomnxi999;p0p100;1980;-2848.9;999;i
CW;acomnxi999;p0p100;1981;-3305;999;i
CW;acomnxi999;p0p100;1982;-2173.3;999;i
CW;acomnxi999;p0p100;1983;-4900.2;999;i
CW;acomnxi999;p0p100;1984;8210.7;999;i
CW;acomnxi999;p0p100;1985;-1598.1;999;i
CW;acomnxi999;p0p100;1986;-2974.3;999;i
CW;acomnxi999;p0p100;1987;-1859.7;999;i
CW;acomnxi999;p0p100;1988;-2654.7;999;i
CW;acomnxi999;p0p100;1989;-2032.7;999;i
CW;acomnxi999;p0p100;1990;-2252.5;999;i
CW;acomnxi999;p0p100;1991;-1840.3;999;i
CW;acomnxi999;p0p100;1992;535.8000000000001;999;i
CW;acomnxi999;p0p100;1993;5706.200000000001;999;i
CW;acomnxi999;p0p100;1994;3249.7;999;i
CW;acomnxi999;p0p100;1995;1656.9;999;i
CW;acomnxi999;p0p100;1996;941.9000000000001;999;i
CW;acomnxi999;p0p100;1997;864.5;999;i
CW;acomnxi999;p0p100;1998;-393.2;999;i
CW;acomnxi999;p0p100;1999;-11742;999;i
CW;acomnxi999;p0p100;2000;-20;999;i
CW;acomnxi999;p0p100;2001;38.7;999;i
CW;acomnxi999;p0p100;2002;-277.1;999;i
CW;acomnxi999;p0p100;2003;-72.7;999;i
CW;acomnxi999;p0p100;2004;-0.1;999;i
CW;acomnxi999;p0p100;2005;85.80000000000001;999;i
CW;acomnxi999;p0p100;2006;-144.7;999;i
CW;acomnxi999;p0p100;2007;-13.7;999;i
CW;acomnxi999;p0p100;2008;-70.8;999;i
CW;acomnxi999;p0p100;2009;-45.3;999;i
CW;acomnxi999;p0p100;2010;296.5;999;i
CW;acomnxi999;p0p100;2011;429.6;999;i
CW;acomnxi999;p0p100;2012;339.4;999;i
CW;acomnxi999;p0p100;2013;350.2;999;i
CW;acomnxi999;p0p100;2014;526.1;999;i
CW;acomnxi999;p0p100;2015;543.1;999;i
CW;acomnxi999;p0p100;2016;586.3000000000001;999;i
CW;acomnxi999;p0p100;2017;567.5;999;i
CW;acomnxi999;p0p100;2018;663.9000000000001;999;i
CW;acomnxi999;p0p100;2019;1075.4;999;i
CW;acomnxi999;p0p100;2020;600;999;i
CW;acomnxi999;p0p100;2021;506.2;999;i
CW;acomnxi999;p0p100;2022;619.8000000000001;999;i
CW;acomnxi999;p0p100;2023;599.2;999;i
CW;acomrxi999;p0p100;1970;19.5;999;i
CW;acomrxi999;p0p100;1971;23.2;999;i
CW;acomrxi999;p0p100;1972;26.6;999;i
CW;acomrxi999;p0p100;1973;33.2;999;i
CW;acomrxi999;p0p100;1974;45.8;999;i
CW;acomrxi999;p0p100;1975;56.7;999;i
CW;acomrxi999;p0p100;1976;-421.5;999;i
CW;acomrxi999;p0p100;1977;-203;999;i
CW;acomrxi999;p0p100;1978;-480.2;999;i
CW;acomrxi999;p0p100;1979;-444.6;999;i
CW;acomrxi999;p0p100;1980;-4129.3;999;i
CW;acomrxi999;p0p100;1981;-4945.900000000001;999;i
CW;acomrxi999;p0p100;1982;-3916.9;999;i
CW;acomrxi999;p0p100;1983;-4768.900000000001;999;i
CW;acomrxi999;p0p100;1984;-2740.7;999;i
CW;acomrxi999;p0p100;1985;-1439.2;999;i
CW;acomrxi999;p0p100;1986;-2124.9;999;i
CW;acomrxi999;p0p100;1987;-2028.4;999;i
CW;acomrxi999;p0p100;1988;-1522.5;999;i
CW;acomrxi999;p0p100;1989;-713.9000000000001;999;i
CW;acomrxi999;p0p100;1990;-1447.8;999;i
CW;acomrxi999;p0p100;1991;-1438.5;999;i
CW;acomrxi999;p0p100;1992;-138;999;i
CW;acomrxi999;p0p100;1993;1551.7;999;i
CW;acomrxi999;p0p100;1994;565.4;999;i
CW;acomrxi999;p0p100;1995;855.6;999;i
CW;acomrxi999;p0p100;1996;22.2;999;i
CW;acomrxi999;p0p100;1997;-568.4;999;i
CW;acomrxi999;p0p100;1998;-2892.7;999;i
CW;acomrxi999;p0p100;1999;-1648;999;i
CW;acomrxi999;p0p100;2000;90.4;999;i
CW;acomrxi999;p0p100;2001;121.4;999;i
CW;acomrxi999;p0p100;2002;34.8;999;i
CW;acomrxi999;p0p100;2003;66.2;999;i
CW;acomrxi999;p0p100;2004;50.3;999;i
CW;acomrxi999;p0p100;2005;145.5;999;i
CW;acomrxi999;p0p100;2006;153.4;999;i
CW;acomrxi999;p0p100;2007;212.9;999;i
CW;acomrxi999;p0p100;2008;201.8;999;i
CW;acomrxi999;p0p100;2009;227.5;999;i
CW;acomrxi999;p0p100;2010;459.3;999;i
CW;acomrxi999;p0p100;2011;502;999;i
CW;acomrxi999;p0p100;2012;419.3;999;i
CW;acomrxi999;p0p100;2013;425.3;999;i
CW;acomrxi999;p0p100;2014;632.3000000000001;999;i
CW;acomrxi999;p0p100;2015;638.6;999;i
CW;acomrxi999;p0p100;2016;692.8000000000001;999;i
CW;acomrxi999;p0p100;2017;814.4000000000001;999;i
CW;acomrxi999;p0p100;2018;834.5;999;i
CW;acomrxi999;p0p100;2019;1153.4;999;i
CW;acomrxi999;p0p100;2020;675.5;999;i
CW;acomrxi999;p0p100;2021;601.9;999;i
CW;acomrxi999;p0p100;2022;708.1;999;i
CW;acomrxi999;p0p100;2023;694.5;999;i
CW;aconfci999;p0p100;1970;258.9;999;i
CW;aconfci999;p0p100;1971;310.8;999;i
CW;aconfci999;p0p100;1972;376.7;999;i
CW;aconfci999;p0p100;1973;465.1;999;i
CW;aconfci999;p0p100;1974;584.6;999;i
CW;aconfci999;p0p100;1975;738.9000000000001;999;i
CW;aconfci999;p0p100;1976;932.1;999;i
CW;aconfci999;p0p100;1977;1173.3;999;i
CW;aconfci999;p0p100;1978;1470.9;999;i
CW;aconfci999;p0p100;1979;1818.5;999;i
CW;aconfci999;p0p100;1980;2197.2;999;i
CW;aconfci999;p0p100;1981;2586.4;999;i
CW;aconfci999;p0p100;1982;2961.6;999;i
CW;aconfci999;p0p100;1983;3322.3;999;i
CW;aconfci999;p0p100;1984;3703.8;999;i
CW;aconfci999;p0p100;1985;4143.8;999;i
CW;aconfci999;p0p100;1986;4641.1;999;i
CW;aconfci999;p0p100;1987;5092.700000000001;999;i
