country;variable;percentile;year;value;age;pop
DD;acaincj992;p44p45;1980;19410.6;992;j
DD;acaincj992;p44p45;1981;19817.4;992;j
DD;acaincj992;p44p45;1982;19372.6;992;j
DD;acaincj992;p44p45;1983;19159.5;992;j
DD;acaincj992;p44p45;1984;19054.4;992;j
DD;acaincj992;p44p45;1985;19078.8;992;j
DD;acaincj992;p44p45;1986;19001.2;992;j
DD;acaincj992;p44p45;1987;19037.2;992;j
DD;acaincj992;p44p45;1988;19204.1;992;j
DD;acaincj992;p44p45;1989;20107;992;j
DD;acaincj992;p44p45;1990;17656;992;j
DD;acaincj992;p45p100;1980;26647.4;992;j
DD;acaincj992;p45p100;1981;27358.5;992;j
DD;acaincj992;p45p100;1982;26897.7;992;j
DD;acaincj992;p45p100;1983;26752.3;992;j
DD;acaincj992;p45p100;1984;26811.8;992;j
DD;acaincj992;p45p100;1985;27058.8;992;j
DD;acaincj992;p45p100;1986;27007.9;992;j
DD;acaincj992;p45p100;1987;27113.9;992;j
DD;acaincj992;p45p100;1988;27411.6;992;j
DD;acaincj992;p45p100;1989;28700.2;992;j
DD;acaincj992;p45p100;1990;25201.8;992;j
DD;acaincj992;p93p94;1980;33578.9;992;j
DD;acaincj992;p93p94;1981;34391.7;992;j
DD;acaincj992;p93p94;1982;33745.4;992;j
DD;acaincj992;p93p94;1983;33505.6;992;j
DD;acaincj992;p93p94;1984;33655.3;992;j
DD;acaincj992;p93p94;1985;34042.5;992;j
DD;acaincj992;p93p94;1986;33909;992;j
DD;acaincj992;p93p94;1987;33969.7;992;j
DD;acaincj992;p93p94;1988;34272.6;992;j
DD;acaincj992;p93p94;1989;35883.9;992;j
DD;acaincj992;p93p94;1990;31509.8;992;j
DD;acaincj992;p99.992p100;1980;71511.7;992;j
DD;acaincj992;p99.992p100;1981;101422.6;992;j
DD;acaincj992;p99.992p100;1982;138387.4;992;j
DD;acaincj992;p99.992p100;1983;188582;992;j
DD;acaincj992;p99.992p100;1984;232107.5;992;j
DD;acaincj992;p99.992p100;1985;282844.8;992;j
DD;acaincj992;p99.992p100;1986;306779.2;992;j
DD;acaincj992;p99.992p100;1987;336140.3;992;j
DD;acaincj992;p99.992p100;1988;366151.4;992;j
DD;acaincj992;p99.992p100;1989;383364.9;992;j
DD;acaincj992;p99.992p100;1990;336634.7;992;j
DD;aconfci992;p0p100;1950;979.8000000000001;992;i
DD;aconfci992;p0p100;1955;1583.4;992;i
DD;aconfci992;p0p100;1960;2044.8;992;i
DD;aconfci992;p0p100;1961;2080.3;992;i
DD;aconfci992;p0p100;1962;2142.7;992;i
DD;aconfci992;p0p100;1963;2231.9;992;i
DD;aconfci992;p0p100;1964;2333.7;992;i
DD;aconfci992;p0p100;1965;2483.9;992;i
DD;aconfci992;p0p100;1966;2651.8;992;i
DD;aconfci992;p0p100;1967;2759.1;992;i
DD;aconfci992;p0p100;1968;2864.1;992;i
DD;aconfci992;p0p100;1969;3025.6;992;i
DD;aconfci992;p0p100;1970;3105.9;992;i
DD;aconfci992;p0p100;1971;3238.7;992;i
DD;aconfci992;p0p100;1972;3447.7;992;i
DD;aconfci992;p0p100;1973;3656.9;992;i
DD;aconfci992;p0p100;1974;3826.6;992;i
DD;aconfci992;p0p100;1975;3913.8;992;i
DD;aconfci992;p0p100;1976;3982.1;992;i
DD;aconfci992;p0p100;1977;4063.8;992;i
DD;aconfci992;p0p100;1978;4154.3;992;i
DD;aconfci992;p0p100;1979;4260.6;992;i
DD;aconfci992;p0p100;1980;4383.3;992;i
DD;aconfci992;p0p100;1981;4533.8;992;i
DD;aconfci992;p0p100;1982;4606.1;992;i
DD;aconfci992;p0p100;1983;4621.900000000001;992;i
DD;aconfci992;p0p100;1984;4610.8;992;i
DD;aconfci992;p0p100;1985;4613.1;992;i
DD;aconfci992;p0p100;1986;4622.7;992;i
DD;aconfci992;p0p100;1987;4554;992;i
DD;aconfci992;p0p100;1988;4410.6;992;i
DD;aconfci992;p0p100;1989;4250.8;992;i
DD;aconfci992;p0p100;1990;4048.2;992;i
DD;aconfci999;p0p100;1950;649.3000000000001;999;i
DD;aconfci999;p0p100;1955;1080.9;999;i
DD;aconfci999;p0p100;1960;1473.6;999;i
DD;aconfci999;p0p100;1961;1528.9;999;i
DD;aconfci999;p0p100;1962;1581.7;999;i
DD;aconfci999;p0p100;1963;1638.7;999;i
DD;aconfci999;p0p100;1964;1703;999;i
DD;aconfci999;p0p100;1965;1780.8;999;i
DD;aconfci999;p0p100;1966;1853.3;999;i
DD;aconfci999;p0p100;1967;1896.3;999;i
DD;aconfci999;p0p100;1968;1950.7;999;i
DD;aconfci999;p0p100;1969;2056.2;999;i
DD;aconfci999;p0p100;1970;2125.8;999;i
DD;aconfci999;p0p100;1971;2191.1;999;i
DD;aconfci999;p0p100;1972;2314.4;999;i
DD;aconfci999;p0p100;1973;2450.4;999;i
DD;aconfci999;p0p100;1974;2572.1;999;i
DD;aconfci999;p0p100;1975;2646.8;999;i
DD;aconfci999;p0p100;1976;2713.9;999;i
DD;aconfci999;p0p100;1977;2797;999;i
DD;aconfci999;p0p100;1978;2891.8;999;i
DD;aconfci999;p0p100;1979;3005.5;999;i
DD;aconfci999;p0p100;1980;3139.4;999;i
DD;aconfci999;p0p100;1981;3262.8;999;i
DD;aconfci999;p0p100;1982;3339.7;999;i
DD;aconfci999;p0p100;1983;3386.2;999;i
DD;aconfci999;p0p100;1984;3421;999;i
DD;aconfci999;p0p100;1985;3461.3;999;i
DD;aconfci999;p0p100;1986;3496;999;i
DD;aconfci999;p0p100;1987;3457.6;999;i
DD;aconfci999;p0p100;1988;3344.8;999;i
DD;aconfci999;p0p100;1989;3199.4;999;i
DD;aconfci999;p0p100;1990;2999.1;999;i
DD;bcaincj992;p94p100;1980;1.1629022359848;992;j
DD;bcaincj992;p94p100;1981;1.19220221042633;992;j
DD;bcaincj992;p94p100;1982;1.22112238407135;992;j
DD;bcaincj992;p94p100;1983;1.24982619285583;992;j
DD;bcaincj992;p94p100;1984;1.27338111400604;992;j
DD;bcaincj992;p94p100;1985;1.29659926891327;992;j
DD;bcaincj992;p94p100;1986;1.31298530101776;992;j
DD;bcaincj992;p94p100;1987;1.32935762405396;992;j
DD;bcaincj992;p94p100;1988;1.34587979316711;992;j
DD;bcaincj992;p94p100;1989;1.34587979316711;992;j
DD;bcaincj992;p94p100;1990;1.3458799123764;992;j
DD;bcaincj992;p95p100;1980;1.15678942203522;992;j
DD;bcaincj992;p95p100;1981;1.18914806842804;992;j
DD;bcaincj992;p95p100;1982;1.22109770774841;992;j
DD;bcaincj992;p95p100;1983;1.25286257266998;992;j
DD;bcaincj992;p95p100;1984;1.27821290493011;992;j
DD;bcaincj992;p95p100;1985;1.30318915843964;992;j
DD;bcaincj992;p95p100;1986;1.32004356384277;992;j
DD;bcaincj992;p95p100;1987;1.33703601360321;992;j
DD;bcaincj992;p95p100;1988;1.35395169258118;992;j
DD;bcaincj992;p95p100;1989;1.35395181179047;992;j
DD;bcaincj992;p95p100;1990;1.35395181179047;992;j
DD;bcaincj992;p96p100;1980;1.14984726905823;992;j
DD;bcaincj992;p96p100;1981;1.18560135364532;992;j
DD;bcaincj992;p96p100;1982;1.22106862068176;992;j
DD;bcaincj992;p96p100;1983;1.25648677349091;992;j
DD;bcaincj992;p96p100;1984;1.28400409221649;992;j
DD;bcaincj992;p96p100;1985;1.31111288070679;992;j
DD;bcaincj992;p96p100;1986;1.32851934432983;992;j
DD;bcaincj992;p96p100;1987;1.3462495803833;992;j
DD;bcaincj992;p96p100;1988;1.36362171173096;992;j
DD;bcaincj992;p96p100;1989;1.36362171173096;992;j
DD;bcaincj992;p96p100;1990;1.36362183094025;992;j
DD;agdproi999;p0p100;1950;6153.200000000001;999;i
DD;agdproi999;p0p100;1955;9429.1;999;i
DD;agdproi999;p0p100;1960;12391.2;999;i
DD;agdproi999;p0p100;1961;12573.2;999;i
DD;agdproi999;p0p100;1962;12959.4;999;i
DD;agdproi999;p0p100;1963;13403.4;999;i
DD;agdproi999;p0p100;1964;13807.7;999;i
DD;agdproi999;p0p100;1965;14448.3;999;i
DD;agdproi999;p0p100;1966;14911.6;999;i
DD;agdproi999;p0p100;1967;15187.8;999;i
DD;agdproi999;p0p100;1968;15754.3;999;i
DD;agdproi999;p0p100;1969;16365;999;i
DD;agdproi999;p0p100;1970;16773;999;i
DD;agdproi999;p0p100;1971;17086.9;999;i
DD;agdproi999;p0p100;1972;17945.7;999;i
DD;agdproi999;p0p100;1973;18813.7;999;i
DD;agdproi999;p0p100;1974;19878.7;999;i
DD;agdproi999;p0p100;1975;20465.6;999;i
DD;agdproi999;p0p100;1976;20719.4;999;i
DD;agdproi999;p0p100;1977;21351.7;999;i
DD;agdproi999;p0p100;1978;21829.1;999;i
DD;agdproi999;p0p100;1979;22708.5;999;i
DD;agdproi999;p0p100;1980;23614.8;999;i
DD;agdproi999;p0p100;1981;24454.7;999;i
DD;agdproi999;p0p100;1982;24399.6;999;i
DD;agdproi999;p0p100;1983;24621.7;999;i
DD;agdproi999;p0p100;1984;24935.5;999;i
DD;agdproi999;p0p100;1985;25379.8;999;i
DD;agdproi999;p0p100;1986;25564.1;999;i
DD;agdproi999;p0p100;1987;25720.2;999;i
DD;agdproi999;p0p100;1988;25848;999;i
DD;agdproi999;p0p100;1989;26588.4;999;i
DD;agdproi999;p0p100;1990;23216.4;999;i
DD;agninci992;p0p100;1950;9285.2;992;i
DD;agninci992;p0p100;1955;13813.1;992;i
DD;agninci992;p0p100;1960;17193.5;992;i
DD;agninci992;p0p100;1961;17108.1;992;i
DD;agninci992;p0p100;1962;17555.7;992;i
DD;agninci992;p0p100;1963;18255.1;992;i
DD;agninci992;p0p100;1964;18920.5;992;i
DD;agninci992;p0p100;1965;20153.2;992;i
DD;agninci992;p0p100;1966;21336.2;992;i
DD;agninci992;p0p100;1967;22098.1;992;i
DD;agninci992;p0p100;1968;23131.6;992;i
DD;agninci992;p0p100;1969;24080.7;992;i
DD;agninci992;p0p100;1970;24506.6;992;i
DD;agninci992;p0p100;1971;25256.8;992;i
DD;agninci992;p0p100;1972;26732.9;992;i
DD;agninci992;p0p100;1973;28077.6;992;i
DD;agninci992;p0p100;1974;29574.9;992;i
DD;agninci992;p0p100;1975;30261.6;992;i
DD;agninci992;p0p100;1976;30401.4;992;i
DD;agninci992;p0p100;1977;31022.5;992;i
DD;agninci992;p0p100;1978;31359.7;992;i
DD;agninci992;p0p100;1979;32191.9;992;i
DD;agninci992;p0p100;1980;32972;992;i
DD;agninci992;p0p100;1981;33981.1;992;i
DD;agninci992;p0p100;1982;33651.8;992;i
DD;agninci992;p0p100;1983;33606.2;992;i
DD;agninci992;p0p100;1984;33607.9;992;i
DD;agninci992;p0p100;1985;33824.9;992;i
DD;agninci992;p0p100;1986;33803.3;992;i
DD;agninci992;p0p100;1987;33876.1;992;i
DD;agninci992;p0p100;1988;34084.3;992;i
DD;agninci992;p0p100;1989;35326.1;992;i
DD;agninci992;p0p100;1990;31337.6;992;i
DD;ancanxi999;p0p100;1950;0;999;i
DD;ancanxi999;p0p100;1955;0;999;i
DD;ancanxi999;p0p100;1960;0;999;i
DD;ancanxi999;p0p100;1961;0;999;i
DD;ancanxi999;p0p100;1962;0;999;i
DD;ancanxi999;p0p100;1963;0;999;i
DD;ancanxi999;p0p100;1964;0;999;i
DD;ancanxi999;p0p100;1965;0;999;i
DD;ancanxi999;p0p100;1966;0;999;i
DD;ancanxi999;p0p100;1967;0;999;i
DD;ancanxi999;p0p100;1968;0;999;i
DD;ancanxi999;p0p100;1969;0;999;i
DD;ancanxi999;p0p100;1970;0;999;i
DD;ancanxi999;p0p100;1971;0;999;i
DD;ancanxi999;p0p100;1972;0;999;i
DD;ancanxi999;p0p100;1973;0;999;i
DD;ancanxi999;p0p100;1974;0;999;i
DD;ancanxi999;p0p100;1975;0;999;i
DD;ancanxi999;p0p100;1976;0;999;i
DD;ancanxi999;p0p100;1977;0;999;i
DD;ancanxi999;p0p100;1978;0;999;i
DD;ancanxi999;p0p100;1979;0;999;i
DD;ancanxi999;p0p100;1980;0;999;i
DD;ancanxi999;p0p100;1981;0;999;i
DD;ancanxi999;p0p100;1982;0;999;i
DD;ancanxi999;p0p100;1983;0;999;i
DD;ancanxi999;p0p100;1984;0;999;i
DD;ancanxi999;p0p100;1985;0;999;i
DD;ancanxi999;p0p100;1986;0;999;i
DD;ancanxi999;p0p100;1987;0;999;i
DD;ancanxi999;p0p100;1988;0;999;i
DD;ancanxi999;p0p100;1989;0;999;i
DD;ancanxi999;p0p100;1990;0;999;i
DD;andproi999;p0p100;1950;5503.8;999;i
DD;andproi999;p0p100;1955;8348.300000000001;999;i
DD;andproi999;p0p100;1960;10917.5;999;i
DD;andproi999;p0p100;1961;11044.3;999;i
DD;andproi999;p0p100;1962;11377.7;999;i
DD;andproi999;p0p100;1963;11764.6;999;i
DD;andproi999;p0p100;1964;12104.6;999;i
DD;andproi999;p0p100;1965;12667.5;999;i
DD;andproi999;p0p100;1966;13058.2;999;i
DD;andproi999;p0p100;1967;13291.6;999;i
DD;andproi999;p0p100;1968;13803.6;999;i
DD;andproi999;p0p100;1969;14308.8;999;i
DD;andproi999;p0p100;1970;14647.2;999;i
DD;andproi999;p0p100;1971;14895.9;999;i
DD;andproi999;p0p100;1972;15631.3;999;i
DD;andproi999;p0p100;1973;16363.4;999;i
DD;andproi999;p0p100;1974;17306.7;999;i
DD;andproi999;p0p100;1975;17818.8;999;i
DD;andproi999;p0p100;1976;18005.5;999;i
DD;andproi999;p0p100;1977;18554.7;999;i
DD;andproi999;p0p100;1978;18937.4;999;i
DD;andproi999;p0p100;1979;19703;999;i
DD;andproi999;p0p100;1980;20475.4;999;i
DD;andproi999;p0p100;1981;21191.9;999;i
DD;andproi999;p0p100;1982;21059.9;999;i
DD;andproi999;p0p100;1983;21235.5;999;i
DD;andproi999;p0p100;1984;21514.5;999;i
DD;andproi999;p0p100;1985;21918.5;999;i
DD;andproi999;p0p100;1986;22068.1;999;i
DD;andproi999;p0p100;1987;22262.6;999;i
DD;andproi999;p0p100;1988;22503.1;999;i
