country;variable;percentile;year;value;age;pop
DM;acomnxi999;p0p100;1970;-0.5;999;i
DM;acomnxi999;p0p100;1971;27.1;999;i
DM;acomnxi999;p0p100;1972;36.6;999;i
DM;acomnxi999;p0p100;1973;61.5;999;i
DM;acomnxi999;p0p100;1974;46.5;999;i
DM;acomnxi999;p0p100;1975;78.60000000000001;999;i
DM;acomnxi999;p0p100;1976;5.7;999;i
DM;acomnxi999;p0p100;1977;4.100000000000001;999;i
DM;acomnxi999;p0p100;1978;4.4;999;i
DM;acomnxi999;p0p100;1979;4.100000000000001;999;i
DM;acomnxi999;p0p100;1980;6.300000000000001;999;i
DM;acomnxi999;p0p100;1981;7.5;999;i
DM;acomnxi999;p0p100;1982;5.4;999;i
DM;acomnxi999;p0p100;1983;10.9;999;i
DM;acomnxi999;p0p100;1984;-4.3;999;i
DM;acomnxi999;p0p100;1985;-3.7;999;i
DM;acomnxi999;p0p100;1986;26.7;999;i
DM;acomnxi999;p0p100;1987;31.3;999;i
DM;acomnxi999;p0p100;1988;28.5;999;i
DM;acomnxi999;p0p100;1989;35.1;999;i
DM;acomnxi999;p0p100;1990;23.3;999;i
DM;acomnxi999;p0p100;1991;20.6;999;i
DM;acomnxi999;p0p100;1992;19.8;999;i
DM;acomnxi999;p0p100;1993;1.9;999;i
DM;acomnxi999;p0p100;1994;-21.6;999;i
DM;acomnxi999;p0p100;1995;-4;999;i
DM;acomnxi999;p0p100;1996;1.6;999;i
DM;acomnxi999;p0p100;1997;-2.2;999;i
DM;acomnxi999;p0p100;1998;-92.9;999;i
DM;acomnxi999;p0p100;1999;-141.9;999;i
DM;acomnxi999;p0p100;2000;-321.2;999;i
DM;acomnxi999;p0p100;2001;-357.7;999;i
DM;acomnxi999;p0p100;2002;-437.5;999;i
DM;acomnxi999;p0p100;2003;-610.6;999;i
DM;acomnxi999;p0p100;2004;-498.9;999;i
DM;acomnxi999;p0p100;2005;-362.9;999;i
DM;acomnxi999;p0p100;2006;-626.5;999;i
DM;acomnxi999;p0p100;2007;-413.8;999;i
DM;acomnxi999;p0p100;2008;-409.5;999;i
DM;acomnxi999;p0p100;2009;-365.7;999;i
DM;acomnxi999;p0p100;2010;-629.5;999;i
DM;acomnxi999;p0p100;2011;-464.3;999;i
DM;acomnxi999;p0p100;2012;-467.4;999;i
DM;acomnxi999;p0p100;2013;-478.8;999;i
DM;acomnxi999;p0p100;2014;-602.1;999;i
DM;acomnxi999;p0p100;2015;-550.8000000000001;999;i
DM;acomnxi999;p0p100;2016;-286;999;i
DM;acomnxi999;p0p100;2017;-368.6;999;i
DM;acomnxi999;p0p100;2018;93.60000000000001;999;i
DM;acomnxi999;p0p100;2019;148;999;i
DM;acomnxi999;p0p100;2020;118.3;999;i
DM;acomnxi999;p0p100;2021;85;999;i
DM;acomnxi999;p0p100;2022;62.8;999;i
DM;acomnxi999;p0p100;2023;58.3;999;i
DM;acomrxi999;p0p100;1970;19.8;999;i
DM;acomrxi999;p0p100;1971;23;999;i
DM;acomrxi999;p0p100;1972;32.7;999;i
DM;acomrxi999;p0p100;1973;50.5;999;i
DM;acomrxi999;p0p100;1974;44.5;999;i
DM;acomrxi999;p0p100;1975;64.3;999;i
DM;acomrxi999;p0p100;1976;23.4;999;i
DM;acomrxi999;p0p100;1977;23.7;999;i
DM;acomrxi999;p0p100;1978;22.9;999;i
DM;acomrxi999;p0p100;1979;19.4;999;i
DM;acomrxi999;p0p100;1980;23.6;999;i
DM;acomrxi999;p0p100;1981;33;999;i
DM;acomrxi999;p0p100;1982;32;999;i
DM;acomrxi999;p0p100;1983;37.7;999;i
DM;acomrxi999;p0p100;1984;32.8;999;i
DM;acomrxi999;p0p100;1985;34;999;i
DM;acomrxi999;p0p100;1986;59.5;999;i
DM;acomrxi999;p0p100;1987;62.5;999;i
DM;acomrxi999;p0p100;1988;57.5;999;i
DM;acomrxi999;p0p100;1989;72.2;999;i
DM;acomrxi999;p0p100;1990;36.5;999;i
DM;acomrxi999;p0p100;1991;36.1;999;i
DM;acomrxi999;p0p100;1992;28.7;999;i
DM;acomrxi999;p0p100;1993;3.2;999;i
DM;acomrxi999;p0p100;1994;2.1;999;i
DM;acomrxi999;p0p100;1995;2.1;999;i
DM;acomrxi999;p0p100;1996;1.8;999;i
DM;acomrxi999;p0p100;1997;1.8;999;i
DM;acomrxi999;p0p100;1998;15.8;999;i
DM;acomrxi999;p0p100;1999;50.40000000000001;999;i
DM;acomrxi999;p0p100;2000;40.5;999;i
DM;acomrxi999;p0p100;2001;54.6;999;i
DM;acomrxi999;p0p100;2002;25.1;999;i
DM;acomrxi999;p0p100;2003;46.7;999;i
DM;acomrxi999;p0p100;2004;54.7;999;i
DM;acomrxi999;p0p100;2005;87.9;999;i
DM;acomrxi999;p0p100;2006;76;999;i
DM;acomrxi999;p0p100;2007;74.7;999;i
DM;acomrxi999;p0p100;2008;76;999;i
DM;acomrxi999;p0p100;2009;94.30000000000001;999;i
DM;acomrxi999;p0p100;2010;110.3;999;i
DM;acomrxi999;p0p100;2011;70.10000000000001;999;i
DM;acomrxi999;p0p100;2012;74.9;999;i
DM;acomrxi999;p0p100;2013;88;999;i
DM;acomrxi999;p0p100;2014;100.6;999;i
DM;acomrxi999;p0p100;2015;34.2;999;i
DM;acomrxi999;p0p100;2016;205.9;999;i
DM;acomrxi999;p0p100;2017;142.7;999;i
DM;acomrxi999;p0p100;2018;120.6;999;i
