country;variable;percentile;year;value;age;pop
FJ;ehfghgi999;p0p100;1980;1.1913366898675;999;i
FJ;ehfghgi999;p0p100;1981;1.23563255430901;999;i
FJ;ehfghgi999;p0p100;1982;1.2588656086026;999;i
FJ;ehfghgi999;p0p100;1983;1.28101342668054;999;i
FJ;ehfghgi999;p0p100;1984;1.29052662395745;999;i
FJ;ehfghgi999;p0p100;1985;1.29751492500609;999;i
FJ;ehfghgi999;p0p100;1986;1.32761965863584;999;i
FJ;ehfghgi999;p0p100;1987;1.35823621659785;999;i
FJ;ehfghgi999;p0p100;1988;1.41228557090837;999;i
FJ;ehfghgi999;p0p100;1989;1.45170904642942;999;i
FJ;ehfghgi999;p0p100;1990;1.45818115983223;999;i
FJ;ehfghgi999;p0p100;1991;1.4931243984788;999;i
FJ;ehfghgi999;p0p100;1992;1.54669409079395;999;i
FJ;ehfghgi999;p0p100;1993;1.59663631129946;999;i
FJ;ehfghgi999;p0p100;1994;1.62746090695015;999;i
FJ;ehfghgi999;p0p100;1995;1.67627336998058;999;i
FJ;ehfghgi999;p0p100;1996;1.71248237287414;999;i
FJ;ehfghgi999;p0p100;1997;1.76344997597452;999;i
FJ;ehfghgi999;p0p100;1998;1.80420231219305;999;i
FJ;ehfghgi999;p0p100;1999;1.82087708735744;999;i
FJ;ehfghgi999;p0p100;2000;1.87398386583881;999;i
FJ;ehfghgi999;p0p100;2001;1.88352421509519;999;i
FJ;ehfghgi999;p0p100;2002;1.87863512961566;999;i
FJ;ehfghgi999;p0p100;2003;1.88690813035637;999;i
FJ;ehfghgi999;p0p100;2004;1.94316248243376;999;i
FJ;ehfghgi999;p0p100;2005;1.94155737227635;999;i
FJ;ehfghgi999;p0p100;2006;1.95821378705341;999;i
FJ;ehfghgi999;p0p100;2007;1.99061908785146;999;i
FJ;ehfghgi999;p0p100;2008;1.96187523235507;999;i
FJ;ehfghgi999;p0p100;2009;1.98467394524538;999;i
FJ;ehfghgi999;p0p100;2010;2.04215768644936;999;i
FJ;ehfghgi999;p0p100;2011;2.03071434085518;999;i
FJ;ehfghgi999;p0p100;2012;2.01362016166634;999;i
FJ;ehfghgi999;p0p100;2013;2.03302734057596;999;i
FJ;ehfghgi999;p0p100;2014;2.07521330900639;999;i
FJ;ehfghgi999;p0p100;2015;2.11534038708602;999;i
FJ;ehfghgi999;p0p100;2016;2.13707234166991;999;i
FJ;ehfghgi999;p0p100;2017;2.1588042962538;999;i
FJ;ehfghgi999;p0p100;2018;2.18053625083769;999;i
FJ;ehfghgi999;p0p100;2019;2.20226820542158;999;i
FJ;ehfghgi999;p0p100;2020;2.04810943104207;999;i
FJ;ehfghoi999;p0p100;1990;0.698959628187915;999;i
FJ;ehfghoi999;p0p100;1991;0.724149639702183;999;i
FJ;ehfghoi999;p0p100;1992;0.743546331258528;999;i
FJ;ehfghoi999;p0p100;1993;0.769467872754188;999;i
FJ;ehfghoi999;p0p100;1994;0.782578670379571;999;i
FJ;ehfghoi999;p0p100;1995;0.806541876917664;999;i
FJ;ehfghoi999;p0p100;1996;0.819697610636432;999;i
FJ;ehfghoi999;p0p100;1997;0.84282001401635;999;i
FJ;ehfghoi999;p0p100;1998;0.861480561957433;999;i
FJ;ehfghoi999;p0p100;1999;0.867661432364925;999;i
FJ;ehfghoi999;p0p100;2000;0.884341956448815;999;i
FJ;ehfghoi999;p0p100;2001;0.878360525539531;999;i
FJ;ehfghoi999;p0p100;2002;0.885400688336927;999;i
FJ;ehfghoi999;p0p100;2003;0.883269512247806;999;i
FJ;ehfghoi999;p0p100;2004;0.902055896235842;999;i
FJ;ehfghoi999;p0p100;2005;0.915459520397542;999;i
FJ;ehfghoi999;p0p100;2006;0.920018240809089;999;i
FJ;ehfghoi999;p0p100;2007;0.938624541574673;999;i
FJ;ehfghoi999;p0p100;2008;0.948708720583547;999;i
FJ;ehfghoi999;p0p100;2009;0.962429996855749;999;i
FJ;ehfghoi999;p0p100;2010;0.963442291045215;999;i
FJ;ehfghoi999;p0p100;2011;0.966399259491604;999;i
FJ;ehfghoi999;p0p100;2012;0.960194771931353;999;i
FJ;ehfghoi999;p0p100;2013;0.965442763468556;999;i
FJ;ehfghoi999;p0p100;2014;0.980081893695536;999;i
FJ;ehfghoi999;p0p100;2015;0.997241012940864;999;i
FJ;ehfghoi999;p0p100;2016;1.00748617089971;999;i
FJ;ehfghoi999;p0p100;2017;1.01773132885856;999;i
FJ;ehfghoi999;p0p100;2018;1.0279764868174;999;i
FJ;ehfghoi999;p0p100;2019;1.03822164477625;999;i
FJ;ehfghoi999;p0p100;2020;0.965546129641913;999;i
FJ;enfcari999;p0p100;1990;1.35137143155425;999;i
FJ;enfcari999;p0p100;1991;1.37005283542074;999;i
FJ;enfcari999;p0p100;1992;1.38873423928723;999;i
FJ;enfcari999;p0p100;1993;1.40741564315371;999;i
FJ;enfcari999;p0p100;1994;1.4260970470202;999;i
FJ;enfcari999;p0p100;1995;1.44477845088669;999;i
FJ;enfcari999;p0p100;1996;1.46345985475318;999;i
