country;variable;percentile;year;value;age;pop
FM;acomnxi999;p0p100;1970;-22.9;999;i
FM;acomnxi999;p0p100;1971;-25.6;999;i
FM;acomnxi999;p0p100;1972;-22.7;999;i
FM;acomnxi999;p0p100;1973;-36;999;i
FM;acomnxi999;p0p100;1974;-27.5;999;i
FM;acomnxi999;p0p100;1975;-26.1;999;i
FM;acomnxi999;p0p100;1976;-27.7;999;i
FM;acomnxi999;p0p100;1977;-27.3;999;i
FM;acomnxi999;p0p100;1978;-28.1;999;i
FM;acomnxi999;p0p100;1979;-23.8;999;i
FM;acomnxi999;p0p100;1980;-25.8;999;i
FM;acomnxi999;p0p100;1981;-30.3;999;i
FM;acomnxi999;p0p100;1982;-24.5;999;i
FM;acomnxi999;p0p100;1983;-21.6;999;i
FM;acomnxi999;p0p100;1984;-23;999;i
FM;acomnxi999;p0p100;1985;-25.5;999;i
FM;acomnxi999;p0p100;1986;-23.2;999;i
FM;acomnxi999;p0p100;1987;-22.3;999;i
FM;acomnxi999;p0p100;1988;-22.5;999;i
FM;acomnxi999;p0p100;1989;-21.9;999;i
FM;acomnxi999;p0p100;1990;-23.1;999;i
FM;acomnxi999;p0p100;1991;-23.1;999;i
FM;acomnxi999;p0p100;1992;-20.3;999;i
FM;acomnxi999;p0p100;1993;-22.1;999;i
FM;acomnxi999;p0p100;1994;-21.9;999;i
FM;acomnxi999;p0p100;1995;-13.5;999;i
FM;acomnxi999;p0p100;1996;-12.5;999;i
FM;acomnxi999;p0p100;1997;0.4;999;i
FM;acomnxi999;p0p100;1998;-24.9;999;i
FM;acomnxi999;p0p100;1999;-9.5;999;i
FM;acomnxi999;p0p100;2000;-13.2;999;i
FM;acomnxi999;p0p100;2001;-38.6;999;i
FM;acomnxi999;p0p100;2002;-39.8;999;i
FM;acomnxi999;p0p100;2003;-38.2;999;i
FM;acomnxi999;p0p100;2004;-34.5;999;i
FM;acomnxi999;p0p100;2005;-34.8;999;i
FM;acomnxi999;p0p100;2006;-29.6;999;i
FM;acomnxi999;p0p100;2007;-11;999;i
FM;acomnxi999;p0p100;2008;-10.7;999;i
FM;acomnxi999;p0p100;2009;-48.7;999;i
FM;acomnxi999;p0p100;2010;-24.1;999;i
FM;acomnxi999;p0p100;2011;-21;999;i
FM;acomnxi999;p0p100;2012;-26.4;999;i
FM;acomnxi999;p0p100;2013;-11;999;i
FM;acomnxi999;p0p100;2014;-22.5;999;i
FM;acomnxi999;p0p100;2015;44.6;999;i
FM;acomnxi999;p0p100;2016;31.7;999;i
FM;acomnxi999;p0p100;2017;28.7;999;i
FM;acomnxi999;p0p100;2018;2.7;999;i
FM;acomnxi999;p0p100;2019;-15.9;999;i
FM;acomnxi999;p0p100;2020;-17.1;999;i
FM;acomnxi999;p0p100;2021;-19.2;999;i
FM;acomnxi999;p0p100;2022;-15;999;i
FM;acomnxi999;p0p100;2023;-17.8;999;i
FM;acomrxi999;p0p100;1970;2.8;999;i
FM;acomrxi999;p0p100;1971;3;999;i
FM;acomrxi999;p0p100;1972;3.3;999;i
FM;acomrxi999;p0p100;1973;4.4;999;i
FM;acomrxi999;p0p100;1974;5;999;i
FM;acomrxi999;p0p100;1975;5;999;i
FM;acomrxi999;p0p100;1976;5;999;i
FM;acomrxi999;p0p100;1977;6.100000000000001;999;i
FM;acomrxi999;p0p100;1978;6.600000000000001;999;i
FM;acomrxi999;p0p100;1979;5.5;999;i
FM;acomrxi999;p0p100;1980;5.100000000000001;999;i
FM;acomrxi999;p0p100;1981;6.2;999;i
FM;acomrxi999;p0p100;1982;5.800000000000001;999;i
FM;acomrxi999;p0p100;1983;5.800000000000001;999;i
FM;acomrxi999;p0p100;1984;5.7;999;i
FM;acomrxi999;p0p100;1985;5.9;999;i
FM;acomrxi999;p0p100;1986;5.7;999;i
FM;acomrxi999;p0p100;1987;6.2;999;i
FM;acomrxi999;p0p100;1988;6.2;999;i
FM;acomrxi999;p0p100;1989;7.300000000000001;999;i
FM;acomrxi999;p0p100;1990;6.9;999;i
FM;acomrxi999;p0p100;1991;8.200000000000001;999;i
FM;acomrxi999;p0p100;1992;11.6;999;i
FM;acomrxi999;p0p100;1993;10;999;i
FM;acomrxi999;p0p100;1994;9.3;999;i
FM;acomrxi999;p0p100;1995;18;999;i
FM;acomrxi999;p0p100;1996;18.3;999;i
FM;acomrxi999;p0p100;1997;17.7;999;i
FM;acomrxi999;p0p100;1998;12.2;999;i
FM;acomrxi999;p0p100;1999;17.6;999;i
FM;acomrxi999;p0p100;2000;8.5;999;i
FM;acomrxi999;p0p100;2001;10.5;999;i
FM;acomrxi999;p0p100;2002;10;999;i
FM;acomrxi999;p0p100;2003;11.1;999;i
FM;acomrxi999;p0p100;2004;10;999;i
FM;acomrxi999;p0p100;2005;10.5;999;i
FM;acomrxi999;p0p100;2006;12.9;999;i
FM;acomrxi999;p0p100;2007;15;999;i
FM;acomrxi999;p0p100;2008;5.2;999;i
FM;acomrxi999;p0p100;2009;3.9;999;i
FM;acomrxi999;p0p100;2010;11.5;999;i
FM;acomrxi999;p0p100;2011;14.5;999;i
FM;acomrxi999;p0p100;2012;14;999;i
FM;acomrxi999;p0p100;2013;15.4;999;i
FM;acomrxi999;p0p100;2014;16.7;999;i
FM;acomrxi999;p0p100;2015;42.3;999;i
FM;acomrxi999;p0p100;2016;38.3;999;i
FM;acomrxi999;p0p100;2017;38.8;999;i
FM;acomrxi999;p0p100;2018;35.7;999;i
FM;acomrxi999;p0p100;2019;19.6;999;i
FM;acomrxi999;p0p100;2020;18.5;999;i
FM;acomrxi999;p0p100;2021;17.3;999;i
FM;acomrxi999;p0p100;2022;18;999;i
FM;acomrxi999;p0p100;2023;16.2;999;i
FM;aconfci992;p0p100;1970;493;992;i
FM;aconfci992;p0p100;1971;545;992;i
FM;aconfci992;p0p100;1972;608.2;992;i
FM;aconfci992;p0p100;1973;677.2;992;i
FM;aconfci992;p0p100;1974;735.9000000000001;992;i
FM;aconfci992;p0p100;1975;772.8000000000001;992;i
FM;aconfci992;p0p100;1976;788.8000000000001;992;i
FM;aconfci992;p0p100;1977;789.9000000000001;992;i
FM;aconfci992;p0p100;1978;778.8000000000001;992;i
FM;aconfci992;p0p100;1979;758.4000000000001;992;i
FM;aconfci992;p0p100;1980;736.1;992;i
FM;aconfci992;p0p100;1981;717.4000000000001;992;i
FM;aconfci992;p0p100;1982;703.2;992;i
FM;aconfci992;p0p100;1983;697.1;992;i
FM;aconfci992;p0p100;1984;701.7;992;i
FM;aconfci992;p0p100;1985;716.6;992;i
FM;aconfci992;p0p100;1986;733.4000000000001;992;i
FM;aconfci992;p0p100;1987;747.1;992;i
FM;aconfci992;p0p100;1988;764.2;992;i
FM;aconfci992;p0p100;1989;787.4000000000001;992;i
FM;aconfci992;p0p100;1990;812.8000000000001;992;i
FM;aconfci992;p0p100;1991;839;992;i
FM;aconfci992;p0p100;1992;854.7;992;i
FM;aconfci992;p0p100;1993;856.9000000000001;992;i
FM;aconfci992;p0p100;1994;851.9000000000001;992;i
FM;aconfci992;p0p100;1995;844.2;992;i
FM;aconfci992;p0p100;1996;833.1;992;i
FM;aconfci992;p0p100;1997;821.9000000000001;992;i
FM;aconfci992;p0p100;1998;818.3000000000001;992;i
FM;aconfci992;p0p100;1999;822.9000000000001;992;i
FM;aconfci992;p0p100;2000;828.1;992;i
FM;aconfci992;p0p100;2001;828.3000000000001;992;i
FM;aconfci992;p0p100;2002;825.2;992;i
FM;aconfci992;p0p100;2003;819.3000000000001;992;i
FM;aconfci992;p0p100;2004;811.3000000000001;992;i
FM;aconfci992;p0p100;2005;803.8000000000001;992;i
FM;aconfci992;p0p100;2006;797.2;992;i
FM;aconfci992;p0p100;2007;793.5;992;i
FM;aconfci992;p0p100;2008;795;992;i
FM;aconfci992;p0p100;2009;801.2;992;i
FM;aconfci992;p0p100;2010;800.3000000000001;992;i
FM;aconfci992;p0p100;2011;790.5;992;i
FM;aconfci992;p0p100;2012;777.9000000000001;992;i
FM;aconfci992;p0p100;2013;764.5;992;i
FM;aconfci992;p0p100;2014;755.3000000000001;992;i
FM;aconfci992;p0p100;2015;751.1;992;i
FM;aconfci992;p0p100;2016;749.4000000000001;992;i
FM;aconfci992;p0p100;2017;746.3000000000001;992;i
FM;aconfci992;p0p100;2018;738.2;992;i
FM;aconfci992;p0p100;2019;725.7;992;i
FM;aconfci992;p0p100;2020;706.3000000000001;992;i
FM;aconfci992;p0p100;2021;683.7;992;i
FM;aconfci992;p0p100;2022;663;992;i
FM;aconfci992;p0p100;2023;643.3000000000001;992;i
FM;aconfci999;p0p100;1970;210.5;999;i
FM;aconfci999;p0p100;1971;231.7;999;i
FM;aconfci999;p0p100;1972;257;999;i
FM;aconfci999;p0p100;1973;284.7;999;i
FM;aconfci999;p0p100;1974;308;999;i
FM;aconfci999;p0p100;1975;323.2;999;i
FM;aconfci999;p0p100;1976;331;999;i
FM;aconfci999;p0p100;1977;332.8;999;i
FM;aconfci999;p0p100;1978;328.9;999;i
FM;aconfci999;p0p100;1979;320.5;999;i
FM;aconfci999;p0p100;1980;311.5;999;i
FM;aconfci999;p0p100;1981;304.2;999;i
FM;aconfci999;p0p100;1982;298.9;999;i
FM;aconfci999;p0p100;1983;297.2;999;i
FM;aconfci999;p0p100;1984;300.4;999;i
FM;aconfci999;p0p100;1985;308.2;999;i
FM;aconfci999;p0p100;1986;317.1;999;i
FM;aconfci999;p0p100;1987;325;999;i
FM;aconfci999;p0p100;1988;333.8;999;i
FM;aconfci999;p0p100;1989;344.6;999;i
FM;aconfci999;p0p100;1990;356.8;999;i
FM;aconfci999;p0p100;1991;369.9;999;i
FM;aconfci999;p0p100;1992;379;999;i
FM;aconfci999;p0p100;1993;382.1;999;i
FM;aconfci999;p0p100;1994;381.5;999;i
FM;aconfci999;p0p100;1995;381.3;999;i
FM;aconfci999;p0p100;1996;380.6;999;i
FM;aconfci999;p0p100;1997;379.3;999;i
FM;aconfci999;p0p100;1998;380.9;999;i
FM;aconfci999;p0p100;1999;386.1;999;i
FM;aconfci999;p0p100;2000;393.1;999;i
FM;aconfci999;p0p100;2001;399.3;999;i
FM;aconfci999;p0p100;2002;404.4;999;i
FM;aconfci999;p0p100;2003;407.9;999;i
FM;aconfci999;p0p100;2004;409.7;999;i
FM;aconfci999;p0p100;2005;410.9;999;i
FM;aconfci999;p0p100;2006;411.6;999;i
FM;aconfci999;p0p100;2007;412.7;999;i
FM;aconfci999;p0p100;2008;415.3;999;i
FM;aconfci999;p0p100;2009;419.9;999;i
FM;aconfci999;p0p100;2010;422.7;999;i
FM;aconfci999;p0p100;2011;421.7;999;i
FM;aconfci999;p0p100;2012;418.8;999;i
FM;aconfci999;p0p100;2013;415.6;999;i
FM;aconfci999;p0p100;2014;414.6;999;i
FM;aconfci999;p0p100;2015;416.6;999;i
FM;aconfci999;p0p100;2016;419.8;999;i
FM;aconfci999;p0p100;2017;422.2;999;i
FM;aconfci999;p0p100;2018;422.2;999;i
FM;aconfci999;p0p100;2019;419.3;999;i
FM;aconfci999;p0p100;2020;412.3;999;i
FM;aconfci999;p0p100;2021;402.9;999;i
FM;aconfci999;p0p100;2022;393.7;999;i
FM;aconfci999;p0p100;2023;385.1;999;i
FM;accshni992;p0p100;1995;7.100000000000001;992;i
FM;accshni992;p0p100;1996;9.200000000000001;992;i
FM;accshni992;p0p100;1997;10.5;992;i
FM;accshni992;p0p100;1998;6.2;992;i
FM;accshni992;p0p100;1999;9.3;992;i
FM;accshni992;p0p100;2000;7;992;i
FM;accshni992;p0p100;2001;5.800000000000001;992;i
FM;accshni992;p0p100;2002;6.2;992;i
FM;accshni992;p0p100;2003;4.5;992;i
FM;accshni992;p0p100;2004;3.4;992;i
FM;accshni992;p0p100;2005;3.4;992;i
FM;accshni992;p0p100;2006;3.6;992;i
FM;accshni992;p0p100;2007;3.7;992;i
FM;accshni992;p0p100;2008;2.9;992;i
FM;accshni992;p0p100;2009;1.9;992;i
FM;accshni992;p0p100;2010;2.5;992;i
FM;accshni992;p0p100;2011;2.4;992;i
FM;accshni992;p0p100;2012;1.4;992;i
FM;accshni992;p0p100;2013;1.2;992;i
FM;accshni992;p0p100;2014;1.1;992;i
FM;accshni992;p0p100;2015;2.8;992;i
FM;accshni992;p0p100;2016;2.8;992;i
FM;accshni992;p0p100;2017;2.8;992;i
FM;accshni992;p0p100;2018;2.7;992;i
FM;adefgei992;p0p100;1980;115.8;992;i
FM;adefgei992;p0p100;1981;114.6;992;i
FM;adefgei992;p0p100;1982;98.80000000000001;992;i
FM;adefgei992;p0p100;1983;106.9;992;i
FM;adefgei992;p0p100;1984;118.4;992;i
FM;adefgei992;p0p100;1985;129.5;992;i
FM;adefgei992;p0p100;1986;120.8;992;i
FM;adefgei992;p0p100;1987;124.7;992;i
FM;adefgei992;p0p100;1988;124;992;i
FM;adefgei992;p0p100;1989;149.6;992;i
FM;adefgei992;p0p100;1990;155.3;992;i
FM;adefgei992;p0p100;1991;140.4;992;i
FM;adefgei992;p0p100;1992;120.6;992;i
FM;adefgei992;p0p100;1993;126;992;i
FM;adefgei992;p0p100;1994;109;992;i
FM;adefgei992;p0p100;1995;86.80000000000001;992;i
FM;adefgei992;p0p100;1996;102.8;992;i
FM;adefgei992;p0p100;1997;117.6;992;i
