country;variable;percentile;year;value;age;pop
GD;acomnxi999;p0p100;1970;-214.3;999;i
GD;acomnxi999;p0p100;1971;-258.5;999;i
GD;acomnxi999;p0p100;1972;-236.1;999;i
GD;acomnxi999;p0p100;1973;-320.9;999;i
GD;acomnxi999;p0p100;1974;-255;999;i
GD;acomnxi999;p0p100;1975;-257.4;999;i
GD;acomnxi999;p0p100;1976;-300.9;999;i
GD;acomnxi999;p0p100;1977;-12.1;999;i
GD;acomnxi999;p0p100;1978;-14.1;999;i
GD;acomnxi999;p0p100;1979;-24.7;999;i
GD;acomnxi999;p0p100;1980;-365.3;999;i
GD;acomnxi999;p0p100;1981;-791.7;999;i
GD;acomnxi999;p0p100;1982;-625.8000000000001;999;i
GD;acomnxi999;p0p100;1983;-483.3;999;i
GD;acomnxi999;p0p100;1984;-82;999;i
GD;acomnxi999;p0p100;1985;-78;999;i
GD;acomnxi999;p0p100;1986;-106.7;999;i
GD;acomnxi999;p0p100;1987;-68.2;999;i
GD;acomnxi999;p0p100;1988;10.4;999;i
GD;acomnxi999;p0p100;1989;3.8;999;i
GD;acomnxi999;p0p100;1990;4.3;999;i
GD;acomnxi999;p0p100;1991;2.4;999;i
GD;acomnxi999;p0p100;1992;3.7;999;i
GD;acomnxi999;p0p100;1993;3.1;999;i
GD;acomnxi999;p0p100;1994;2.7;999;i
GD;acomnxi999;p0p100;1995;2.2;999;i
GD;acomnxi999;p0p100;1996;-1.1;999;i
GD;acomnxi999;p0p100;1997;0.8;999;i
GD;acomnxi999;p0p100;1998;0.7000000000000001;999;i
GD;acomnxi999;p0p100;1999;-140.4;999;i
GD;acomnxi999;p0p100;2000;-295.9;999;i
GD;acomnxi999;p0p100;2001;-352.6;999;i
GD;acomnxi999;p0p100;2002;-383.1;999;i
GD;acomnxi999;p0p100;2003;-455.9;999;i
GD;acomnxi999;p0p100;2004;-477.6;999;i
GD;acomnxi999;p0p100;2005;-537;999;i
GD;acomnxi999;p0p100;2006;-633.9000000000001;999;i
GD;acomnxi999;p0p100;2007;-603.3000000000001;999;i
GD;acomnxi999;p0p100;2008;-614.8000000000001;999;i
GD;acomnxi999;p0p100;2009;-654.2;999;i
GD;acomnxi999;p0p100;2010;-638.8000000000001;999;i
GD;acomnxi999;p0p100;2011;-680.7;999;i
GD;acomnxi999;p0p100;2012;-729.2;999;i
GD;acomnxi999;p0p100;2013;-750.1;999;i
GD;acomnxi999;p0p100;2014;-889.1;999;i
GD;acomnxi999;p0p100;2015;-828;999;i
GD;acomnxi999;p0p100;2016;-833.7;999;i
GD;acomnxi999;p0p100;2017;-869.2;999;i
GD;acomnxi999;p0p100;2018;-868.1;999;i
GD;acomnxi999;p0p100;2019;-845.7;999;i
GD;acomnxi999;p0p100;2020;-862.8000000000001;999;i
GD;acomnxi999;p0p100;2021;-816.2;999;i
GD;acomnxi999;p0p100;2022;-755.5;999;i
GD;acomnxi999;p0p100;2023;-669.1;999;i
GD;acompxi999;p0p100;1970;216.9;999;i
GD;acompxi999;p0p100;1971;261.5;999;i
GD;acompxi999;p0p100;1972;239.4;999;i
GD;acompxi999;p0p100;1973;324.8;999;i
GD;acompxi999;p0p100;1974;259.4;999;i
GD;acompxi999;p0p100;1975;262;999;i
GD;acompxi999;p0p100;1976;306.1;999;i
GD;acompxi999;p0p100;1977;19.6;999;i
GD;acompxi999;p0p100;1978;23.4;999;i
GD;acompxi999;p0p100;1979;33.7;999;i
GD;acompxi999;p0p100;1980;371.4;999;i
GD;acompxi999;p0p100;1981;798.8000000000001;999;i
GD;acompxi999;p0p100;1982;633;999;i
GD;acompxi999;p0p100;1983;490.5;999;i
GD;acompxi999;p0p100;1984;93.5;999;i
GD;acompxi999;p0p100;1985;89;999;i
GD;acompxi999;p0p100;1986;117;999;i
GD;acompxi999;p0p100;1987;84.7;999;i
GD;acompxi999;p0p100;1988;8.4;999;i
GD;acompxi999;p0p100;1989;8;999;i
GD;acompxi999;p0p100;1990;1.8;999;i
GD;acompxi999;p0p100;1991;1.3;999;i
GD;acompxi999;p0p100;1992;1;999;i
GD;acompxi999;p0p100;1993;1;999;i
GD;acompxi999;p0p100;1994;1;999;i
GD;acompxi999;p0p100;1995;1.3;999;i
GD;acompxi999;p0p100;1996;1.3;999;i
GD;acompxi999;p0p100;1997;1;999;i
GD;acompxi999;p0p100;1998;1;999;i
GD;acompxi999;p0p100;1999;141.4;999;i
GD;acompxi999;p0p100;2000;319.5;999;i
GD;acompxi999;p0p100;2001;366;999;i
GD;acompxi999;p0p100;2002;389.6;999;i
GD;acompxi999;p0p100;2003;461.9;999;i
GD;acompxi999;p0p100;2004;492.7;999;i
GD;acompxi999;p0p100;2005;551.7;999;i
GD;acompxi999;p0p100;2006;650;999;i
GD;acompxi999;p0p100;2007;621.6;999;i
GD;acompxi999;p0p100;2008;633.3000000000001;999;i
GD;acompxi999;p0p100;2009;675.2;999;i
GD;acompxi999;p0p100;2010;660.6;999;i
GD;acompxi999;p0p100;2011;700.1;999;i
GD;acompxi999;p0p100;2012;754.5;999;i
GD;acompxi999;p0p100;2013;774.9000000000001;999;i
GD;acompxi999;p0p100;2014;903.1;999;i
GD;acompxi999;p0p100;2015;841.4000000000001;999;i
GD;acompxi999;p0p100;2016;849;999;i
GD;acompxi999;p0p100;2017;883.4000000000001;999;i
GD;acompxi999;p0p100;2018;881.6;999;i
GD;acompxi999;p0p100;2019;861.5;999;i
GD;acompxi999;p0p100;2020;868.8000000000001;999;i
GD;acompxi999;p0p100;2021;821.5;999;i
GD;acompxi999;p0p100;2022;774;999;i
GD;acompxi999;p0p100;2023;703.8000000000001;999;i
GD;acomrxi999;p0p100;1970;2.6;999;i
GD;acomrxi999;p0p100;1971;3;999;i
GD;acomrxi999;p0p100;1972;3.3;999;i
GD;acomrxi999;p0p100;1973;3.9;999;i
GD;acomrxi999;p0p100;1974;4.4;999;i
GD;acomrxi999;p0p100;1975;4.600000000000001;999;i
GD;acomrxi999;p0p100;1976;5.100000000000001;999;i
GD;acomrxi999;p0p100;1977;7.600000000000001;999;i
GD;acomrxi999;p0p100;1978;9.3;999;i
GD;acomrxi999;p0p100;1979;9.1;999;i
GD;acomrxi999;p0p100;1980;6.100000000000001;999;i
GD;acomrxi999;p0p100;1981;7.100000000000001;999;i
GD;acomrxi999;p0p100;1982;7.2;999;i
GD;acomrxi999;p0p100;1983;7.300000000000001;999;i
GD;acomrxi999;p0p100;1984;11.5;999;i
GD;acomrxi999;p0p100;1985;11;999;i
GD;acomrxi999;p0p100;1986;10.3;999;i
GD;acomrxi999;p0p100;1987;16.5;999;i
GD;acomrxi999;p0p100;1988;18.8;999;i
GD;acomrxi999;p0p100;1989;11.8;999;i
GD;acomrxi999;p0p100;1990;6.100000000000001;999;i
GD;acomrxi999;p0p100;1991;3.7;999;i
GD;acomrxi999;p0p100;1992;4.7;999;i
GD;acomrxi999;p0p100;1993;4.100000000000001;999;i
GD;acomrxi999;p0p100;1994;3.7;999;i
GD;acomrxi999;p0p100;1995;3.5;999;i
GD;acomrxi999;p0p100;1996;0.2;999;i
GD;acomrxi999;p0p100;1997;1.8;999;i
GD;acomrxi999;p0p100;1998;1.7;999;i
GD;acomrxi999;p0p100;1999;1;999;i
GD;acomrxi999;p0p100;2000;23.5;999;i
GD;acomrxi999;p0p100;2001;13.4;999;i
GD;acomrxi999;p0p100;2002;6.5;999;i
GD;acomrxi999;p0p100;2003;6;999;i
GD;acomrxi999;p0p100;2004;15.1;999;i
GD;acomrxi999;p0p100;2005;14.6;999;i
GD;acomrxi999;p0p100;2006;16.1;999;i
GD;acomrxi999;p0p100;2007;18.4;999;i
GD;acomrxi999;p0p100;2008;18.5;999;i
GD;acomrxi999;p0p100;2009;21;999;i
GD;acomrxi999;p0p100;2010;21.8;999;i
GD;acomrxi999;p0p100;2011;19.4;999;i
GD;acomrxi999;p0p100;2012;25.3;999;i
GD;acomrxi999;p0p100;2013;24.7;999;i
