country;variable;percentile;year;value;age;pop
GG;acomnxi999;p0p100;1970;-85.30000000000001;999;i
GG;acomnxi999;p0p100;1971;-119.7;999;i
GG;acomnxi999;p0p100;1972;-54.6;999;i
GG;acomnxi999;p0p100;1973;-123.7;999;i
GG;acomnxi999;p0p100;1974;8.4;999;i
GG;acomnxi999;p0p100;1975;17.4;999;i
GG;acomnxi999;p0p100;1976;30.7;999;i
GG;acomnxi999;p0p100;1977;110.7;999;i
GG;acomnxi999;p0p100;1978;131.7;999;i
GG;acomnxi999;p0p100;1979;147.6;999;i
GG;acomnxi999;p0p100;1980;84.60000000000001;999;i
GG;acomnxi999;p0p100;1981;99.30000000000001;999;i
GG;acomnxi999;p0p100;1982;181.5;999;i
GG;acomnxi999;p0p100;1983;231.6;999;i
GG;acomnxi999;p0p100;1984;220.2;999;i
GG;acomnxi999;p0p100;1985;130.7;999;i
GG;acomnxi999;p0p100;1986;194.2;999;i
GG;acomnxi999;p0p100;1987;243.8;999;i
GG;acomnxi999;p0p100;1988;266.5;999;i
GG;acomnxi999;p0p100;1989;335.3;999;i
GG;acomnxi999;p0p100;1990;291.8;999;i
GG;acomnxi999;p0p100;1991;385.2;999;i
GG;acomnxi999;p0p100;1992;651.9000000000001;999;i
GG;acomnxi999;p0p100;1993;488.7;999;i
GG;acomnxi999;p0p100;1994;457.4;999;i
GG;acomnxi999;p0p100;1995;340.3;999;i
GG;acomnxi999;p0p100;1996;348.1;999;i
GG;acomnxi999;p0p100;1997;334.9;999;i
GG;acomnxi999;p0p100;1998;204;999;i
GG;acomnxi999;p0p100;1999;348.5;999;i
GG;acomnxi999;p0p100;2000;309.3;999;i
GG;acomnxi999;p0p100;2001;368.7;999;i
GG;acomnxi999;p0p100;2002;372.2;999;i
GG;acomnxi999;p0p100;2003;441.5;999;i
GG;acomnxi999;p0p100;2004;46.2;999;i
GG;acomnxi999;p0p100;2005;45.90000000000001;999;i
GG;acomnxi999;p0p100;2006;-102.7;999;i
GG;acomnxi999;p0p100;2007;148.4;999;i
GG;acomnxi999;p0p100;2008;274.3;999;i
GG;acomnxi999;p0p100;2009;394.2;999;i
