country;variable;percentile;year;value;age;pop
GI;acomnxi999;p0p100;1970;-63.1;999;i
GI;acomnxi999;p0p100;1971;-88;999;i
GI;acomnxi999;p0p100;1972;-39.90000000000001;999;i
GI;acomnxi999;p0p100;1973;-89.60000000000001;999;i
GI;acomnxi999;p0p100;1974;6.100000000000001;999;i
GI;acomnxi999;p0p100;1975;12.4;999;i
GI;acomnxi999;p0p100;1976;21.8;999;i
GI;acomnxi999;p0p100;1977;78;999;i
GI;acomnxi999;p0p100;1978;92.10000000000001;999;i
GI;acomnxi999;p0p100;1979;102.5;999;i
GI;acomnxi999;p0p100;1980;58.40000000000001;999;i
GI;acomnxi999;p0p100;1981;68.4;999;i
GI;acomnxi999;p0p100;1982;125.6;999;i
GI;acomnxi999;p0p100;1983;161.5;999;i
GI;acomnxi999;p0p100;1984;155.2;999;i
GI;acomnxi999;p0p100;1985;93.30000000000001;999;i
GI;acomnxi999;p0p100;1986;140.7;999;i
GI;acomnxi999;p0p100;1987;180.1;999;i
GI;acomnxi999;p0p100;1988;201.1;999;i
GI;acomnxi999;p0p100;1989;258.9;999;i
GI;acomnxi999;p0p100;1990;231.2;999;i
GI;acomnxi999;p0p100;1991;311.4;999;i
GI;acomnxi999;p0p100;1992;540.9;999;i
GI;acomnxi999;p0p100;1993;413.4;999;i
GI;acomnxi999;p0p100;1994;383.9;999;i
GI;acomnxi999;p0p100;1995;276.3;999;i
GI;acomnxi999;p0p100;1996;281.5;999;i
GI;acomnxi999;p0p100;1997;262.2;999;i
GI;acomnxi999;p0p100;1998;155.5;999;i
GI;acomnxi999;p0p100;1999;270.6;999;i
GI;acomnxi999;p0p100;2000;237.2;999;i
GI;acomnxi999;p0p100;2001;298.5;999;i
GI;acomnxi999;p0p100;2002;305.4;999;i
GI;acomnxi999;p0p100;2003;389;999;i
GI;acomnxi999;p0p100;2004;39.7;999;i
GI;acomnxi999;p0p100;2005;42.3;999;i
GI;acomnxi999;p0p100;2006;-97.4;999;i
GI;acomnxi999;p0p100;2007;120;999;i
GI;acomnxi999;p0p100;2008;260;999;i
GI;acomnxi999;p0p100;2009;293.1;999;i
GI;acomnxi999;p0p100;2010;248.5;999;i
GI;acomnxi999;p0p100;2011;137.9;999;i
GI;acomnxi999;p0p100;2012;-85.60000000000001;999;i
GI;acomnxi999;p0p100;2013;-38;999;i
GI;acomnxi999;p0p100;2014;-85.9;999;i
GI;acomnxi999;p0p100;2015;127.7;999;i
GI;acomnxi999;p0p100;2016;72.60000000000001;999;i
GI;acomnxi999;p0p100;2017;99.2;999;i
GI;acomnxi999;p0p100;2018;89;999;i
GI;acomnxi999;p0p100;2019;262.8;999;i
GI;acomnxi999;p0p100;2020;176.3;999;i
GI;acomnxi999;p0p100;2021;116.1;999;i
GI;acomnxi999;p0p100;2022;258;999;i
GI;acomnxi999;p0p100;2023;58;999;i
GI;acompxi999;p0p100;1970;264.8;999;i
GI;acompxi999;p0p100;1971;304;999;i
GI;acompxi999;p0p100;1972;267;999;i
GI;acompxi999;p0p100;1973;339.5;999;i
GI;acompxi999;p0p100;1974;256.2;999;i
GI;acompxi999;p0p100;1975;227;999;i
GI;acompxi999;p0p100;1976;246.6;999;i
GI;acompxi999;p0p100;1977;260.1;999;i
GI;acompxi999;p0p100;1978;276.7;999;i
GI;acompxi999;p0p100;1979;216.6;999;i
GI;acompxi999;p0p100;1980;239.2;999;i
GI;acompxi999;p0p100;1981;295.9;999;i
GI;acompxi999;p0p100;1982;247.7;999;i
GI;acompxi999;p0p100;1983;232.8;999;i
GI;acompxi999;p0p100;1984;254;999;i
GI;acompxi999;p0p100;1985;290;999;i
GI;acompxi999;p0p100;1986;259.4;999;i
GI;acompxi999;p0p100;1987;258.4;999;i
GI;acompxi999;p0p100;1988;251.1;999;i
GI;acompxi999;p0p100;1989;272.6;999;i
GI;acompxi999;p0p100;1990;267.4;999;i
GI;acompxi999;p0p100;1991;275.3;999;i
GI;acompxi999;p0p100;1992;275.6;999;i
GI;acompxi999;p0p100;1993;269.9;999;i
GI;acompxi999;p0p100;1994;272.4;999;i
GI;acompxi999;p0p100;1995;276.9;999;i
GI;acompxi999;p0p100;1996;298.3;999;i
GI;acompxi999;p0p100;1997;324.2;999;i
GI;acompxi999;p0p100;1998;363;999;i
GI;acompxi999;p0p100;1999;364.3;999;i
GI;acompxi999;p0p100;2000;388.1;999;i
GI;acompxi999;p0p100;2001;453;999;i
GI;acompxi999;p0p100;2002;461.8;999;i
GI;acompxi999;p0p100;2003;521.9;999;i
GI;acompxi999;p0p100;2004;553.9;999;i
GI;acompxi999;p0p100;2005;602.5;999;i
GI;acompxi999;p0p100;2006;806;999;i
GI;acompxi999;p0p100;2007;577.2;999;i
GI;acompxi999;p0p100;2008;620;999;i
GI;acompxi999;p0p100;2009;668.5;999;i
GI;acompxi999;p0p100;2010;694.4000000000001;999;i
GI;acompxi999;p0p100;2011;702.6;999;i
GI;acompxi999;p0p100;2012;908.4000000000001;999;i
GI;acompxi999;p0p100;2013;950.3000000000001;999;i
GI;acompxi999;p0p100;2014;1093.8;999;i
GI;acompxi999;p0p100;2015;1038.4;999;i
GI;acompxi999;p0p100;2016;1240.2;999;i
GI;acompxi999;p0p100;2017;1224;999;i
GI;acompxi999;p0p100;2018;1424.7;999;i
GI;acompxi999;p0p100;2019;1402.4;999;i
GI;acompxi999;p0p100;2020;1462.8;999;i
GI;acompxi999;p0p100;2021;1377.6;999;i
GI;acompxi999;p0p100;2022;1317.4;999;i
GI;acompxi999;p0p100;2023;1338.8;999;i
GI;acomrxi999;p0p100;1970;201.7;999;i
GI;acomrxi999;p0p100;1971;215.9;999;i
GI;acomrxi999;p0p100;1972;227.1;999;i
GI;acomrxi999;p0p100;1973;249.9;999;i
GI;acomrxi999;p0p100;1974;262.3;999;i
GI;acomrxi999;p0p100;1975;239.4;999;i
GI;acomrxi999;p0p100;1976;268.4;999;i
GI;acomrxi999;p0p100;1977;338;999;i
GI;acomrxi999;p0p100;1978;368.9;999;i
GI;acomrxi999;p0p100;1979;319.1;999;i
GI;acomrxi999;p0p100;1980;297.5;999;i
GI;acomrxi999;p0p100;1981;364.2;999;i
GI;acomrxi999;p0p100;1982;373.3;999;i
GI;acomrxi999;p0p100;1983;394.3;999;i
GI;acomrxi999;p0p100;1984;409.1;999;i
GI;acomrxi999;p0p100;1985;383.3;999;i
GI;acomrxi999;p0p100;1986;400.1;999;i
GI;acomrxi999;p0p100;1987;438.5;999;i
GI;acomrxi999;p0p100;1988;452.2;999;i
GI;acomrxi999;p0p100;1989;531.6;999;i
GI;acomrxi999;p0p100;1990;498.6;999;i
GI;acomrxi999;p0p100;1991;586.7;999;i
GI;acomrxi999;p0p100;1992;816.5;999;i
GI;acomrxi999;p0p100;1993;683.3000000000001;999;i
GI;acomrxi999;p0p100;1994;656.4000000000001;999;i
GI;acomrxi999;p0p100;1995;553.3000000000001;999;i
GI;acomrxi999;p0p100;1996;579.8000000000001;999;i
GI;acomrxi999;p0p100;1997;586.5;999;i
GI;acomrxi999;p0p100;1998;518.5;999;i
GI;acomrxi999;p0p100;1999;634.9000000000001;999;i
GI;acomrxi999;p0p100;2000;625.3000000000001;999;i
GI;acomrxi999;p0p100;2001;751.5;999;i
GI;acomrxi999;p0p100;2002;767.2;999;i
GI;acomrxi999;p0p100;2003;910.9000000000001;999;i
GI;acomrxi999;p0p100;2004;593.5;999;i
GI;acomrxi999;p0p100;2005;644.7;999;i
GI;acomrxi999;p0p100;2006;708.7;999;i
GI;acomrxi999;p0p100;2007;697.2;999;i
GI;acomrxi999;p0p100;2008;880;999;i
GI;acomrxi999;p0p100;2009;961.5;999;i
GI;acomrxi999;p0p100;2010;942.9000000000001;999;i
GI;acomrxi999;p0p100;2011;840.4000000000001;999;i
GI;acomrxi999;p0p100;2012;822.8000000000001;999;i
GI;acomrxi999;p0p100;2013;912.3000000000001;999;i
GI;acomrxi999;p0p100;2014;1007.9;999;i
GI;acomrxi999;p0p100;2015;1166.1;999;i
GI;acomrxi999;p0p100;2016;1312.8;999;i
GI;acomrxi999;p0p100;2017;1323.2;999;i
GI;acomrxi999;p0p100;2018;1513.7;999;i
GI;acomrxi999;p0p100;2019;1665.2;999;i
GI;acomrxi999;p0p100;2020;1639.1;999;i
GI;acomrxi999;p0p100;2021;1493.7;999;i
GI;acomrxi999;p0p100;2022;1575.4;999;i
GI;acomrxi999;p0p100;2023;1396.8;999;i
GI;aconfci999;p0p100;1970;1562.9;999;i
GI;aconfci999;p0p100;1971;1564.4;999;i
GI;aconfci999;p0p100;1972;1572.6;999;i
GI;aconfci999;p0p100;1973;1575;999;i
GI;aconfci999;p0p100;1974;1570.4;999;i
GI;aconfci999;p0p100;1975;1568.9;999;i
GI;aconfci999;p0p100;1976;1587.4;999;i
GI;aconfci999;p0p100;1977;1619.4;999;i
GI;aconfci999;p0p100;1978;1657.3;999;i
GI;aconfci999;p0p100;1979;1693.1;999;i
GI;aconfci999;p0p100;1980;1730.7;999;i
GI;aconfci999;p0p100;1981;1780.1;999;i
GI;aconfci999;p0p100;1982;1841.5;999;i
GI;aconfci999;p0p100;1983;1915.5;999;i
GI;aconfci999;p0p100;1984;1999.1;999;i
GI;aconfci999;p0p100;1985;2088.8;999;i
GI;aconfci999;p0p100;1986;2186.1;999;i
GI;aconfci999;p0p100;1987;2289.1;999;i
GI;aconfci999;p0p100;1988;2394.4;999;i
GI;aconfci999;p0p100;1989;2499.6;999;i
GI;aconfci999;p0p100;1990;2605.6;999;i
GI;aconfci999;p0p100;1991;2704.8;999;i
GI;aconfci999;p0p100;1992;2772.1;999;i
GI;aconfci999;p0p100;1993;2819.4;999;i
GI;aconfci999;p0p100;1994;2878.8;999;i
GI;aconfci999;p0p100;1995;2953.8;999;i
GI;aconfci999;p0p100;1996;3049.5;999;i
GI;aconfci999;p0p100;1997;3169.8;999;i
GI;aconfci999;p0p100;1998;3322.4;999;i
GI;aconfci999;p0p100;1999;3519.6;999;i
GI;aconfci999;p0p100;2000;3758.8;999;i
GI;aconfci999;p0p100;2001;4038.9;999;i
GI;aconfci999;p0p100;2002;4306;999;i
GI;aconfci999;p0p100;2003;4540.6;999;i
GI;aconfci999;p0p100;2004;4773.8;999;i
GI;aconfci999;p0p100;2005;5007;999;i
GI;aconfci999;p0p100;2006;5247.3;999;i
GI;aconfci999;p0p100;2007;5502.5;999;i
GI;aconfci999;p0p100;2008;5815.8;999;i
GI;aconfci999;p0p100;2009;6151.1;999;i
GI;aconfci999;p0p100;2010;6510.6;999;i
GI;aconfci999;p0p100;2011;6915.900000000001;999;i
GI;aconfci999;p0p100;2012;7410.900000000001;999;i
GI;aconfci999;p0p100;2013;8078.900000000001;999;i
GI;aconfci999;p0p100;2014;8949.4;999;i
GI;aconfci999;p0p100;2015;9950.1;999;i
GI;aconfci999;p0p100;2016;11013.9;999;i
GI;aconfci999;p0p100;2017;11996.9;999;i
GI;aconfci999;p0p100;2018;12821.7;999;i
GI;aconfci999;p0p100;2019;13333.2;999;i
GI;aconfci999;p0p100;2020;13508.9;999;i
GI;aconfci999;p0p100;2021;13487.1;999;i
GI;aconfci999;p0p100;2022;13356.3;999;i
GI;aconfci999;p0p100;2023;13165.3;999;i
GI;adefgei992;p0p100;1980;308.1;992;i
GI;adefgei992;p0p100;1981;330.1;992;i
GI;adefgei992;p0p100;1982;338;992;i
GI;adefgei992;p0p100;1983;353.4;992;i
GI;adefgei992;p0p100;1984;367.9;992;i
GI;adefgei992;p0p100;1985;378.6;992;i
GI;adefgei992;p0p100;1986;400.6;992;i
GI;adefgei992;p0p100;1987;412;992;i
GI;adefgei992;p0p100;1988;425.1;992;i
GI;adefgei992;p0p100;1989;450.6;992;i
GI;adefgei992;p0p100;1990;465.4;992;i
GI;adefgei992;p0p100;1991;466.1;992;i
GI;adefgei992;p0p100;1992;463.3;992;i
GI;adefgei992;p0p100;1993;481.5;992;i
GI;adefgei992;p0p100;1994;473.2;992;i
GI;adefgei992;p0p100;1995;524.3000000000001;992;i
GI;adefgei992;p0p100;1996;551.5;992;i
GI;adefgei992;p0p100;1997;563.5;992;i
GI;adefgei992;p0p100;1998;595.5;992;i
GI;adefgei992;p0p100;1999;669.3000000000001;992;i
GI;adefgei992;p0p100;2000;656.3000000000001;992;i
GI;adefgei992;p0p100;2001;718;992;i
GI;adefgei992;p0p100;2002;751.3000000000001;992;i
GI;adefgei992;p0p100;2003;801.5;992;i
GI;adefgei992;p0p100;2004;803.8000000000001;992;i
GI;adefgei992;p0p100;2005;805.4000000000001;992;i
