country;variable;percentile;year;value;age;pop
IM;acomnxi999;p0p100;1970;-61.40000000000001;999;i
IM;acomnxi999;p0p100;1971;-85.10000000000001;999;i
IM;acomnxi999;p0p100;1972;-38.2;999;i
IM;acomnxi999;p0p100;1973;-85.4;999;i
IM;acomnxi999;p0p100;1974;5.7;999;i
IM;acomnxi999;p0p100;1975;11.7;999;i
IM;acomnxi999;p0p100;1976;20.4;999;i
IM;acomnxi999;p0p100;1977;72.4;999;i
IM;acomnxi999;p0p100;1978;84.80000000000001;999;i
IM;acomnxi999;p0p100;1979;93.60000000000001;999;i
IM;acomnxi999;p0p100;1980;52.8;999;i
IM;acomnxi999;p0p100;1981;61.5;999;i
IM;acomnxi999;p0p100;1982;113;999;i
IM;acomnxi999;p0p100;1983;145.4;999;i
IM;acomnxi999;p0p100;1984;140.9;999;i
IM;acomnxi999;p0p100;1985;83.7;999;i
IM;acomnxi999;p0p100;1986;141.6;999;i
IM;acomnxi999;p0p100;1987;190.6;999;i
IM;acomnxi999;p0p100;1988;223.9;999;i
IM;acomnxi999;p0p100;1989;290;999;i
IM;acomnxi999;p0p100;1990;258;999;i
IM;acomnxi999;p0p100;1991;337.9;999;i
IM;acomnxi999;p0p100;1992;576.3000000000001;999;i
IM;acomnxi999;p0p100;1993;446.8;999;i
IM;acomnxi999;p0p100;1994;415.6;999;i
IM;acomnxi999;p0p100;1995;301.5;999;i
IM;acomnxi999;p0p100;1996;324;999;i
IM;acomnxi999;p0p100;1997;312.2;999;i
IM;acomnxi999;p0p100;1998;204;999;i
IM;acomnxi999;p0p100;1999;373.2;999;i
IM;acomnxi999;p0p100;2000;317.5;999;i
IM;acomnxi999;p0p100;2001;388.4;999;i
IM;acomnxi999;p0p100;2002;399.8;999;i
IM;acomnxi999;p0p100;2003;501.7;999;i
IM;acomnxi999;p0p100;2004;52;999;i
IM;acomnxi999;p0p100;2005;55.40000000000001;999;i
IM;acomnxi999;p0p100;2006;-125.8;999;i
IM;acomnxi999;p0p100;2007;177.9;999;i
IM;acomnxi999;p0p100;2008;339.7;999;i
IM;acomnxi999;p0p100;2009;377.8;999;i
IM;acomnxi999;p0p100;2010;307.2;999;i
IM;acomnxi999;p0p100;2011;172.7;999;i
IM;acomnxi999;p0p100;2012;-105.9;999;i
IM;acomnxi999;p0p100;2013;-45.8;999;i
IM;acomnxi999;p0p100;2014;-101.2;999;i
IM;acomnxi999;p0p100;2015;133.4;999;i
IM;acomnxi999;p0p100;2016;70.10000000000001;999;i
IM;acomnxi999;p0p100;2017;99.2;999;i
IM;acomnxi999;p0p100;2018;77.7;999;i
IM;acomnxi999;p0p100;2019;223.7;999;i
IM;acomnxi999;p0p100;2020;141.7;999;i
IM;acomnxi999;p0p100;2021;87.10000000000001;999;i
IM;acomnxi999;p0p100;2022;166.1;999;i
IM;acomnxi999;p0p100;2023;32.1;999;i
IM;acompxi999;p0p100;1970;257.5;999;i
IM;acompxi999;p0p100;1971;293.9;999;i
IM;acompxi999;p0p100;1972;256.1;999;i
IM;acompxi999;p0p100;1973;323.3;999;i
IM;acompxi999;p0p100;1974;242.4;999;i
IM;acompxi999;p0p100;1975;213.5;999;i
IM;acompxi999;p0p100;1976;230.6;999;i
IM;acompxi999;p0p100;1977;241.5;999;i
IM;acompxi999;p0p100;1978;254.9;999;i
IM;acompxi999;p0p100;1979;197.7;999;i
IM;acompxi999;p0p100;1980;216.4;999;i
IM;acompxi999;p0p100;1981;266.2;999;i
IM;acompxi999;p0p100;1982;222.9;999;i
IM;acompxi999;p0p100;1983;209.6;999;i
