country;variable;percentile;year;value;age;pop
JE;acomnxi999;p0p100;1970;-164;999;i
JE;acomnxi999;p0p100;1971;-229.6;999;i
JE;acomnxi999;p0p100;1972;-103.4;999;i
JE;acomnxi999;p0p100;1973;-230.9;999;i
JE;acomnxi999;p0p100;1974;15.6;999;i
JE;acomnxi999;p0p100;1975;31.7;999;i
JE;acomnxi999;p0p100;1976;55.40000000000001;999;i
JE;acomnxi999;p0p100;1977;198.2;999;i
JE;acomnxi999;p0p100;1978;234.3;999;i
JE;acomnxi999;p0p100;1979;260.9;999;i
JE;acomnxi999;p0p100;1980;148.6;999;i
JE;acomnxi999;p0p100;1981;173.5;999;i
JE;acomnxi999;p0p100;1982;316;999;i
JE;acomnxi999;p0p100;1983;401.8;999;i
JE;acomnxi999;p0p100;1984;381;999;i
JE;acomnxi999;p0p100;1985;225.7;999;i
JE;acomnxi999;p0p100;1986;335.1;999;i
JE;acomnxi999;p0p100;1987;420.7;999;i
JE;acomnxi999;p0p100;1988;460.4;999;i
JE;acomnxi999;p0p100;1989;580.6;999;i
JE;acomnxi999;p0p100;1990;507.4;999;i
JE;acomnxi999;p0p100;1991;671.2;999;i
JE;acomnxi999;p0p100;1992;1158.9;999;i
JE;acomnxi999;p0p100;1993;888.6;999;i
JE;acomnxi999;p0p100;1994;828.4000000000001;999;i
JE;acomnxi999;p0p100;1995;598.3000000000001;999;i
JE;acomnxi999;p0p100;1996;609.2;999;i
JE;acomnxi999;p0p100;1997;566;999;i
JE;acomnxi999;p0p100;1998;343.3;999;i
JE;acomnxi999;p0p100;1999;595.6;999;i
JE;acomnxi999;p0p100;2000;519.7;999;i
JE;acomnxi999;p0p100;2001;602.5;999;i
JE;acomnxi999;p0p100;2002;574.7;999;i
JE;acomnxi999;p0p100;2003;668.4000000000001;999;i
JE;acomnxi999;p0p100;2004;65.2;999;i
JE;acomnxi999;p0p100;2005;65.7;999;i
JE;acomnxi999;p0p100;2006;-145.2;999;i
JE;acomnxi999;p0p100;2007;200.6;999;i
JE;acomnxi999;p0p100;2008;356.1;999;i
JE;acomnxi999;p0p100;2009;370.7;999;i
JE;acomnxi999;p0p100;2010;277;999;i
JE;acomnxi999;p0p100;2011;153.2;999;i
JE;acomnxi999;p0p100;2012;-84.80000000000001;999;i
JE;acomnxi999;p0p100;2013;-34.7;999;i
JE;acomnxi999;p0p100;2014;-76.2;999;i
JE;acomnxi999;p0p100;2015;99.80000000000001;999;i
JE;acomnxi999;p0p100;2016;48.3;999;i
JE;acomnxi999;p0p100;2017;67.5;999;i
JE;acomnxi999;p0p100;2018;53.90000000000001;999;i
JE;acomnxi999;p0p100;2019;157.4;999;i
JE;acomnxi999;p0p100;2020;95.5;999;i
JE;acomnxi999;p0p100;2021;71.8;999;i
JE;acomnxi999;p0p100;2022;167.8;999;i
JE;acomnxi999;p0p100;2023;39.8;999;i
JE;acompxi992;p0p100;1970;935.9000000000001;992;i
JE;acompxi992;p0p100;1971;1078.5;992;i
JE;acompxi992;p0p100;1972;945.4000000000001;992;i
JE;acompxi992;p0p100;1973;1195.6;992;i
JE;acompxi992;p0p100;1974;894;992;i
JE;acompxi992;p0p100;1975;782;992;i
JE;acompxi992;p0p100;1976;842.7;992;i
JE;acompxi992;p0p100;1977;888.1;992;i
JE;acompxi992;p0p100;1978;944.6;992;i
JE;acompxi992;p0p100;1979;737.2;992;i
JE;acompxi992;p0p100;1980;811;992;i
JE;acompxi992;p0p100;1981;996.5;992;i
JE;acompxi992;p0p100;1982;825;992;i
JE;acompxi992;p0p100;1983;762.4000000000001;992;i
JE;acompxi992;p0p100;1984;814.6;992;i
JE;acompxi992;p0p100;1985;908.1;992;i
JE;acompxi992;p0p100;1986;793.9000000000001;992;i
JE;acompxi992;p0p100;1987;774.6;992;i
JE;acompxi992;p0p100;1988;735;992;i
JE;acompxi992;p0p100;1989;778.5;992;i
JE;acompxi992;p0p100;1990;744.8000000000001;992;i
JE;acompxi992;p0p100;1991;751.9000000000001;992;i
JE;acompxi992;p0p100;1992;749.6;992;i
JE;acompxi992;p0p100;1993;738.3000000000001;992;i
JE;acompxi992;p0p100;1994;749.5;992;i
JE;acompxi992;p0p100;1995;764.9000000000001;992;i
JE;acompxi992;p0p100;1996;825.7;992;i
JE;acompxi992;p0p100;1997;898.8000000000001;992;i
JE;acompxi992;p0p100;1998;1032.4;992;i
JE;acompxi992;p0p100;1999;1034.3;992;i
JE;acompxi992;p0p100;2000;1095.6;992;i
JE;acompxi992;p0p100;2001;1177.5;992;i
JE;acompxi992;p0p100;2002;1121.1;992;i
JE;acompxi992;p0p100;2003;1158.8;992;i
JE;acompxi992;p0p100;2004;1176.4;992;i
JE;acompxi992;p0p100;2005;1209.8;992;i
JE;acompxi992;p0p100;2006;1550.1;992;i
JE;acompxi992;p0p100;2007;1242.1;992;i
JE;acompxi992;p0p100;2008;1089.1;992;i
JE;acompxi992;p0p100;2009;1080.2;992;i
JE;acompxi992;p0p100;2010;984.7;992;i
JE;acompxi992;p0p100;2011;990.6;992;i
JE;acompxi992;p0p100;2012;1140.8;992;i
JE;acompxi992;p0p100;2013;1098.3;992;i
JE;acompxi992;p0p100;2014;1226.8;992;i
JE;acompxi992;p0p100;2015;1025.3;992;i
JE;acompxi992;p0p100;2016;1040.7;992;i
JE;acompxi992;p0p100;2017;1047.7;992;i
JE;acompxi992;p0p100;2018;1083.6;992;i
JE;acompxi992;p0p100;2019;1052.4;992;i
JE;acompxi992;p0p100;2020;991.8000000000001;992;i
JE;acompxi992;p0p100;2021;1065.1;992;i
JE;acompxi992;p0p100;2022;1070.7;992;i
JE;acompxi992;p0p100;2023;1147.3;992;i
JE;acompxi999;p0p100;1970;688.2;999;i
JE;acompxi999;p0p100;1971;793.1;999;i
JE;acompxi999;p0p100;1972;692.3000000000001;999;i
JE;acompxi999;p0p100;1973;874.4000000000001;999;i
JE;acompxi999;p0p100;1974;656.1;999;i
