country;variable;percentile;year;value;age;pop
KI;acomnxi999;p0p100;1970;-28.5;999;i
KI;acomnxi999;p0p100;1971;-30.9;999;i
KI;acomnxi999;p0p100;1972;-443.4;999;i
KI;acomnxi999;p0p100;1973;-978.2;999;i
KI;acomnxi999;p0p100;1974;-506;999;i
KI;acomnxi999;p0p100;1975;-641.8000000000001;999;i
KI;acomnxi999;p0p100;1976;-131.9;999;i
KI;acomnxi999;p0p100;1977;-346.8;999;i
KI;acomnxi999;p0p100;1978;-378.2;999;i
KI;acomnxi999;p0p100;1979;76.2;999;i
KI;acomnxi999;p0p100;1980;119.3;999;i
KI;acomnxi999;p0p100;1981;138.9;999;i
KI;acomnxi999;p0p100;1982;189.4;999;i
KI;acomnxi999;p0p100;1983;170.7;999;i
KI;acomnxi999;p0p100;1984;146.4;999;i
KI;acomnxi999;p0p100;1985;170.1;999;i
KI;acomnxi999;p0p100;1986;169.2;999;i
KI;acomnxi999;p0p100;1987;195.5;999;i
KI;acomnxi999;p0p100;1988;133.4;999;i
KI;acomnxi999;p0p100;1989;166.7;999;i
KI;acomnxi999;p0p100;1990;157.3;999;i
KI;acomnxi999;p0p100;1991;134.1;999;i
KI;acomnxi999;p0p100;1992;172.1;999;i
KI;acomnxi999;p0p100;1993;141.7;999;i
KI;acomnxi999;p0p100;1994;129.9;999;i
KI;acomnxi999;p0p100;1995;203;999;i
KI;acomnxi999;p0p100;1996;44.8;999;i
KI;acomnxi999;p0p100;1997;215.1;999;i
KI;acomnxi999;p0p100;1998;235.2;999;i
KI;acomnxi999;p0p100;1999;170.6;999;i
KI;acomnxi999;p0p100;2000;187.9;999;i
KI;acomnxi999;p0p100;2001;261;999;i
KI;acomnxi999;p0p100;2002;-49;999;i
KI;acomnxi999;p0p100;2003;234.2;999;i
KI;acomnxi999;p0p100;2004;202.8;999;i
KI;acomnxi999;p0p100;2005;193.6;999;i
KI;acomnxi999;p0p100;2006;233.5;999;i
KI;acomnxi999;p0p100;2007;210.7;999;i
KI;acomnxi999;p0p100;2008;219.2;999;i
KI;acomnxi999;p0p100;2009;249.5;999;i
KI;acomnxi999;p0p100;2010;228.7;999;i
KI;acomnxi999;p0p100;2011;178.2;999;i
KI;acomnxi999;p0p100;2012;172.9;999;i
KI;acomnxi999;p0p100;2013;68.60000000000001;999;i
KI;acomnxi999;p0p100;2014;169.8;999;i
KI;acomnxi999;p0p100;2015;201.1;999;i
KI;acomnxi999;p0p100;2016;154.4;999;i
KI;acomnxi999;p0p100;2017;168.6;999;i
KI;acomnxi999;p0p100;2018;163;999;i
KI;acomnxi999;p0p100;2019;200.2;999;i
KI;acomnxi999;p0p100;2020;108.5;999;i
KI;acomnxi999;p0p100;2021;55.7;999;i
KI;acomnxi999;p0p100;2022;213.3;999;i
KI;acomnxi999;p0p100;2023;191.7;999;i
KI;acompxi999;p0p100;1970;32.2;999;i
KI;acompxi999;p0p100;1971;34.7;999;i
KI;acompxi999;p0p100;1972;392.7;999;i
KI;acompxi999;p0p100;1973;949.1;999;i
KI;acompxi999;p0p100;1974;495.4;999;i
KI;acompxi999;p0p100;1975;339.7;999;i
KI;acompxi999;p0p100;1976;93.9;999;i
KI;acompxi999;p0p100;1977;100.9;999;i
KI;acompxi999;p0p100;1978;123.6;999;i
KI;acompxi999;p0p100;1979;24.6;999;i
KI;acompxi999;p0p100;1980;21;999;i
KI;acompxi999;p0p100;1981;18.8;999;i
KI;acompxi999;p0p100;1982;4;999;i
KI;acompxi999;p0p100;1983;6.600000000000001;999;i
KI;acompxi999;p0p100;1984;10;999;i
KI;acompxi999;p0p100;1985;15.1;999;i
KI;acompxi999;p0p100;1986;17.2;999;i
KI;acompxi999;p0p100;1987;16.3;999;i
KI;acompxi999;p0p100;1988;14.4;999;i
KI;acompxi999;p0p100;1989;15.3;999;i
KI;acompxi999;p0p100;1990;17.8;999;i
KI;acompxi999;p0p100;1991;19.6;999;i
KI;acompxi999;p0p100;1992;18.3;999;i
KI;acompxi999;p0p100;1993;19.7;999;i
KI;acompxi999;p0p100;1994;20.1;999;i
KI;acompxi999;p0p100;1995;8.6;999;i
KI;acompxi999;p0p100;1996;29;999;i
KI;acompxi999;p0p100;1997;10.1;999;i
KI;acompxi999;p0p100;1998;7.9;999;i
KI;acompxi999;p0p100;1999;17.3;999;i
KI;acompxi999;p0p100;2000;15.4;999;i
KI;acompxi999;p0p100;2001;8.5;999;i
KI;acompxi999;p0p100;2002;27.8;999;i
KI;acompxi999;p0p100;2003;17.7;999;i
KI;acompxi999;p0p100;2004;17.5;999;i
KI;acompxi999;p0p100;2005;19.7;999;i
KI;acompxi999;p0p100;2006;19.3;999;i
KI;acompxi999;p0p100;2007;14.8;999;i
KI;acompxi999;p0p100;2008;8.4;999;i
KI;acompxi999;p0p100;2009;9.9;999;i
KI;acompxi999;p0p100;2010;10.9;999;i
KI;acompxi999;p0p100;2011;11.2;999;i
KI;acompxi999;p0p100;2012;11.3;999;i
KI;acompxi999;p0p100;2013;12.7;999;i
KI;acompxi999;p0p100;2014;7.4;999;i
KI;acompxi999;p0p100;2015;9.5;999;i
KI;acompxi999;p0p100;2016;7.9;999;i
KI;acompxi999;p0p100;2017;7.800000000000001;999;i
KI;acompxi999;p0p100;2018;8.5;999;i
KI;acompxi999;p0p100;2019;7.600000000000001;999;i
KI;acompxi999;p0p100;2020;7.9;999;i
KI;acompxi999;p0p100;2021;9.5;999;i
KI;acompxi999;p0p100;2022;8.8;999;i
KI;acompxi999;p0p100;2023;12.9;999;i
KI;acomrxi992;p0p100;1970;8.1;992;i
KI;acomrxi992;p0p100;1971;8.3;992;i
KI;acomrxi992;p0p100;1972;-111.7;992;i
KI;acomrxi992;p0p100;1973;-63.8;992;i
KI;acomrxi992;p0p100;1974;-23.2;992;i
KI;acomrxi992;p0p100;1975;-657.8000000000001;992;i
KI;acomrxi992;p0p100;1976;-82.60000000000001;992;i
KI;acomrxi992;p0p100;1977;-532.6;992;i
KI;acomrxi992;p0p100;1978;-549.6;992;i
KI;acomrxi992;p0p100;1979;216.2;992;i
KI;acomrxi992;p0p100;1980;298.3;992;i
KI;acomrxi992;p0p100;1981;332.5;992;i
KI;acomrxi992;p0p100;1982;404.3;992;i
KI;acomrxi992;p0p100;1983;367.3;992;i
KI;acomrxi992;p0p100;1984;320.9;992;i
KI;acomrxi992;p0p100;1985;376.6;992;i
KI;acomrxi992;p0p100;1986;376;992;i
KI;acomrxi992;p0p100;1987;424.8;992;i
KI;acomrxi992;p0p100;1988;294.9;992;i
KI;acomrxi992;p0p100;1989;362.2;992;i
KI;acomrxi992;p0p100;1990;348.5;992;i
KI;acomrxi992;p0p100;1991;307;992;i
KI;acomrxi992;p0p100;1992;382.2;992;i
KI;acomrxi992;p0p100;1993;326;992;i
KI;acomrxi992;p0p100;1994;305.2;992;i
KI;acomrxi992;p0p100;1995;432.9;992;i
KI;acomrxi992;p0p100;1996;151.5;992;i
KI;acomrxi992;p0p100;1997;463.3;992;i
KI;acomrxi992;p0p100;1998;500.5;992;i
KI;acomrxi992;p0p100;1999;385.9;992;i
KI;acomrxi992;p0p100;2000;416.2;992;i
KI;acomrxi992;p0p100;2001;550.7;992;i
KI;acomrxi992;p0p100;2002;-43.2;992;i
KI;acomrxi992;p0p100;2003;510.2;992;i
KI;acomrxi992;p0p100;2004;443.1;992;i
KI;acomrxi992;p0p100;2005;426.5;992;i
KI;acomrxi992;p0p100;2006;500.9;992;i
KI;acomrxi992;p0p100;2007;441.7;992;i
KI;acomrxi992;p0p100;2008;441;992;i
KI;acomrxi992;p0p100;2009;497.7;992;i
KI;acomrxi992;p0p100;2010;455.7;992;i
KI;acomrxi992;p0p100;2011;357.6;992;i
KI;acomrxi992;p0p100;2012;346.4;992;i
KI;acomrxi992;p0p100;2013;152.2;992;i
KI;acomrxi992;p0p100;2014;330.4;992;i
KI;acomrxi992;p0p100;2015;390.8;992;i
KI;acomrxi992;p0p100;2016;299.7;992;i
KI;acomrxi992;p0p100;2017;324;992;i
KI;acomrxi992;p0p100;2018;313.6;992;i
KI;acomrxi992;p0p100;2019;378.7;992;i
KI;acomrxi992;p0p100;2020;211.6;992;i
KI;acomrxi992;p0p100;2021;118.2;992;i
KI;acomrxi992;p0p100;2022;402.5;992;i
KI;acomrxi992;p0p100;2023;371;992;i
KI;acomrxi999;p0p100;1970;3.7;999;i
KI;acomrxi999;p0p100;1971;3.7;999;i
KI;acomrxi999;p0p100;1972;-50.7;999;i
KI;acomrxi999;p0p100;1973;-29.1;999;i
KI;acomrxi999;p0p100;1974;-10.6;999;i
KI;acomrxi999;p0p100;1975;-302.1;999;i
KI;acomrxi999;p0p100;1976;-38;999;i
KI;acomrxi999;p0p100;1977;-245.9;999;i
KI;acomrxi999;p0p100;1978;-254.6;999;i
KI;acomrxi999;p0p100;1979;100.8;999;i
KI;acomrxi999;p0p100;1980;140.3;999;i
KI;acomrxi999;p0p100;1981;157.7;999;i
KI;acomrxi999;p0p100;1982;193.4;999;i
KI;acomrxi999;p0p100;1983;177.3;999;i
KI;acomrxi999;p0p100;1984;156.4;999;i
KI;acomrxi999;p0p100;1985;185.2;999;i
KI;acomrxi999;p0p100;1986;186.4;999;i
KI;acomrxi999;p0p100;1987;211.8;999;i
KI;acomrxi999;p0p100;1988;147.7;999;i
KI;acomrxi999;p0p100;1989;182;999;i
KI;acomrxi999;p0p100;1990;175.1;999;i
KI;acomrxi999;p0p100;1991;153.8;999;i
KI;acomrxi999;p0p100;1992;190.4;999;i
KI;acomrxi999;p0p100;1993;161.4;999;i
KI;acomrxi999;p0p100;1994;150.1;999;i
KI;acomrxi999;p0p100;1995;211.6;999;i
KI;acomrxi999;p0p100;1996;73.8;999;i
KI;acomrxi999;p0p100;1997;225.1;999;i
KI;acomrxi999;p0p100;1998;243.1;999;i
KI;acomrxi999;p0p100;1999;187.8;999;i
KI;acomrxi999;p0p100;2000;203.3;999;i
KI;acomrxi999;p0p100;2001;269.6;999;i
KI;acomrxi999;p0p100;2002;-21.2;999;i
KI;acomrxi999;p0p100;2003;251.9;999;i
KI;acomrxi999;p0p100;2004;220.3;999;i
KI;acomrxi999;p0p100;2005;213.4;999;i
KI;acomrxi999;p0p100;2006;252.9;999;i
KI;acomrxi999;p0p100;2007;225.5;999;i
KI;acomrxi999;p0p100;2008;227.6;999;i
KI;acomrxi999;p0p100;2009;259.4;999;i
KI;acomrxi999;p0p100;2010;239.7;999;i
KI;acomrxi999;p0p100;2011;189.3;999;i
KI;acomrxi999;p0p100;2012;184.2;999;i
KI;acomrxi999;p0p100;2013;81.30000000000001;999;i
KI;acomrxi999;p0p100;2014;177.3;999;i
KI;acomrxi999;p0p100;2015;210.6;999;i
KI;acomrxi999;p0p100;2016;162.3;999;i
KI;acomrxi999;p0p100;2017;176.4;999;i
KI;acomrxi999;p0p100;2018;171.5;999;i
KI;acomrxi999;p0p100;2019;207.8;999;i
KI;acomrxi999;p0p100;2020;116.5;999;i
KI;acomrxi999;p0p100;2021;65.2;999;i
KI;acomrxi999;p0p100;2022;222.1;999;i
KI;acomrxi999;p0p100;2023;204.6;999;i
KI;aconfci999;p0p100;1970;262.7;999;i
KI;aconfci999;p0p100;1971;306.7;999;i
KI;aconfci999;p0p100;1972;362.4;999;i
KI;aconfci999;p0p100;1973;310;999;i
KI;aconfci999;p0p100;1974;256.7;999;i
