country;variable;percentile;year;value;age;pop
KN;acomnxi999;p0p100;1970;-172.6;999;i
KN;acomnxi999;p0p100;1971;-208.4;999;i
KN;acomnxi999;p0p100;1972;-185.3;999;i
KN;acomnxi999;p0p100;1973;-241.6;999;i
KN;acomnxi999;p0p100;1974;-189.7;999;i
KN;acomnxi999;p0p100;1975;-190.6;999;i
KN;acomnxi999;p0p100;1976;-231.6;999;i
KN;acomnxi999;p0p100;1977;-353.3;999;i
KN;acomnxi999;p0p100;1978;-374.2;999;i
KN;acomnxi999;p0p100;1979;-353.5;999;i
KN;acomnxi999;p0p100;1980;-444.3;999;i
KN;acomnxi999;p0p100;1981;-515.7;999;i
KN;acomnxi999;p0p100;1982;-52.1;999;i
KN;acomnxi999;p0p100;1983;-46.2;999;i
KN;acomnxi999;p0p100;1984;-50.2;999;i
KN;acomnxi999;p0p100;1985;-130.2;999;i
KN;acomnxi999;p0p100;1986;9.5;999;i
KN;acomnxi999;p0p100;1987;-10.9;999;i
KN;acomnxi999;p0p100;1988;-27.6;999;i
KN;acomnxi999;p0p100;1989;-409.2;999;i
KN;acomnxi999;p0p100;1990;13.8;999;i
KN;acomnxi999;p0p100;1991;-11.9;999;i
KN;acomnxi999;p0p100;1992;-35.9;999;i
KN;acomnxi999;p0p100;1993;-64.9;999;i
KN;acomnxi999;p0p100;1994;-97.4;999;i
KN;acomnxi999;p0p100;1995;-96.5;999;i
KN;acomnxi999;p0p100;1996;-196.1;999;i
KN;acomnxi999;p0p100;1997;-276.7;999;i
KN;acomnxi999;p0p100;1998;-49.5;999;i
KN;acomnxi999;p0p100;1999;9.600000000000001;999;i
KN;acomnxi999;p0p100;2000;572.1;999;i
KN;acomnxi999;p0p100;2001;608.3000000000001;999;i
KN;acomnxi999;p0p100;2002;561;999;i
KN;acomnxi999;p0p100;2003;579.4;999;i
KN;acomnxi999;p0p100;2004;515.3000000000001;999;i
KN;acomnxi999;p0p100;2005;515.3000000000001;999;i
KN;acomnxi999;p0p100;2006;451.6;999;i
KN;acomnxi999;p0p100;2007;444.1;999;i
KN;acomnxi999;p0p100;2008;514.6;999;i
KN;acomnxi999;p0p100;2009;526.4;999;i
KN;acomnxi999;p0p100;2010;518.3000000000001;999;i
KN;acomnxi999;p0p100;2011;436.5;999;i
KN;acomnxi999;p0p100;2012;396.9;999;i
KN;acomnxi999;p0p100;2013;421.1;999;i
KN;acomnxi999;p0p100;2014;397.4;999;i
KN;acomnxi999;p0p100;2015;378.2;999;i
KN;acomnxi999;p0p100;2016;389.8;999;i
KN;acomnxi999;p0p100;2017;377.3;999;i
KN;acomnxi999;p0p100;2018;421.8;999;i
KN;acomnxi999;p0p100;2019;533.4;999;i
KN;acomnxi999;p0p100;2020;576.8000000000001;999;i
KN;acomnxi999;p0p100;2021;577.1;999;i
KN;acomnxi999;p0p100;2022;669.4000000000001;999;i
KN;acomnxi999;p0p100;2023;826.8000000000001;999;i
KN;acomrxi999;p0p100;1970;3.9;999;i
KN;acomrxi999;p0p100;1971;4.5;999;i
KN;acomrxi999;p0p100;1972;4.800000000000001;999;i
KN;acomrxi999;p0p100;1973;5.5;999;i
KN;acomrxi999;p0p100;1974;6.100000000000001;999;i
KN;acomrxi999;p0p100;1975;6.4;999;i
KN;acomrxi999;p0p100;1976;7.4;999;i
KN;acomrxi999;p0p100;1977;13.5;999;i
KN;acomrxi999;p0p100;1978;14.9;999;i
KN;acomrxi999;p0p100;1979;14.1;999;i
KN;acomrxi999;p0p100;1980;12.8;999;i
KN;acomrxi999;p0p100;1981;15.5;999;i
KN;acomrxi999;p0p100;1982;15.3;999;i
KN;acomrxi999;p0p100;1983;16.4;999;i
KN;acomrxi999;p0p100;1984;15.6;999;i
KN;acomrxi999;p0p100;1985;13;999;i
KN;acomrxi999;p0p100;1986;21.7;999;i
KN;acomrxi999;p0p100;1987;22.6;999;i
KN;acomrxi999;p0p100;1988;31.6;999;i
KN;acomrxi999;p0p100;1989;27.9;999;i
KN;acomrxi999;p0p100;1990;29.9;999;i
KN;acomrxi999;p0p100;1991;16.8;999;i
KN;acomrxi999;p0p100;1992;14.2;999;i
KN;acomrxi999;p0p100;1993;6.600000000000001;999;i
KN;acomrxi999;p0p100;1994;5.9;999;i
KN;acomrxi999;p0p100;1995;4.4;999;i
KN;acomrxi999;p0p100;1996;3.1;999;i
KN;acomrxi999;p0p100;1997;3.2;999;i
KN;acomrxi999;p0p100;1998;48.2;999;i
KN;acomrxi999;p0p100;1999;101;999;i
KN;acomrxi999;p0p100;2000;623.1;999;i
KN;acomrxi999;p0p100;2001;663.1;999;i
KN;acomrxi999;p0p100;2002;617.3000000000001;999;i
KN;acomrxi999;p0p100;2003;631.5;999;i
KN;acomrxi999;p0p100;2004;570.1;999;i
KN;acomrxi999;p0p100;2005;575.6;999;i
KN;acomrxi999;p0p100;2006;527.2;999;i
KN;acomrxi999;p0p100;2007;501.6;999;i
KN;acomrxi999;p0p100;2008;571.4;999;i
KN;acomrxi999;p0p100;2009;582.5;999;i
KN;acomrxi999;p0p100;2010;573.4;999;i
KN;acomrxi999;p0p100;2011;493.5;999;i
KN;acomrxi999;p0p100;2012;459.8;999;i
KN;acomrxi999;p0p100;2013;486.9;999;i
KN;acomrxi999;p0p100;2014;467.1;999;i
KN;acomrxi999;p0p100;2015;449.3;999;i
KN;acomrxi999;p0p100;2016;459.3;999;i
KN;acomrxi999;p0p100;2017;482.5;999;i
KN;acomrxi999;p0p100;2018;521.9;999;i
KN;acomrxi999;p0p100;2019;564;999;i
KN;acomrxi999;p0p100;2020;610.1;999;i
KN;acomrxi999;p0p100;2021;607.8000000000001;999;i
KN;acomrxi999;p0p100;2022;709.7;999;i
KN;acomrxi999;p0p100;2023;865.9000000000001;999;i
KN;aconfci992;p0p100;1970;710.9000000000001;992;i
KN;aconfci992;p0p100;1971;772;992;i
KN;aconfci992;p0p100;1972;831.1;992;i
KN;aconfci992;p0p100;1973;903.7;992;i
KN;aconfci992;p0p100;1974;709.5;992;i
KN;aconfci992;p0p100;1975;570.1;992;i
KN;aconfci992;p0p100;1976;684.3000000000001;992;i
KN;aconfci992;p0p100;1977;833;992;i
KN;aconfci992;p0p100;1978;988.9000000000001;992;i
KN;aconfci992;p0p100;1979;1134.6;992;i
KN;aconfci992;p0p100;1980;1254.1;992;i
KN;aconfci992;p0p100;1981;1340.3;992;i
KN;aconfci992;p0p100;1982;1411.1;992;i
KN;aconfci992;p0p100;1983;1491.6;992;i
KN;aconfci992;p0p100;1984;1601.6;992;i
KN;aconfci992;p0p100;1985;1746;992;i
KN;aconfci992;p0p100;1986;1921.4;992;i
KN;aconfci992;p0p100;1987;2116.7;992;i
KN;aconfci992;p0p100;1988;2320.9;992;i
KN;aconfci992;p0p100;1989;2519.1;992;i
KN;aconfci992;p0p100;1990;2703.5;992;i
KN;aconfci992;p0p100;1991;2848.5;992;i
KN;aconfci992;p0p100;1992;2949.7;992;i
KN;aconfci992;p0p100;1993;3045.3;992;i
KN;aconfci992;p0p100;1994;3154.1;992;i
KN;aconfci992;p0p100;1995;3272.1;992;i
KN;aconfci992;p0p100;1996;3391.8;992;i
KN;aconfci992;p0p100;1997;3504.8;992;i
KN;aconfci992;p0p100;1998;3607.1;992;i
KN;aconfci992;p0p100;1999;3712.2;992;i
KN;aconfci992;p0p100;2000;3817.9;992;i
KN;aconfci992;p0p100;2001;3911.4;992;i
KN;aconfci992;p0p100;2002;3993.1;992;i
KN;aconfci992;p0p100;2003;4069.6;992;i
