country;variable;percentile;year;value;age;pop
KY;acomnxi999;p0p100;1970;-352.9;999;i
KY;acomnxi999;p0p100;1971;-388.6;999;i
KY;acomnxi999;p0p100;1972;-103.8;999;i
KY;acomnxi999;p0p100;1973;372.3;999;i
KY;acomnxi999;p0p100;1974;289.8;999;i
KY;acomnxi999;p0p100;1975;115.6;999;i
KY;acomnxi999;p0p100;1976;-40.2;999;i
KY;acomnxi999;p0p100;1977;-154.1;999;i
KY;acomnxi999;p0p100;1978;-259.6;999;i
KY;acomnxi999;p0p100;1979;-344.2;999;i
KY;acomnxi999;p0p100;1980;-533.4;999;i
KY;acomnxi999;p0p100;1981;-691.5;999;i
KY;acomnxi999;p0p100;1982;-679.5;999;i
KY;acomnxi999;p0p100;1983;-528.8000000000001;999;i
KY;acomnxi999;p0p100;1984;-515.9;999;i
KY;acomnxi999;p0p100;1985;-464.1;999;i
KY;acomnxi999;p0p100;1986;-597.8000000000001;999;i
KY;acomnxi999;p0p100;1987;-717.3000000000001;999;i
KY;acomnxi999;p0p100;1988;-809;999;i
KY;acomnxi999;p0p100;1989;-881.3000000000001;999;i
KY;acomnxi999;p0p100;1990;-1035.3;999;i
KY;acomnxi999;p0p100;1991;-1038.5;999;i
KY;acomnxi999;p0p100;1992;-1816.3;999;i
KY;acomnxi999;p0p100;1993;-1018.3;999;i
KY;acomnxi999;p0p100;1994;-1171.2;999;i
KY;acomnxi999;p0p100;1995;-1078.2;999;i
KY;acomnxi999;p0p100;1996;-1006.2;999;i
KY;acomnxi999;p0p100;1997;-931.9000000000001;999;i
KY;acomnxi999;p0p100;1998;-1149.3;999;i
KY;acomnxi999;p0p100;1999;-890.8000000000001;999;i
KY;acomnxi999;p0p100;2000;-773.9000000000001;999;i
KY;acomnxi999;p0p100;2001;-779.5;999;i
KY;acomnxi999;p0p100;2002;-746.8000000000001;999;i
KY;acomnxi999;p0p100;2003;-725.6;999;i
KY;acomnxi999;p0p100;2004;-750.9000000000001;999;i
KY;acomnxi999;p0p100;2005;-682;999;i
KY;acomnxi999;p0p100;2006;-871.3000000000001;999;i
KY;acomnxi999;p0p100;2007;-643.1;999;i
KY;acomnxi999;p0p100;2008;-594;999;i
KY;acomnxi999;p0p100;2009;-520.5;999;i
KY;acomnxi999;p0p100;2010;-437.2;999;i
KY;acomnxi999;p0p100;2011;-408.5;999;i
KY;acomnxi999;p0p100;2012;-399.2;999;i
KY;acomnxi999;p0p100;2013;-375.1;999;i
KY;acomnxi999;p0p100;2014;-391.7;999;i
KY;acomnxi999;p0p100;2015;-348.8;999;i
KY;acomnxi999;p0p100;2016;-473.3;999;i
KY;acomnxi999;p0p100;2017;-339.9;999;i
KY;acomnxi999;p0p100;2018;-626.5;999;i
KY;acomnxi999;p0p100;2019;-609.8000000000001;999;i
KY;acomnxi999;p0p100;2020;-616.8000000000001;999;i
KY;acomnxi999;p0p100;2021;-549.5;999;i
KY;acomnxi999;p0p100;2022;-525.5;999;i
KY;acomnxi999;p0p100;2023;-599.8000000000001;999;i
KY;acompxi999;p0p100;1970;370.7;999;i
KY;acompxi999;p0p100;1971;407.2;999;i
KY;acompxi999;p0p100;1972;134.7;999;i
KY;acompxi999;p0p100;1973;-239.4;999;i
KY;acompxi999;p0p100;1974;-188;999;i
KY;acompxi999;p0p100;1975;-30.3;999;i
KY;acompxi999;p0p100;1976;115.2;999;i
KY;acompxi999;p0p100;1977;233.4;999;i
KY;acompxi999;p0p100;1978;335.1;999;i
KY;acompxi999;p0p100;1979;393;999;i
KY;acompxi999;p0p100;1980;553.3000000000001;999;i
KY;acompxi999;p0p100;1981;692.6;999;i
KY;acompxi999;p0p100;1982;641.4000000000001;999;i
KY;acompxi999;p0p100;1983;579.2;999;i
KY;acompxi999;p0p100;1984;567.8000000000001;999;i
KY;acompxi999;p0p100;1985;512.9;999;i
KY;acompxi999;p0p100;1986;645;999;i
KY;acompxi999;p0p100;1987;771.5;999;i
KY;acompxi999;p0p100;1988;867.8000000000001;999;i
KY;acompxi999;p0p100;1989;952.6;999;i
KY;acompxi999;p0p100;1990;1105.4;999;i
KY;acompxi999;p0p100;1991;1077.1;999;i
KY;acompxi999;p0p100;1992;1733.3;999;i
KY;acompxi999;p0p100;1993;972.1;999;i
KY;acompxi999;p0p100;1994;1153.7;999;i
KY;acompxi999;p0p100;1995;1079.6;999;i
KY;acompxi999;p0p100;1996;1036.9;999;i
KY;acompxi999;p0p100;1997;985.2;999;i
KY;acompxi999;p0p100;1998;1221.3;999;i
