country;variable;percentile;year;value;age;pop
LC;acomnxi999;p0p100;1970;-13.9;999;i
LC;acomnxi999;p0p100;1971;-17.5;999;i
LC;acomnxi999;p0p100;1972;-10.6;999;i
LC;acomnxi999;p0p100;1973;-17.4;999;i
LC;acomnxi999;p0p100;1974;-4.5;999;i
LC;acomnxi999;p0p100;1975;-3.4;999;i
LC;acomnxi999;p0p100;1976;-3.3;999;i
LC;acomnxi999;p0p100;1977;8.3;999;i
LC;acomnxi999;p0p100;1978;4.7;999;i
LC;acomnxi999;p0p100;1979;3;999;i
LC;acomnxi999;p0p100;1980;-0.9;999;i
LC;acomnxi999;p0p100;1981;-0.5;999;i
LC;acomnxi999;p0p100;1982;-24.2;999;i
LC;acomnxi999;p0p100;1983;-13.8;999;i
LC;acomnxi999;p0p100;1984;-151;999;i
LC;acomnxi999;p0p100;1985;-150.9;999;i
LC;acomnxi999;p0p100;1986;7.600000000000001;999;i
LC;acomnxi999;p0p100;1987;18.5;999;i
LC;acomnxi999;p0p100;1988;91.60000000000001;999;i
LC;acomnxi999;p0p100;1989;100.6;999;i
LC;acomnxi999;p0p100;1990;34.5;999;i
LC;acomnxi999;p0p100;1991;16.1;999;i
LC;acomnxi999;p0p100;1992;7.600000000000001;999;i
LC;acomnxi999;p0p100;1993;4.5;999;i
LC;acomnxi999;p0p100;1994;5.9;999;i
LC;acomnxi999;p0p100;1995;-6.4;999;i
LC;acomnxi999;p0p100;1996;-13.1;999;i
LC;acomnxi999;p0p100;1997;-15.4;999;i
LC;acomnxi999;p0p100;1998;-20.7;999;i
LC;acomnxi999;p0p100;1999;-19.2;999;i
LC;acomnxi999;p0p100;2000;-23;999;i
LC;acomnxi999;p0p100;2001;-23.4;999;i
LC;acomnxi999;p0p100;2002;-15;999;i
LC;acomnxi999;p0p100;2003;18.1;999;i
LC;acomnxi999;p0p100;2004;-11.7;999;i
LC;acomnxi999;p0p100;2005;-9.3;999;i
LC;acomnxi999;p0p100;2006;-11.4;999;i
LC;acomnxi999;p0p100;2007;3.3;999;i
LC;acomnxi999;p0p100;2008;0.1;999;i
LC;acomnxi999;p0p100;2009;2.4;999;i
LC;acomnxi999;p0p100;2010;8.3;999;i
LC;acomnxi999;p0p100;2011;1.3;999;i
LC;acomnxi999;p0p100;2012;1.2;999;i
LC;acomnxi999;p0p100;2013;1.9;999;i
LC;acomnxi999;p0p100;2014;-1.9;999;i
LC;acomnxi999;p0p100;2015;-0.6000000000000001;999;i
LC;acomnxi999;p0p100;2016;-15.3;999;i
LC;acomnxi999;p0p100;2017;6.300000000000001;999;i
LC;acomnxi999;p0p100;2018;2.5;999;i
LC;acomnxi999;p0p100;2019;6;999;i
LC;acomnxi999;p0p100;2020;-3.9;999;i
LC;acomnxi999;p0p100;2021;-6.5;999;i
LC;acomnxi999;p0p100;2022;5.5;999;i
LC;acomnxi999;p0p100;2023;4.600000000000001;999;i
LC;acompxi999;p0p100;1970;36.6;999;i
LC;acompxi999;p0p100;1971;42.5;999;i
LC;acompxi999;p0p100;1972;36.5;999;i
LC;acompxi999;p0p100;1973;45.3;999;i
LC;acompxi999;p0p100;1974;35.3;999;i
LC;acompxi999;p0p100;1975;35.4;999;i
LC;acompxi999;p0p100;1976;25.9;999;i
LC;acompxi999;p0p100;1977;28.9;999;i
LC;acompxi999;p0p100;1978;33.1;999;i
LC;acompxi999;p0p100;1979;28;999;i
LC;acompxi999;p0p100;1980;28.4;999;i
LC;acompxi999;p0p100;1981;35.2;999;i
LC;acompxi999;p0p100;1982;58;999;i
LC;acompxi999;p0p100;1983;34.4;999;i
LC;acompxi999;p0p100;1984;175.1;999;i
LC;acompxi999;p0p100;1985;175.2;999;i
LC;acompxi999;p0p100;1986;12.7;999;i
LC;acompxi999;p0p100;1987;16.7;999;i
LC;acompxi999;p0p100;1988;18.3;999;i
LC;acompxi999;p0p100;1989;19.6;999;i
LC;acompxi999;p0p100;1990;22.2;999;i
LC;acompxi999;p0p100;1991;10.6;999;i
LC;acompxi999;p0p100;1992;13.2;999;i
LC;acompxi999;p0p100;1993;14.2;999;i
LC;acompxi999;p0p100;1994;15.6;999;i
LC;acompxi999;p0p100;1995;17.3;999;i
LC;acompxi999;p0p100;1996;19.6;999;i
LC;acompxi999;p0p100;1997;21.6;999;i
LC;acompxi999;p0p100;1998;25.9;999;i
LC;acompxi999;p0p100;1999;25.8;999;i
LC;acompxi999;p0p100;2000;28.5;999;i
LC;acompxi999;p0p100;2001;53.40000000000001;999;i
LC;acompxi999;p0p100;2002;43.40000000000001;999;i
LC;acompxi999;p0p100;2003;14.3;999;i
LC;acompxi999;p0p100;2004;41.5;999;i
LC;acompxi999;p0p100;2005;39.5;999;i
LC;acompxi999;p0p100;2006;41.5;999;i
LC;acompxi999;p0p100;2007;28.2;999;i
LC;acompxi999;p0p100;2008;35.9;999;i
LC;acompxi999;p0p100;2009;35.1;999;i
LC;acompxi999;p0p100;2010;29.8;999;i
LC;acompxi999;p0p100;2011;33.5;999;i
LC;acompxi999;p0p100;2012;30.3;999;i
LC;acompxi999;p0p100;2013;28.9;999;i
LC;acompxi999;p0p100;2014;31.3;999;i
LC;acompxi999;p0p100;2015;24.2;999;i
LC;acompxi999;p0p100;2016;32.5;999;i
LC;acompxi999;p0p100;2017;17.3;999;i
LC;acompxi999;p0p100;2018;21.6;999;i
