country;variable;percentile;year;value;age;pop
MH;acompxi999;p0p100;1970;3.4;999;i
MH;acompxi999;p0p100;1971;3.8;999;i
MH;acompxi999;p0p100;1972;3.4;999;i
MH;acompxi999;p0p100;1973;5.4;999;i
MH;acompxi999;p0p100;1974;4.4;999;i
MH;acompxi999;p0p100;1975;4.100000000000001;999;i
MH;acompxi999;p0p100;1976;4.3;999;i
MH;acompxi999;p0p100;1977;4.3;999;i
MH;acompxi999;p0p100;1978;4.5;999;i
MH;acompxi999;p0p100;1979;3.8;999;i
MH;acompxi999;p0p100;1980;3.9;999;i
MH;acompxi999;p0p100;1981;4.600000000000001;999;i
MH;acompxi999;p0p100;1982;4.100000000000001;999;i
MH;acompxi999;p0p100;1983;4.100000000000001;999;i
MH;acompxi999;p0p100;1984;4.2;999;i
MH;acompxi999;p0p100;1985;4.100000000000001;999;i
MH;acompxi999;p0p100;1986;4.2;999;i
MH;acompxi999;p0p100;1987;4.4;999;i
MH;acompxi999;p0p100;1988;4.4;999;i
MH;acompxi999;p0p100;1989;4.3;999;i
MH;acompxi999;p0p100;1990;4.3;999;i
MH;acompxi999;p0p100;1991;4.3;999;i
MH;acompxi999;p0p100;1992;4.4;999;i
MH;acompxi999;p0p100;1993;4.5;999;i
MH;acompxi999;p0p100;1994;4.600000000000001;999;i
MH;acompxi999;p0p100;1995;4.600000000000001;999;i
MH;acompxi999;p0p100;1996;4.3;999;i
MH;acompxi999;p0p100;1997;7.4;999;i
MH;acompxi999;p0p100;1998;6.100000000000001;999;i
MH;acompxi999;p0p100;1999;5.300000000000001;999;i
MH;acompxi999;p0p100;2000;5.100000000000001;999;i
MH;acompxi999;p0p100;2001;5.5;999;i
MH;acompxi999;p0p100;2002;6.4;999;i
MH;acompxi999;p0p100;2003;6.300000000000001;999;i
MH;acompxi999;p0p100;2004;6.7;999;i
MH;acompxi999;p0p100;2005;4.600000000000001;999;i
MH;acompxi999;p0p100;2006;5.7;999;i
MH;acompxi999;p0p100;2007;5.9;999;i
MH;acompxi999;p0p100;2008;4.800000000000001;999;i
MH;acompxi999;p0p100;2009;5.600000000000001;999;i
MH;acompxi999;p0p100;2010;55.8;999;i
MH;acompxi999;p0p100;2011;67.60000000000001;999;i
MH;acompxi999;p0p100;2012;223.8;999;i
MH;acompxi999;p0p100;2013;187.6;999;i
MH;acompxi999;p0p100;2014;161.9;999;i
MH;acompxi999;p0p100;2015;28.1;999;i
MH;acompxi999;p0p100;2016;50.2;999;i
MH;acompxi999;p0p100;2017;72.7;999;i
MH;acompxi999;p0p100;2018;99.4;999;i
MH;acompxi999;p0p100;2019;95.9;999;i
MH;acompxi999;p0p100;2020;119.7;999;i
MH;acompxi999;p0p100;2021;72.3;999;i
MH;acompxi999;p0p100;2022;125.8;999;i
MH;acompxi999;p0p100;2023;132.2;999;i
MH;acomrxi992;p0p100;1970;528.3000000000001;992;i
MH;acomrxi992;p0p100;1971;565.1;992;i
MH;acomrxi992;p0p100;1972;627.4000000000001;992;i
MH;acomrxi992;p0p100;1973;875.4000000000001;992;i
MH;acomrxi992;p0p100;1974;1009.6;992;i
