country;variable;percentile;year;value;age;pop
MS;acompxi999;p0p100;1970;199.3;999;i
MS;acompxi999;p0p100;1971;229;999;i
MS;acompxi999;p0p100;1972;197.2;999;i
MS;acompxi999;p0p100;1973;251.4;999;i
MS;acompxi999;p0p100;1974;194.8;999;i
MS;acompxi999;p0p100;1975;198.8;999;i
MS;acompxi999;p0p100;1976;209.1;999;i
MS;acompxi999;p0p100;1977;208.1;999;i
MS;acompxi999;p0p100;1978;229.1;999;i
MS;acompxi999;p0p100;1979;220.4;999;i
MS;acompxi999;p0p100;1980;269.5;999;i
MS;acompxi999;p0p100;1981;323.1;999;i
MS;acompxi999;p0p100;1982;296.9;999;i
MS;acompxi999;p0p100;1983;259.7;999;i
MS;acompxi999;p0p100;1984;287.8;999;i
MS;acompxi999;p0p100;1985;302.2;999;i
MS;acompxi999;p0p100;1986;218.4;999;i
MS;acompxi999;p0p100;1987;154;999;i
MS;acompxi999;p0p100;1988;106.1;999;i
MS;acompxi999;p0p100;1989;327.8;999;i
MS;acompxi999;p0p100;1990;298.4;999;i
MS;acompxi999;p0p100;1991;222.4;999;i
MS;acompxi999;p0p100;1992;197.8;999;i
MS;acompxi999;p0p100;1993;209.6;999;i
MS;acompxi999;p0p100;1994;198.7;999;i
MS;acompxi999;p0p100;1995;186;999;i
MS;acompxi999;p0p100;1996;136.7;999;i
MS;acompxi999;p0p100;1997;112.5;999;i
MS;acompxi999;p0p100;1998;90.2;999;i
MS;acompxi999;p0p100;1999;70.3;999;i
MS;acompxi999;p0p100;2000;58.90000000000001;999;i
MS;acompxi999;p0p100;2001;65.8;999;i
MS;acompxi999;p0p100;2002;56.40000000000001;999;i
MS;acompxi999;p0p100;2003;247.4;999;i
MS;acompxi999;p0p100;2004;65.3;999;i
MS;acompxi999;p0p100;2005;78.9;999;i
MS;acompxi999;p0p100;2006;108.6;999;i
MS;acompxi999;p0p100;2007;415.7;999;i
MS;acompxi999;p0p100;2008;331;999;i
MS;acompxi999;p0p100;2009;460.9;999;i
MS;acompxi999;p0p100;2010;285.3;999;i
MS;acompxi999;p0p100;2011;282.3;999;i
MS;acompxi999;p0p100;2012;277.6;999;i
MS;acompxi999;p0p100;2013;304.1;999;i
MS;acompxi999;p0p100;2014;108.4;999;i
MS;acompxi999;p0p100;2015;41.1;999;i
MS;acompxi999;p0p100;2016;86.60000000000001;999;i
MS;acompxi999;p0p100;2017;87.7;999;i
MS;acompxi999;p0p100;2018;78.30000000000001;999;i
MS;acompxi999;p0p100;2019;78.4;999;i
MS;acompxi999;p0p100;2020;81;999;i
MS;acompxi999;p0p100;2021;88.5;999;i
MS;acompxi999;p0p100;2022;83.5;999;i
MS;acompxi999;p0p100;2023;94.60000000000001;999;i
MS;aconfci992;p0p100;1970;2808.8;992;i
MS;aconfci992;p0p100;1971;2863.9;992;i
MS;aconfci992;p0p100;1972;2904.3;992;i
MS;aconfci992;p0p100;1973;2946.9;992;i
MS;aconfci992;p0p100;1974;2993.4;992;i
MS;aconfci992;p0p100;1975;3040.6;992;i
MS;aconfci992;p0p100;1976;3094.1;992;i
MS;aconfci992;p0p100;1977;3183.7;992;i
MS;aconfci992;p0p100;1978;3329;992;i
MS;aconfci992;p0p100;1979;3516.5;992;i
MS;aconfci992;p0p100;1980;3724.2;992;i
MS;aconfci992;p0p100;1981;3906.6;992;i
MS;aconfci992;p0p100;1982;4032.7;992;i
MS;aconfci992;p0p100;1983;4112.900000000001;992;i
MS;aconfci992;p0p100;1984;4205.3;992;i
MS;aconfci992;p0p100;1985;4335.5;992;i
MS;aconfci992;p0p100;1986;4504.2;992;i
MS;aconfci992;p0p100;1987;4724.1;992;i
MS;aconfci992;p0p100;1988;4983.6;992;i
MS;aconfci992;p0p100;1989;5228.700000000001;992;i
MS;aconfci992;p0p100;1990;5411.8;992;i
MS;aconfci992;p0p100;1991;5552.6;992;i
MS;aconfci992;p0p100;1992;5696.5;992;i
MS;aconfci992;p0p100;1993;5739;992;i
MS;aconfci992;p0p100;1994;5579.400000000001;992;i
MS;aconfci992;p0p100;1995;5174.400000000001;992;i
MS;aconfci992;p0p100;1996;4611.2;992;i
MS;aconfci992;p0p100;1997;4100.6;992;i
MS;aconfci992;p0p100;1998;3789.5;992;i
MS;aconfci992;p0p100;1999;3724.6;992;i
MS;aconfci992;p0p100;2000;3923.5;992;i
MS;aconfci992;p0p100;2001;4210.1;992;i
MS;aconfci992;p0p100;2002;4335;992;i
MS;aconfci992;p0p100;2003;4398.5;992;i
MS;aconfci992;p0p100;2004;4491;992;i
MS;aconfci992;p0p100;2005;4571.6;992;i
MS;aconfci992;p0p100;2006;4631.5;992;i
MS;aconfci992;p0p100;2007;4677.900000000001;992;i
MS;aconfci992;p0p100;2008;4699.5;992;i
MS;aconfci992;p0p100;2009;4676.7;992;i
MS;aconfci992;p0p100;2010;4631.8;992;i
MS;aconfci992;p0p100;2011;4637.7;992;i
MS;aconfci992;p0p100;2012;4651.8;992;i
MS;aconfci992;p0p100;2013;4655.7;992;i
MS;aconfci992;p0p100;2014;4646.6;992;i
MS;aconfci992;p0p100;2015;4655.2;992;i
MS;aconfci992;p0p100;2016;4664.400000000001;992;i
MS;aconfci992;p0p100;2017;5136.400000000001;992;i
MS;aconfci992;p0p100;2018;5702.400000000001;992;i
MS;aconfci992;p0p100;2019;5797.200000000001;992;i
MS;aconfci992;p0p100;2020;6167.8;992;i
MS;aconfci992;p0p100;2021;6664.700000000001;992;i
MS;aconfci992;p0p100;2022;7076.700000000001;992;i
MS;aconfci992;p0p100;2023;7469.1;992;i
MS;aconfci999;p0p100;1970;1425.1;999;i
MS;aconfci999;p0p100;1971;1464.2;999;i
MS;aconfci999;p0p100;1972;1501.1;999;i
MS;aconfci999;p0p100;1973;1541;999;i
MS;aconfci999;p0p100;1974;1583.8;999;i
MS;aconfci999;p0p100;1975;1629.3;999;i
MS;aconfci999;p0p100;1976;1680.9;999;i
MS;aconfci999;p0p100;1977;1754.3;999;i
MS;aconfci999;p0p100;1978;1860.7;999;i
MS;aconfci999;p0p100;1979;1995;999;i
MS;aconfci999;p0p100;1980;2144.4;999;i
MS;aconfci999;p0p100;1981;2282.3;999;i
MS;aconfci999;p0p100;1982;2392.2;999;i
MS;aconfci999;p0p100;1983;2479.4;999;i
MS;aconfci999;p0p100;1984;2574.5;999;i
MS;aconfci999;p0p100;1985;2691.9;999;i
MS;aconfci999;p0p100;1986;2833.5;999;i
MS;aconfci999;p0p100;1987;3005.5;999;i
MS;aconfci999;p0p100;1988;3198.1;999;i
MS;aconfci999;p0p100;1989;3379.4;999;i
MS;aconfci999;p0p100;1990;3523.5;999;i
MS;aconfci999;p0p100;1991;3648.1;999;i
MS;aconfci999;p0p100;1992;3789.4;999;i
MS;aconfci999;p0p100;1993;3874.9;999;i
MS;aconfci999;p0p100;1994;3827.6;999;i
MS;aconfci999;p0p100;1995;3605.7;999;i
MS;aconfci999;p0p100;1996;3260.4;999;i
MS;aconfci999;p0p100;1997;2941;999;i
MS;aconfci999;p0p100;1998;2751.8;999;i
MS;aconfci999;p0p100;1999;2728.7;999;i
MS;aconfci999;p0p100;2000;2891.1;999;i
MS;aconfci999;p0p100;2001;3107.5;999;i
MS;aconfci999;p0p100;2002;3194.9;999;i
MS;aconfci999;p0p100;2003;3242.6;999;i
MS;aconfci999;p0p100;2004;3319.1;999;i
MS;aconfci999;p0p100;2005;3389;999;i
MS;aconfci999;p0p100;2006;3440.1;999;i
MS;aconfci999;p0p100;2007;3473.4;999;i
MS;aconfci999;p0p100;2008;3484.1;999;i
MS;aconfci999;p0p100;2009;3463.1;999;i
MS;aconfci999;p0p100;2010;3419.9;999;i
MS;aconfci999;p0p100;2011;3423.4;999;i
MS;aconfci999;p0p100;2012;3439.1;999;i
MS;aconfci999;p0p100;2013;3441.1;999;i
MS;aconfci999;p0p100;2014;3440.5;999;i
MS;aconfci999;p0p100;2015;3470;999;i
MS;aconfci999;p0p100;2016;3497.6;999;i
MS;aconfci999;p0p100;2017;3925.3;999;i
MS;aconfci999;p0p100;2018;4459.6;999;i
MS;aconfci999;p0p100;2019;4545.1;999;i
MS;aconfci999;p0p100;2020;4872.6;999;i
MS;aconfci999;p0p100;2021;5324.8;999;i
MS;aconfci999;p0p100;2022;5703.3;999;i
MS;aconfci999;p0p100;2023;6050.6;999;i
MS;acitgri992;p0p100;1980;1152;992;i
MS;acitgri992;p0p100;1981;1240.6;992;i
MS;acitgri992;p0p100;1982;1093.9;992;i
MS;acitgri992;p0p100;1983;926.3000000000001;992;i
MS;acitgri992;p0p100;1984;990.1;992;i
MS;acitgri992;p0p100;1985;1073.2;992;i
MS;acitgri992;p0p100;1986;873;992;i
MS;acitgri992;p0p100;1987;833.7;992;i
MS;acitgri992;p0p100;1988;958.4000000000001;992;i
MS;acitgri992;p0p100;1989;1016.1;992;i
MS;acitgri992;p0p100;1990;1147.9;992;i
MS;acitgri992;p0p100;1991;1074;992;i
MS;acitgri992;p0p100;1992;1005.1;992;i
MS;acitgri992;p0p100;1993;966.4000000000001;992;i
MS;acitgri992;p0p100;1994;1047.9;992;i
MS;acitgri992;p0p100;1995;1093.1;992;i
MS;acitgri992;p0p100;1996;922.7;992;i
MS;acitgri992;p0p100;1997;771.5;992;i
MS;acitgri992;p0p100;1998;607.9;992;i
MS;acitgri992;p0p100;1999;685.8000000000001;992;i
MS;acitgri992;p0p100;2000;833;992;i
MS;acitgri992;p0p100;2001;917.7;992;i
MS;acitgri992;p0p100;2002;893.3000000000001;992;i
MS;acitgri992;p0p100;2003;1016.8;992;i
MS;acitgri992;p0p100;2004;1118.6;992;i
MS;acitgri992;p0p100;2005;1346.8;992;i
MS;acitgri992;p0p100;2006;1445.2;992;i
MS;acitgri992;p0p100;2007;1488.2;992;i
MS;acitgri992;p0p100;2008;1548.6;992;i
MS;acitgri992;p0p100;2009;1426.7;992;i
MS;acitgri992;p0p100;2010;1297.5;992;i
MS;acitgri992;p0p100;2011;1448;992;i
MS;acitgri992;p0p100;2012;1453.7;992;i
MS;acitgri992;p0p100;2013;1455;992;i
MS;acitgri992;p0p100;2014;1481.6;992;i
MS;acitgri992;p0p100;2015;1422;992;i
MS;acitgri992;p0p100;2016;1338.2;992;i
MS;acitgri992;p0p100;2017;1379.6;992;i
MS;acitgri992;p0p100;2018;1603.5;992;i
MS;acitgri992;p0p100;2019;1684.4;992;i
MS;acitgri992;p0p100;2020;1758.9;992;i
MS;acitgri992;p0p100;2021;1853.8;992;i
MS;acitgri992;p0p100;2022;1902.5;992;i
MS;acitgri992;p0p100;2023;1942.2;992;i
MS;adefgei999;p0p100;1980;260.8;999;i
MS;adefgei999;p0p100;1981;301;999;i
MS;adefgei999;p0p100;1982;363.5;999;i
MS;adefgei999;p0p100;1983;289;999;i
MS;adefgei999;p0p100;1984;284.4;999;i
