country;variable;percentile;year;value;age;pop
NC;acompxi999;p0p100;1970;12116.8;999;i
NC;acompxi999;p0p100;1971;13962.3;999;i
NC;acompxi999;p0p100;1972;11744.4;999;i
NC;acompxi999;p0p100;1973;12431.6;999;i
NC;acompxi999;p0p100;1974;10051.5;999;i
NC;acompxi999;p0p100;1975;10064.7;999;i
NC;acompxi999;p0p100;1976;10672.2;999;i
NC;acompxi999;p0p100;1977;10759.7;999;i
NC;acompxi999;p0p100;1978;11864.1;999;i
NC;acompxi999;p0p100;1979;8857.300000000001;999;i
NC;acompxi999;p0p100;1980;9758;999;i
NC;acompxi999;p0p100;1981;10267.4;999;i
NC;acompxi999;p0p100;1982;9018.6;999;i
NC;acompxi999;p0p100;1983;8057.3;999;i
NC;acompxi999;p0p100;1984;8608.1;999;i
NC;acompxi999;p0p100;1985;8708.7;999;i
NC;acompxi999;p0p100;1986;7511.3;999;i
NC;acompxi999;p0p100;1987;7783.700000000001;999;i
NC;acompxi999;p0p100;1988;10265.5;999;i
NC;acompxi999;p0p100;1989;11152.4;999;i
NC;acompxi999;p0p100;1990;11286.1;999;i
NC;acompxi999;p0p100;1991;11548.8;999;i
NC;acompxi999;p0p100;1992;11259.3;999;i
NC;acompxi999;p0p100;1993;10808.7;999;i
NC;acompxi999;p0p100;1994;10660.5;999;i
NC;acompxi999;p0p100;1995;10816.6;999;i
NC;acompxi999;p0p100;1996;11043.9;999;i
NC;acompxi999;p0p100;1997;11331.6;999;i
NC;acompxi999;p0p100;1998;11393;999;i
NC;acompxi999;p0p100;1999;10329.8;999;i
NC;acompxi999;p0p100;2000;10077.5;999;i
NC;acompxi999;p0p100;2001;10476.5;999;i
NC;acompxi999;p0p100;2002;11224.4;999;i
NC;acompxi999;p0p100;2003;9904.1;999;i
NC;acompxi999;p0p100;2004;8080.900000000001;999;i
NC;acompxi999;p0p100;2005;9445;999;i
NC;acompxi999;p0p100;2006;20140.8;999;i
NC;acompxi999;p0p100;2007;14497.7;999;i
NC;acompxi999;p0p100;2008;18065.6;999;i
NC;acompxi999;p0p100;2009;29780.6;999;i
NC;acompxi999;p0p100;2010;27411.9;999;i
NC;acompxi999;p0p100;2011;26374.5;999;i
NC;acompxi999;p0p100;2012;22539;999;i
NC;acompxi999;p0p100;2013;19042.9;999;i
NC;acompxi999;p0p100;2014;13724.4;999;i
NC;acompxi999;p0p100;2015;8648.4;999;i
NC;acompxi999;p0p100;2016;17850.5;999;i
NC;acompxi999;p0p100;2017;16473.6;999;i
NC;acompxi999;p0p100;2018;16651.1;999;i
NC;acompxi999;p0p100;2019;16189.4;999;i
NC;acompxi999;p0p100;2020;16332.1;999;i
NC;acompxi999;p0p100;2021;16707.1;999;i
NC;acompxi999;p0p100;2022;15807.8;999;i
NC;acompxi999;p0p100;2023;16719.5;999;i
NC;acomnxi992;p0p100;1970;280989.5;992;i
NC;acomnxi992;p0p100;1971;307449.9;992;i
NC;acomnxi992;p0p100;1972;317165.3;992;i
NC;acomnxi992;p0p100;1973;288701.1;992;i
NC;acomnxi992;p0p100;1974;340244.7;992;i
NC;acomnxi992;p0p100;1975;353464.3;992;i
NC;acomnxi992;p0p100;1976;358318.6;992;i
NC;acomnxi992;p0p100;1977;431375.7;992;i
NC;acomnxi992;p0p100;1978;492298.7;992;i
NC;acomnxi992;p0p100;1979;365090.3;992;i
NC;acomnxi992;p0p100;1980;350535.2;992;i
NC;acomnxi992;p0p100;1981;372237.6;992;i
NC;acomnxi992;p0p100;1982;372943.8;992;i
NC;acomnxi992;p0p100;1983;362661.1;992;i
NC;acomnxi992;p0p100;1984;358895.4;992;i
NC;acomnxi992;p0p100;1985;343175.3;992;i
NC;acomnxi992;p0p100;1986;308384.7;992;i
NC;acomnxi992;p0p100;1987;347872;992;i
NC;acomnxi992;p0p100;1988;447659.9;992;i
NC;acomnxi992;p0p100;1989;561079.1;992;i
NC;acomnxi992;p0p100;1990;515078.8;992;i
NC;acomnxi992;p0p100;1991;597376.4;992;i
NC;acomnxi992;p0p100;1992;807512.6000000001;992;i
NC;acomnxi992;p0p100;1993;654590.4;992;i
NC;acomnxi992;p0p100;1994;610238.7000000001;992;i
NC;acomnxi992;p0p100;1995;519372.3;992;i
NC;acomnxi992;p0p100;1996;525322.3;992;i
NC;acomnxi992;p0p100;1997;504993.5;992;i
NC;acomnxi992;p0p100;1998;415306.7;992;i
NC;acomnxi992;p0p100;1999;477843.2;992;i
NC;acomnxi992;p0p100;2000;436657.5;992;i
NC;acomnxi992;p0p100;2001;467838.2;992;i
NC;acomnxi992;p0p100;2002;431842;992;i
NC;acomnxi992;p0p100;2003;476763.5;992;i
NC;acomnxi992;p0p100;2004;401701.1;992;i
NC;acomnxi992;p0p100;2005;399390.4;992;i
NC;acomnxi992;p0p100;2006;371669.1;992;i
NC;acomnxi992;p0p100;2007;282644.4;992;i
NC;acomnxi992;p0p100;2008;309589.7;992;i
NC;acomnxi992;p0p100;2009;319709.8;992;i
NC;acomnxi992;p0p100;2010;292809.8;992;i
NC;acomnxi992;p0p100;2011;290600.3;992;i
NC;acomnxi992;p0p100;2012;371582.4;992;i
NC;acomnxi992;p0p100;2013;362521.2;992;i
NC;acomnxi992;p0p100;2014;330056.1;992;i
NC;acomnxi992;p0p100;2015;332304.7;992;i
NC;acomnxi992;p0p100;2016;318153.9;992;i
NC;acomnxi992;p0p100;2017;365694.1;992;i
NC;acomnxi992;p0p100;2018;375455;992;i
NC;acomnxi992;p0p100;2019;414733;992;i
NC;acomnxi992;p0p100;2020;389774.6;992;i
NC;acomnxi992;p0p100;2021;359975.1;992;i
NC;acomnxi992;p0p100;2022;393361.6;992;i
NC;acomnxi992;p0p100;2023;358181.8;992;i
NC;aconfci992;p0p100;1965;982005.4;992;i
NC;aconfci992;p0p100;1966;1131538.4;992;i
NC;aconfci992;p0p100;1967;1331861.9;992;i
NC;aconfci992;p0p100;1968;1612814.1;992;i
NC;aconfci992;p0p100;1969;1988365.4;992;i
NC;aconfci992;p0p100;1970;2448435.8;992;i
NC;aconfci992;p0p100;1971;1770761.1;992;i
NC;aconfci992;p0p100;1972;1244416.6;992;i
NC;aconfci992;p0p100;1973;823792.3;992;i
NC;aconfci992;p0p100;1974;951311.2000000001;992;i
NC;aconfci992;p0p100;1975;1016718.3;992;i
NC;aconfci992;p0p100;1976;771645.6000000001;992;i
NC;aconfci992;p0p100;1977;729563.9;992;i
NC;aconfci992;p0p100;1978;833812.3;992;i
NC;aconfci992;p0p100;1979;739948.4;992;i
NC;aconfci992;p0p100;1980;727475.6000000001;992;i
NC;aconfci992;p0p100;1981;452556;992;i
NC;aconfci992;p0p100;1982;475530.9;992;i
NC;aconfci992;p0p100;1983;375563.1;992;i
NC;aconfci992;p0p100;1984;383083.7;992;i
NC;aconfci992;p0p100;1985;364863.6;992;i
NC;aconfci992;p0p100;1986;488609.4;992;i
NC;aconfci992;p0p100;1987;529621.4;992;i
NC;aconfci992;p0p100;1988;499528.5;992;i
NC;aconfci992;p0p100;1989;633807.6000000001;992;i
NC;aconfci992;p0p100;1990;675235.1000000001;992;i
NC;aconfci992;p0p100;1991;628520.8;992;i
NC;aconfci992;p0p100;1992;606371;992;i
NC;aconfci992;p0p100;1993;622938.3;992;i
NC;aconfci992;p0p100;1994;634195.6000000001;992;i
NC;aconfci992;p0p100;1995;641743.9;992;i
NC;aconfci992;p0p100;1996;644590.9;992;i
NC;aconfci992;p0p100;1997;644731.1000000001;992;i
NC;aconfci992;p0p100;1998;643313.4;992;i
NC;aconfci992;p0p100;1999;643222;992;i
NC;aconfci992;p0p100;2000;646860.8;992;i
NC;aconfci992;p0p100;2001;654996.4;992;i
NC;aconfci992;p0p100;2002;668051.7000000001;992;i
NC;aconfci992;p0p100;2003;685866.6000000001;992;i
NC;aconfci992;p0p100;2004;707393.3;992;i
NC;aconfci992;p0p100;2005;730311.5;992;i
NC;aconfci992;p0p100;2006;752195.9;992;i
NC;aconfci992;p0p100;2007;771860.7000000001;992;i
NC;aconfci992;p0p100;2008;789751.8;992;i
NC;aconfci992;p0p100;2009;807330.2000000001;992;i
NC;aconfci992;p0p100;2010;823670.9;992;i
NC;aconfci992;p0p100;2011;836277.5;992;i
NC;aconfci992;p0p100;2012;843940.8;992;i
NC;aconfci992;p0p100;2013;846396.9;992;i
NC;aconfci992;p0p100;2014;846209;992;i
NC;aconfci992;p0p100;2015;848325.4;992;i
