country;variable;percentile;year;value;age;pop
NR;acompxi999;p0p100;1970;817.3000000000001;999;i
NR;acompxi999;p0p100;1971;929;999;i
NR;acompxi999;p0p100;1972;799.4000000000001;999;i
NR;acompxi999;p0p100;1973;1007.9;999;i
NR;acompxi999;p0p100;1974;764.2;999;i
NR;acompxi999;p0p100;1975;734.4000000000001;999;i
NR;acompxi999;p0p100;1976;750.6;999;i
NR;acompxi999;p0p100;1977;722.5;999;i
NR;acompxi999;p0p100;1978;704.9000000000001;999;i
NR;acompxi999;p0p100;1979;595.2;999;i
NR;acompxi999;p0p100;1980;642.9000000000001;999;i
NR;acompxi999;p0p100;1981;709.4000000000001;999;i
NR;acompxi999;p0p100;1982;599.6;999;i
NR;acompxi999;p0p100;1983;528;999;i
NR;acompxi999;p0p100;1984;527.9;999;i
NR;acompxi999;p0p100;1985;494.5;999;i
NR;acompxi999;p0p100;1986;416.1;999;i
NR;acompxi999;p0p100;1987;393.7;999;i
NR;acompxi999;p0p100;1988;371.5;999;i
NR;acompxi999;p0p100;1989;349.9;999;i
NR;acompxi999;p0p100;1990;300.7;999;i
NR;acompxi999;p0p100;1991;239.6;999;i
NR;acompxi999;p0p100;1992;195.7;999;i
NR;acompxi999;p0p100;1993;170.5;999;i
NR;acompxi999;p0p100;1994;157.1;999;i
NR;acompxi999;p0p100;1995;138.1;999;i
NR;acompxi999;p0p100;1996;128;999;i
NR;acompxi999;p0p100;1997;117.8;999;i
NR;acompxi999;p0p100;1998;113;999;i
NR;acompxi999;p0p100;1999;96.7;999;i
NR;acompxi999;p0p100;2000;87.9;999;i
NR;acompxi999;p0p100;2001;83.80000000000001;999;i
NR;acompxi999;p0p100;2002;80.9;999;i
NR;acompxi999;p0p100;2003;79.30000000000001;999;i
NR;acompxi999;p0p100;2004;73.60000000000001;999;i
NR;acompxi999;p0p100;2005;68.4;999;i
NR;acompxi999;p0p100;2006;76.80000000000001;999;i
NR;acompxi999;p0p100;2007;53.1;999;i
NR;acompxi999;p0p100;2008;81.60000000000001;999;i
NR;acompxi999;p0p100;2009;52.40000000000001;999;i
NR;acompxi999;p0p100;2010;68.4;999;i
NR;acompxi999;p0p100;2011;66.10000000000001;999;i
NR;acompxi999;p0p100;2012;87.9;999;i
NR;acompxi999;p0p100;2013;63.5;999;i
NR;acompxi999;p0p100;2014;54.8;999;i
NR;acompxi999;p0p100;2015;36.1;999;i
NR;acompxi999;p0p100;2016;45.40000000000001;999;i
NR;acompxi999;p0p100;2017;37.1;999;i
NR;acompxi999;p0p100;2018;25.2;999;i
NR;acompxi999;p0p100;2019;29.7;999;i
NR;acompxi999;p0p100;2020;31.6;999;i
NR;acompxi999;p0p100;2021;33.8;999;i
NR;acompxi999;p0p100;2022;31.2;999;i
NR;acompxi999;p0p100;2023;32.2;999;i
NR;aconfci992;p0p100;1970;20614.8;992;i
NR;aconfci992;p0p100;1971;20897.4;992;i
NR;aconfci992;p0p100;1972;21128.8;992;i
NR;aconfci992;p0p100;1973;21153.8;992;i
NR;aconfci992;p0p100;1974;20935.6;992;i
NR;aconfci992;p0p100;1975;20444.8;992;i
NR;aconfci992;p0p100;1976;19647.3;992;i
NR;aconfci992;p0p100;1977;18602.2;992;i
NR;aconfci992;p0p100;1978;17595.9;992;i
NR;aconfci992;p0p100;1979;16728.1;992;i
NR;aconfci992;p0p100;1980;15892.9;992;i
NR;aconfci992;p0p100;1981;15099.8;992;i
NR;aconfci992;p0p100;1982;14507.8;992;i
NR;aconfci992;p0p100;1983;13613.1;992;i
NR;aconfci992;p0p100;1984;12668.5;992;i
NR;aconfci992;p0p100;1985;12075.4;992;i
NR;aconfci992;p0p100;1986;11503.7;992;i
