country;variable;percentile;year;value;age;pop
OH-MER;inyixxi999;p0p100;1970;0.0919245555996895;999;i
OH-MER;inyixxi999;p0p100;1971;0.0966586098074913;999;i
OH-MER;inyixxi999;p0p100;1972;0.1022575497627258;999;i
OH-MER;inyixxi999;p0p100;1973;0.1110458746552467;999;i
OH-MER;inyixxi999;p0p100;1974;0.122977577149868;999;i
OH-MER;inyixxi999;p0p100;1975;0.1345901787281036;999;i
OH-MER;inyixxi999;p0p100;1976;0.1470163464546204;999;i
OH-MER;inyixxi999;p0p100;1977;0.1583887785673141;999;i
OH-MER;inyixxi999;p0p100;1978;0.1702637225389481;999;i
OH-MER;inyixxi999;p0p100;1979;0.1843647062778473;999;i
OH-MER;inyixxi999;p0p100;1980;0.2028966993093491;999;i
OH-MER;inyixxi999;p0p100;1981;0.2227141708135605;999;i
OH-MER;inyixxi999;p0p100;1982;0.2447280138731003;999;i
OH-MER;inyixxi999;p0p100;1983;0.2629861831665039;999;i
OH-MER;inyixxi999;p0p100;1984;0.2808614373207092;999;i
OH-MER;inyixxi999;p0p100;1985;0.2958158850669861;999;i
OH-MER;inyixxi999;p0p100;1986;0.3106207251548767;999;i
OH-MER;inyixxi999;p0p100;1987;0.3211571872234344;999;i
OH-MER;inyixxi999;p0p100;1988;0.3344599902629852;999;i
OH-MER;inyixxi999;p0p100;1989;0.3528536260128021;999;i
OH-MER;inyixxi999;p0p100;1990;0.3719424903392792;999;i
OH-MER;inyixxi999;p0p100;1991;0.401583343744278;999;i
OH-MER;inyixxi999;p0p100;1992;0.4283549785614014;999;i
OH-MER;inyixxi999;p0p100;1993;0.4594608545303345;999;i
OH-MER;inyixxi999;p0p100;1994;0.4867454171180725;999;i
OH-MER;inyixxi999;p0p100;1995;0.5218846797943115;999;i
OH-MER;inyixxi999;p0p100;1996;0.5267804861068726;999;i
OH-MER;inyixxi999;p0p100;1997;0.5406982898712158;999;i
OH-MER;inyixxi999;p0p100;1998;0.5531224012374878;999;i
OH-MER;inyixxi999;p0p100;1999;0.5633949637413025;999;i
OH-MER;inyixxi999;p0p100;2000;0.5817641615867615;999;i
OH-MER;inyixxi999;p0p100;2001;0.6037394404411316;999;i
OH-MER;inyixxi999;p0p100;2002;0.6207958459854126;999;i
OH-MER;inyixxi999;p0p100;2003;0.637974739074707;999;i
OH-MER;inyixxi999;p0p100;2004;0.652275800704956;999;i
OH-MER;inyixxi999;p0p100;2005;0.6691776514053345;999;i
OH-MER;inyixxi999;p0p100;2006;0.6897338628768921;999;i
OH-MER;inyixxi999;p0p100;2007;0.7126179933547974;999;i
OH-MER;inyixxi999;p0p100;2008;0.7365527153015137;999;i
OH-MER;inyixxi999;p0p100;2009;0.7383987903594971;999;i
OH-MER;inyixxi999;p0p100;2010;0.746943473815918;999;i
OH-MER;inyixxi999;p0p100;2011;0.760595440864563;999;i
OH-MER;inyixxi999;p0p100;2012;0.7741908431053162;999;i
OH-MER;inyixxi999;p0p100;2013;0.7846277356147766;999;i
OH-MER;inyixxi999;p0p100;2014;0.7914330363273621;999;i
OH-MER;inyixxi999;p0p100;2015;0.8025469183921814;999;i
OH-MER;inyixxi999;p0p100;2016;0.8091409802436829;999;i
OH-MER;inyixxi999;p0p100;2017;0.8209730386734009;999;i
OH-MER;inyixxi999;p0p100;2018;0.8360329270362854;999;i
OH-MER;inyixxi999;p0p100;2019;0.8515922427177429;999;i
OH-MER;inyixxi999;p0p100;2020;0.8638160228729248;999;i
OH-MER;inyixxi999;p0p100;2021;0.8883014917373657;999;i
OH-MER;inyixxi999;p0p100;2022;0.9446595311164856;999;i
OH-MER;inyixxi999;p0p100;2023;1;999;i
OH-MER;mcitgri999;p0p100;1980;1065397807;999;i
OH-MER;mcitgri999;p0p100;1981;911590479;999;i
OH-MER;mcitgri999;p0p100;1982;628100263;999;i
OH-MER;mcitgri999;p0p100;1983;584974180;999;i
OH-MER;mcitgri999;p0p100;1984;763437506;999;i
OH-MER;mcitgri999;p0p100;1985;668090800;999;i
OH-MER;mcitgri999;p0p100;1986;630953596;999;i
OH-MER;mcitgri999;p0p100;1987;739403369;999;i
OH-MER;mcitgri999;p0p100;1988;848128921;999;i
OH-MER;mcitgri999;p0p100;1989;1045698739;999;i
OH-MER;mcitgri999;p0p100;1990;1010741786;999;i
OH-MER;mcitgri999;p0p100;1991;992310438;999;i
OH-MER;mcitgri999;p0p100;1992;904837688;999;i
OH-MER;mcitgri999;p0p100;1993;920216233;999;i
OH-MER;mcitgri999;p0p100;1994;850194228;999;i
OH-MER;mcitgri999;p0p100;1995;629498365;999;i
OH-MER;mcitgri999;p0p100;1996;1059815683;999;i
OH-MER;mcitgri999;p0p100;1997;1064542978;999;i
OH-MER;mcitgri999;p0p100;1998;1107266935;999;i
OH-MER;mcitgri999;p0p100;1999;1249833282;999;i
OH-MER;mcitgri999;p0p100;2000;1438274404;999;i
OH-MER;mcitgri999;p0p100;2001;2051360685;999;i
OH-MER;mcitgri999;p0p100;2002;1673869869;999;i
OH-MER;mcitgri999;p0p100;2003;1969698675;999;i
OH-MER;mcitgri999;p0p100;2004;2633591195;999;i
OH-MER;mcitgri999;p0p100;2005;3230445421;999;i
OH-MER;mcitgri999;p0p100;2006;3228634297;999;i
OH-MER;mcitgri999;p0p100;2007;3194774127;999;i
OH-MER;mcitgri999;p0p100;2008;3149462992;999;i
OH-MER;mcitgri999;p0p100;2009;2539804092;999;i
OH-MER;mcitgri999;p0p100;2010;2902249870;999;i
OH-MER;mcitgri999;p0p100;2011;3229298738;999;i
OH-MER;mcitgri999;p0p100;2012;2781372801;999;i
OH-MER;mcitgri999;p0p100;2013;2645726232;999;i
OH-MER;mcitgri999;p0p100;2014;2836969737;999;i
OH-MER;mcitgri999;p0p100;2015;2489274990;999;i
OH-MER;mcitgri999;p0p100;2016;2334466299;999;i
OH-MER;mcitgri999;p0p100;2017;2316849303;999;i
OH-MER;mcitgri999;p0p100;2018;2458024549;999;i
OH-MER;mcitgri999;p0p100;2019;2255356015;999;i
OH-MER;mcitgri999;p0p100;2020;1709344178;999;i
OH-MER;mcitgri999;p0p100;2021;1699305089;999;i
OH-MER;mcitgri999;p0p100;2022;1794835448;999;i
OH-MER;mcitgri999;p0p100;2023;1857538049;999;i
OH-MER;mcomhni999;p0p100;1994;3834732032;999;i
OH-MER;mcomhni999;p0p100;1995;3593428032;999;i
OH-MER;mcomhni999;p0p100;1996;3481780960;999;i
OH-MER;mcomhni999;p0p100;1997;3444314320;999;i
OH-MER;mcomhni999;p0p100;1998;3052048576;999;i
OH-MER;mcomhni999;p0p100;1999;2918770416;999;i
OH-MER;mcomhni999;p0p100;2000;7024478800;999;i
OH-MER;mcomhni999;p0p100;2001;7996212176;999;i
OH-MER;mcomhni999;p0p100;2002;8128046784;999;i
OH-MER;mcomhni999;p0p100;2003;8464946304;999;i
OH-MER;mcomhni999;p0p100;2004;7127926080;999;i
OH-MER;mcomhni999;p0p100;2005;7455536464;999;i
OH-MER;mcomhni999;p0p100;2006;7576233776;999;i
OH-MER;mcomhni999;p0p100;2007;5644711040;999;i
OH-MER;mcomhni999;p0p100;2008;5308084224;999;i
OH-MER;mcomhni999;p0p100;2009;5378972816;999;i
OH-MER;mcomhni999;p0p100;2010;5244367408;999;i
OH-MER;mcomhni999;p0p100;2011;5072047184;999;i
OH-MER;mcomhni999;p0p100;2012;4880524816;999;i
OH-MER;mcomhni999;p0p100;2013;4792187280;999;i
OH-MER;mcomhni999;p0p100;2014;4672360096;999;i
OH-MER;mcomhni999;p0p100;2015;4209626176;999;i
OH-MER;mcomhni999;p0p100;2016;4039433840;999;i
OH-MER;mcomhni999;p0p100;2017;4200640976;999;i
OH-MER;mcomhni999;p0p100;2018;4146786752;999;i
OH-MER;mcomhni999;p0p100;2019;4193632144;999;i
OH-MER;mcomhni999;p0p100;2020;4041059280;999;i
OH-MER;mcomhni999;p0p100;2021;4850568192;999;i
OH-MER;mcomnxi999;p0p100;1970;740485183;999;i
OH-MER;mcomnxi999;p0p100;1971;822191185;999;i
OH-MER;mcomnxi999;p0p100;1972;878430383;999;i
OH-MER;mcomnxi999;p0p100;1973;858543593;999;i
OH-MER;mcomnxi999;p0p100;1974;1082236768;999;i
OH-MER;mcomnxi999;p0p100;1975;1146562069;999;i
OH-MER;mcomnxi999;p0p100;1976;1288054899;999;i
OH-MER;mcomnxi999;p0p100;1977;1658266510;999;i
OH-MER;mcomnxi999;p0p100;1978;1843479945;999;i
OH-MER;mcomnxi999;p0p100;1979;1609366965;999;i
OH-MER;mcomnxi999;p0p100;1980;1642218114;999;i
OH-MER;mcomnxi999;p0p100;1981;1985874608;999;i
OH-MER;mcomnxi999;p0p100;1982;1977081817;999;i
OH-MER;mcomnxi999;p0p100;1983;2040337360;999;i
OH-MER;mcomnxi999;p0p100;1984;2074146797;999;i
OH-MER;mcomnxi999;p0p100;1985;1957670952;999;i
OH-MER;mcomnxi999;p0p100;1986;1953885904;999;i
OH-MER;mcomnxi999;p0p100;1987;2259909507;999;i
OH-MER;mcomnxi999;p0p100;1988;2357209225;999;i
OH-MER;mcomnxi999;p0p100;1989;2860227542;999;i
OH-MER;mcomnxi999;p0p100;1990;2629742667;999;i
OH-MER;mcomnxi999;p0p100;1991;2989519763;999;i
OH-MER;mcomnxi999;p0p100;1992;4237119042;999;i
OH-MER;mcomnxi999;p0p100;1993;3581256612;999;i
