country;variable;percentile;year;value;age;pop
OH;ehfghgi999;p0p100;1980;1.75051155436152;999;i
OH;ehfghgi999;p0p100;1981;1.80048471272937;999;i
OH;ehfghgi999;p0p100;1982;1.83106319674204;999;i
OH;ehfghgi999;p0p100;1983;1.85753146184067;999;i
OH;ehfghgi999;p0p100;1984;1.87013536553946;999;i
OH;ehfghgi999;p0p100;1985;1.89003384893022;999;i
OH;ehfghgi999;p0p100;1986;1.93311277829151;999;i
OH;ehfghgi999;p0p100;1987;1.97101296879354;999;i
OH;ehfghgi999;p0p100;1988;2.03885337634958;999;i
OH;ehfghgi999;p0p100;1989;2.08419316203572;999;i
OH;ehfghgi999;p0p100;1990;2.09872204979941;999;i
OH;ehfghgi999;p0p100;1991;2.1529809969288;999;i
OH;ehfghgi999;p0p100;1992;2.22623582259751;999;i
OH;ehfghgi999;p0p100;1993;2.28913293297729;999;i
OH;ehfghgi999;p0p100;1994;2.32287461407249;999;i
OH;ehfghgi999;p0p100;1995;2.38662416077198;999;i
OH;ehfghgi999;p0p100;1996;2.44089871313938;999;i
OH;ehfghgi999;p0p100;1997;2.53014618458019;999;i
OH;ehfghgi999;p0p100;1998;2.5950267065451;999;i
OH;ehfghgi999;p0p100;1999;2.61701940421277;999;i
OH;ehfghgi999;p0p100;2000;2.69846456939372;999;i
OH;ehfghgi999;p0p100;2001;2.69331531820912;999;i
OH;ehfghgi999;p0p100;2002;2.68747602399183;999;i
OH;ehfghgi999;p0p100;2003;2.7136498332923;999;i
OH;ehfghgi999;p0p100;2004;2.77320643261759;999;i
OH;ehfghgi999;p0p100;2005;2.7801792869829;999;i
OH;ehfghgi999;p0p100;2006;2.7965888445169;999;i
OH;ehfghgi999;p0p100;2007;2.84876531576496;999;i
OH;ehfghgi999;p0p100;2008;2.82072860011697;999;i
OH;ehfghgi999;p0p100;2009;2.85288453658887;999;i
OH;ehfghgi999;p0p100;2010;2.91184601927708;999;i
OH;ehfghgi999;p0p100;2011;2.89632203869787;999;i
OH;ehfghgi999;p0p100;2012;2.89191291797583;999;i
OH;ehfghgi999;p0p100;2013;2.91624043134066;999;i
OH;ehfghgi999;p0p100;2014;2.97844091247681;999;i
OH;ehfghgi999;p0p100;2015;3.03553357186909;999;i
OH;ehfghgi999;p0p100;2016;3.06589694148076;999;i
OH;ehfghgi999;p0p100;2017;3.09626031109243;999;i
OH;ehfghgi999;p0p100;2018;3.12662368070409;999;i
OH;ehfghgi999;p0p100;2019;3.15698705031576;999;i
OH;ehfghgi999;p0p100;2020;2.93599795679366;999;i
OH;ehfghoi999;p0p100;1990;1.09730228705102;999;i
OH;ehfghoi999;p0p100;1991;1.13428696342489;999;i
OH;ehfghoi999;p0p100;1992;1.16645292537382;999;i
OH;ehfghoi999;p0p100;1993;1.20032881443267;999;i
OH;ehfghoi999;p0p100;1994;1.209055408569;999;i
OH;ehfghoi999;p0p100;1995;1.24139087411581;999;i
OH;ehfghoi999;p0p100;1996;1.26266204776136;999;i
OH;ehfghoi999;p0p100;1997;1.30682227525472;999;i
OH;ehfghoi999;p0p100;1998;1.34023389360207;999;i
OH;ehfghoi999;p0p100;1999;1.34792468623258;999;i
OH;ehfghoi999;p0p100;2000;1.38220548477697;999;i
OH;ehfghoi999;p0p100;2001;1.3656766827722;999;i
