country;variable;percentile;year;value;age;pop
PR;acompxi999;p0p100;1960;566.2;999;i
PR;acompxi999;p0p100;1970;5.100000000000001;999;i
PR;acompxi999;p0p100;1971;5.5;999;i
PR;acompxi999;p0p100;1972;4.5;999;i
PR;acompxi999;p0p100;1973;7.9;999;i
PR;acompxi999;p0p100;1974;26.4;999;i
PR;acompxi999;p0p100;1975;33.6;999;i
PR;acompxi999;p0p100;1976;49;999;i
PR;acompxi999;p0p100;1977;86.2;999;i
PR;acompxi999;p0p100;1978;84.10000000000001;999;i
PR;acompxi999;p0p100;1979;68.5;999;i
PR;acompxi999;p0p100;1980;76.9;999;i
PR;acompxi999;p0p100;1981;82.7;999;i
PR;acompxi999;p0p100;1982;68.60000000000001;999;i
PR;acompxi999;p0p100;1983;57.6;999;i
PR;acompxi999;p0p100;1984;61.2;999;i
PR;acompxi999;p0p100;1985;57.8;999;i
PR;acompxi999;p0p100;1986;60.90000000000001;999;i
PR;acompxi999;p0p100;1987;43.90000000000001;999;i
PR;acompxi999;p0p100;1988;43.40000000000001;999;i
PR;acompxi999;p0p100;1989;43.2;999;i
PR;acompxi999;p0p100;1990;49.40000000000001;999;i
PR;acompxi999;p0p100;1991;45.5;999;i
PR;acompxi999;p0p100;1992;38;999;i
PR;acompxi999;p0p100;1993;33.9;999;i
PR;acompxi999;p0p100;1994;34.1;999;i
PR;acompxi999;p0p100;1995;4.9;999;i
PR;acompxi999;p0p100;1996;4.800000000000001;999;i
PR;acompxi999;p0p100;1997;4.2;999;i
PR;acompxi999;p0p100;1998;3.4;999;i
PR;acompxi999;p0p100;1999;3.4;999;i
PR;acompxi999;p0p100;2000;2.7;999;i
PR;acompxi999;p0p100;2001;2.8;999;i
PR;acompxi999;p0p100;2002;3.5;999;i
PR;acompxi999;p0p100;2003;2.7;999;i
PR;acompxi999;p0p100;2004;3.5;999;i
PR;acompxi999;p0p100;2005;2.6;999;i
PR;acompxi999;p0p100;2006;1.8;999;i
PR;acompxi999;p0p100;2007;1.1;999;i
PR;acompxi999;p0p100;2008;1.5;999;i
PR;acompxi999;p0p100;2009;1.8;999;i
PR;acompxi999;p0p100;2010;1.5;999;i
PR;acompxi999;p0p100;2011;1.6;999;i
PR;acompxi999;p0p100;2012;1.7;999;i
PR;acompxi999;p0p100;2013;1.8;999;i
PR;acompxi999;p0p100;2014;2.1;999;i
PR;acompxi999;p0p100;2015;1.8;999;i
PR;acompxi999;p0p100;2016;1.7;999;i
PR;acompxi999;p0p100;2017;1.7;999;i
PR;acompxi999;p0p100;2018;1.3;999;i
PR;acompxi999;p0p100;2019;1.3;999;i
PR;acompxi999;p0p100;2020;1.4;999;i
PR;acompxi999;p0p100;2021;1.5;999;i
PR;acompxi999;p0p100;2022;1.4;999;i
PR;acompxi999;p0p100;2023;1.4;999;i
PR;aconfci992;p0p100;1950;593.7;992;i
PR;aconfci992;p0p100;1951;583.6;992;i
PR;aconfci992;p0p100;1952;635.9000000000001;992;i
PR;aconfci992;p0p100;1953;682.5;992;i
PR;aconfci992;p0p100;1954;773.5;992;i
PR;aconfci992;p0p100;1955;849.6;992;i
PR;aconfci992;p0p100;1956;965;992;i
PR;aconfci992;p0p100;1957;1051.5;992;i
PR;aconfci992;p0p100;1958;1054;992;i
PR;aconfci992;p0p100;1959;1120.3;992;i
PR;aconfci992;p0p100;1960;1225.5;992;i
PR;aconfci992;p0p100;1961;1223.2;992;i
PR;aconfci992;p0p100;1962;1391;992;i
PR;aconfci992;p0p100;1963;1399;992;i
PR;aconfci992;p0p100;1964;1499.6;992;i
PR;aconfci992;p0p100;1965;1589.1;992;i
PR;aconfci992;p0p100;1966;1693.5;992;i
PR;aconfci992;p0p100;1967;1771;992;i
PR;aconfci992;p0p100;1968;1834.1;992;i
PR;aconfci992;p0p100;1969;1930.6;992;i
PR;aconfci992;p0p100;1970;2002.8;992;i
PR;aconfci992;p0p100;1971;2076.9;992;i
PR;aconfci992;p0p100;1972;2145.1;992;i
PR;aconfci992;p0p100;1973;2178.8;992;i
PR;aconfci992;p0p100;1974;2141.7;992;i
PR;aconfci992;p0p100;1975;2076.7;992;i
PR;aconfci992;p0p100;1976;2121.7;992;i
PR;aconfci992;p0p100;1977;2092.5;992;i
PR;aconfci992;p0p100;1978;2072.5;992;i
PR;aconfci992;p0p100;1979;2036.7;992;i
PR;aconfci992;p0p100;1980;2060;992;i
PR;aconfci992;p0p100;1981;2126.6;992;i
PR;aconfci992;p0p100;1982;2059.4;992;i
PR;aconfci992;p0p100;1983;1949.5;992;i
PR;aconfci992;p0p100;1984;2094.1;992;i
