country;variable;percentile;year;value;age;pop
PW;accmhni992;p0p100;2000;60.2;992;i
PW;accmhni992;p0p100;2001;55;992;i
PW;accmhni992;p0p100;2002;66.10000000000001;992;i
PW;accmhni992;p0p100;2003;67.7;992;i
PW;accmhni992;p0p100;2004;44.5;992;i
PW;accmhni992;p0p100;2005;27.4;992;i
PW;accmhni992;p0p100;2006;26.9;992;i
PW;accmhni992;p0p100;2007;26.9;992;i
PW;accmhni992;p0p100;2008;30.8;992;i
PW;accmhni992;p0p100;2009;34.7;992;i
PW;accmhni992;p0p100;2010;47.40000000000001;992;i
PW;accmhni992;p0p100;2011;51.8;992;i
PW;accmhni992;p0p100;2012;54.1;992;i
PW;accmhni992;p0p100;2013;59.6;992;i
PW;accmhni992;p0p100;2014;60.40000000000001;992;i
PW;accmhni992;p0p100;2015;57.2;992;i
PW;accmhni992;p0p100;2016;55.2;992;i
PW;accmhni992;p0p100;2017;53.5;992;i
PW;accmhni992;p0p100;2018;53;992;i
PW;accmhni992;p0p100;2019;50.5;992;i
PW;accmhni992;p0p100;2020;44.90000000000001;992;i
PW;accmhni992;p0p100;2021;39.1;992;i
PW;acfccoi999;p0p100;2000;1067;999;i
PW;acfccoi999;p0p100;2001;1067.1;999;i
PW;acfccoi999;p0p100;2002;1078;999;i
PW;acfccoi999;p0p100;2003;1092.3;999;i
PW;acfccoi999;p0p100;2004;1108.3;999;i
PW;acfccoi999;p0p100;2005;1125.5;999;i
PW;acfccoi999;p0p100;2006;1139.9;999;i
PW;acfccoi999;p0p100;2007;1144.4;999;i
PW;acfccoi999;p0p100;2008;1141.6;999;i
PW;acfccoi999;p0p100;2009;1144.6;999;i
PW;acfccoi999;p0p100;2010;1164.1;999;i
PW;acfccoi999;p0p100;2011;1201.8;999;i
PW;acfccoi999;p0p100;2012;1251.6;999;i
PW;acfccoi999;p0p100;2013;1299;999;i
PW;acfccoi999;p0p100;2014;1341.3;999;i
PW;acfccoi999;p0p100;2015;1376.1;999;i
PW;acfccoi999;p0p100;2016;1388.8;999;i
PW;acfccoi999;p0p100;2017;1377.2;999;i
PW;acfccoi999;p0p100;2018;1341.2;999;i
PW;acfccoi999;p0p100;2019;1278.8;999;i
PW;acfccoi999;p0p100;2020;1198.7;999;i
PW;acfccoi999;p0p100;2021;1117.3;999;i
PW;acompxi999;p0p100;1970;131.3;999;i
PW;acompxi999;p0p100;1971;143.1;999;i
PW;acompxi999;p0p100;1972;117.6;999;i
PW;acompxi999;p0p100;1973;142.2;999;i
PW;acompxi999;p0p100;1974;105.4;999;i
PW;acompxi999;p0p100;1975;103.4;999;i
PW;acompxi999;p0p100;1976;111.4;999;i
PW;acompxi999;p0p100;1977;114.1;999;i
PW;acompxi999;p0p100;1978;116.2;999;i
PW;acompxi999;p0p100;1979;101.9;999;i
PW;acompxi999;p0p100;1980;114;999;i
PW;acompxi999;p0p100;1981;128.5;999;i
PW;acompxi999;p0p100;1982;109.3;999;i
PW;acompxi999;p0p100;1983;101.3;999;i
PW;acompxi999;p0p100;1984;110.6;999;i
PW;acompxi999;p0p100;1985;112.1;999;i
PW;acompxi999;p0p100;1986;102.4;999;i
PW;acompxi999;p0p100;1987;105.5;999;i
PW;acompxi999;p0p100;1988;108.8;999;i
PW;acompxi999;p0p100;1989;112.2;999;i
PW;acompxi999;p0p100;1990;115.5;999;i
PW;acompxi999;p0p100;1991;117.8;999;i
PW;acompxi999;p0p100;1992;112.7;999;i
PW;acompxi999;p0p100;1993;99.30000000000001;999;i
PW;acompxi999;p0p100;1994;104.9;999;i
PW;acompxi999;p0p100;1995;115.1;999;i
PW;acompxi999;p0p100;1996;126.1;999;i
PW;acompxi999;p0p100;1997;130.1;999;i
PW;acompxi999;p0p100;1998;134.7;999;i
PW;acompxi999;p0p100;1999;114.8;999;i
PW;acompxi999;p0p100;2000;-35.7;999;i
PW;acompxi999;p0p100;2001;-40.40000000000001;999;i
PW;acompxi999;p0p100;2002;-45.1;999;i
PW;acompxi999;p0p100;2003;-44.3;999;i
PW;acompxi999;p0p100;2004;-46.2;999;i
PW;acompxi999;p0p100;2005;24.1;999;i
PW;acompxi999;p0p100;2006;14.2;999;i
PW;acompxi999;p0p100;2007;8.4;999;i
PW;acompxi999;p0p100;2008;-1.2;999;i
PW;acompxi999;p0p100;2009;52.1;999;i
PW;acompxi999;p0p100;2010;88.30000000000001;999;i
PW;acompxi999;p0p100;2011;86.60000000000001;999;i
PW;acompxi999;p0p100;2012;102.7;999;i
PW;acompxi999;p0p100;2013;74.60000000000001;999;i
PW;acompxi999;p0p100;2014;92.80000000000001;999;i
PW;acompxi999;p0p100;2015;84.7;999;i
PW;acompxi999;p0p100;2016;100.4;999;i
PW;acompxi999;p0p100;2017;98.80000000000001;999;i
PW;acompxi999;p0p100;2018;87.10000000000001;999;i
PW;acompxi999;p0p100;2019;85;999;i
PW;acompxi999;p0p100;2020;66.8;999;i
PW;acompxi999;p0p100;2021;-105.9;999;i
PW;acompxi999;p0p100;2022;63.40000000000001;999;i
PW;acompxi999;p0p100;2023;69.10000000000001;999;i
PW;accmhoi999;p0p100;2000;40.1;999;i
PW;accmhoi999;p0p100;2001;36.9;999;i
PW;accmhoi999;p0p100;2002;44.6;999;i
PW;accmhoi999;p0p100;2003;46;999;i
PW;accmhoi999;p0p100;2004;30.4;999;i
PW;accmhoi999;p0p100;2005;18.8;999;i
PW;accmhoi999;p0p100;2006;18.6;999;i
PW;accmhoi999;p0p100;2007;18.7;999;i
PW;accmhoi999;p0p100;2008;21.5;999;i
PW;accmhoi999;p0p100;2009;24.3;999;i
PW;accmhoi999;p0p100;2010;33.4;999;i
PW;accmhoi999;p0p100;2011;36.6;999;i
PW;accmhoi999;p0p100;2012;38.40000000000001;999;i
PW;accmhoi999;p0p100;2013;42.5;999;i
PW;accmhoi999;p0p100;2014;43.5;999;i
PW;accmhoi999;p0p100;2015;41.40000000000001;999;i
PW;accmhoi999;p0p100;2016;40;999;i
PW;accmhoi999;p0p100;2017;38.8;999;i
PW;accmhoi999;p0p100;2018;38.40000000000001;999;i
PW;accmhoi999;p0p100;2019;36.6;999;i
PW;accmhoi999;p0p100;2020;32.5;999;i
PW;accmhoi999;p0p100;2021;28.3;999;i
PW;aconfci992;p0p100;1970;3601.4;992;i
PW;aconfci992;p0p100;1971;3449.5;992;i
PW;aconfci992;p0p100;1972;3294.1;992;i
PW;aconfci992;p0p100;1973;3159.3;992;i
PW;aconfci992;p0p100;1974;3075.5;992;i
PW;aconfci992;p0p100;1975;3030.7;992;i
PW;aconfci992;p0p100;1976;2997.7;992;i
PW;aconfci992;p0p100;1977;2972.8;992;i
PW;aconfci992;p0p100;1978;2951.8;992;i
PW;aconfci992;p0p100;1979;2937.8;992;i
PW;aconfci992;p0p100;1980;2911.1;992;i
PW;aconfci992;p0p100;1981;2823.4;992;i
PW;aconfci992;p0p100;1982;2716.2;992;i
PW;aconfci992;p0p100;1983;2649.3;992;i
PW;aconfci992;p0p100;1984;2627.3;992;i
PW;aconfci992;p0p100;1985;2641.6;992;i
PW;aconfci992;p0p100;1986;2662.7;992;i
PW;aconfci992;p0p100;1987;2680;992;i
PW;aconfci992;p0p100;1988;2700.2;992;i
PW;aconfci992;p0p100;1989;2712.1;992;i
PW;aconfci992;p0p100;1990;2706.2;992;i
PW;aconfci992;p0p100;1991;2678.3;992;i
PW;aconfci992;p0p100;1992;2636.1;992;i
PW;aconfci992;p0p100;1993;2617.2;992;i
PW;aconfci992;p0p100;1994;2657.4;992;i
PW;aconfci992;p0p100;1995;2735.2;992;i
PW;aconfci992;p0p100;1996;2793.4;992;i
PW;aconfci992;p0p100;1997;2794.4;992;i
PW;aconfci992;p0p100;1998;2735.8;992;i
PW;aconfci992;p0p100;1999;2638.7;992;i
PW;aconfci992;p0p100;2000;2564.9;992;i
PW;aconfci992;p0p100;2001;2547.7;992;i
PW;aconfci992;p0p100;2002;2557.1;992;i
PW;aconfci992;p0p100;2003;2576.2;992;i
PW;aconfci992;p0p100;2004;2601.9;992;i
PW;aconfci992;p0p100;2005;2629.7;992;i
PW;aconfci992;p0p100;2006;2648.2;992;i
PW;aconfci992;p0p100;2007;2641.7;992;i
PW;aconfci992;p0p100;2008;2619.4;992;i
PW;aconfci992;p0p100;2009;2612.5;992;i
PW;aconfci992;p0p100;2010;2644.8;992;i
PW;aconfci992;p0p100;2011;2720.4;992;i
PW;aconfci992;p0p100;2012;2826.5;992;i
PW;aconfci992;p0p100;2013;2914.4;992;i
PW;aconfci992;p0p100;2014;2979.2;992;i
PW;aconfci992;p0p100;2015;3041.7;992;i
PW;aconfci992;p0p100;2016;3066.6;992;i
PW;aconfci992;p0p100;2017;3038.8;992;i
PW;aconfci992;p0p100;2018;2960.9;992;i
PW;aconfci992;p0p100;2019;2827.5;992;i
PW;aconfci992;p0p100;2020;2653.4;992;i
PW;aconfci992;p0p100;2021;2475.3;992;i
PW;aconfci992;p0p100;2022;2324.3;992;i
PW;aconfci992;p0p100;2023;2198.5;992;i
PW;aconfci999;p0p100;1970;1492.1;999;i
PW;aconfci999;p0p100;1971;1439.7;999;i
PW;aconfci999;p0p100;1972;1382.9;999;i
PW;aconfci999;p0p100;1973;1337.9;999;i
PW;aconfci999;p0p100;1974;1325.5;999;i
PW;aconfci999;p0p100;1975;1334.4;999;i
PW;aconfci999;p0p100;1976;1344.3;999;i
PW;aconfci999;p0p100;1977;1353.4;999;i
PW;aconfci999;p0p100;1978;1360.2;999;i
PW;aconfci999;p0p100;1979;1367.8;999;i
PW;aconfci999;p0p100;1980;1373.6;999;i
PW;aconfci999;p0p100;1981;1363.8;999;i
PW;aconfci999;p0p100;1982;1350.1;999;i
PW;aconfci999;p0p100;1983;1352.7;999;i
PW;aconfci999;p0p100;1984;1372.8;999;i
PW;aconfci999;p0p100;1985;1406.7;999;i
PW;aconfci999;p0p100;1986;1451.8;999;i
PW;aconfci999;p0p100;1987;1503.6;999;i
PW;aconfci999;p0p100;1988;1554;999;i
PW;aconfci999;p0p100;1989;1596.1;999;i
PW;aconfci999;p0p100;1990;1623;999;i
PW;aconfci999;p0p100;1991;1633.3;999;i
PW;aconfci999;p0p100;1992;1633.7;999;i
PW;aconfci999;p0p100;1993;1645.2;999;i
PW;aconfci999;p0p100;1994;1690.2;999;i
PW;aconfci999;p0p100;1995;1754.7;999;i
PW;aconfci999;p0p100;1996;1804.1;999;i
PW;aconfci999;p0p100;1997;1817.6;999;i
PW;aconfci999;p0p100;1998;1793.4;999;i
PW;aconfci999;p0p100;1999;1744.2;999;i
PW;aconfci999;p0p100;2000;1708.6;999;i
PW;aconfci999;p0p100;2001;1708.7;999;i
PW;aconfci999;p0p100;2002;1726.1;999;i
PW;aconfci999;p0p100;2003;1748.9;999;i
PW;aconfci999;p0p100;2004;1774.7;999;i
PW;aconfci999;p0p100;2005;1802.1;999;i
PW;aconfci999;p0p100;2006;1825.2;999;i
PW;aconfci999;p0p100;2007;1832.4;999;i
PW;aconfci999;p0p100;2008;1828;999;i
PW;aconfci999;p0p100;2009;1832.7;999;i
PW;aconfci999;p0p100;2010;1863.9;999;i
PW;aconfci999;p0p100;2011;1924.3;999;i
PW;aconfci999;p0p100;2012;2004.1;999;i
PW;aconfci999;p0p100;2013;2080;999;i
PW;aconfci999;p0p100;2014;2147.7;999;i
PW;aconfci999;p0p100;2015;2203.4;999;i
PW;aconfci999;p0p100;2016;2223.7;999;i
PW;aconfci999;p0p100;2017;2205.2;999;i
PW;aconfci999;p0p100;2018;2147.6;999;i
PW;aconfci999;p0p100;2019;2047.7;999;i
PW;aconfci999;p0p100;2020;1919.4;999;i
PW;aconfci999;p0p100;2021;1789;999;i
