country;variable;percentile;year;value;age;pop
QC-MER;inyixxi999;p0p100;1970;0.0919245555996895;999;i
QC-MER;inyixxi999;p0p100;1971;0.0966586023569107;999;i
QC-MER;inyixxi999;p0p100;1972;0.1022575348615646;999;i
QC-MER;inyixxi999;p0p100;1973;0.1110458672046661;999;i
QC-MER;inyixxi999;p0p100;1974;0.122977577149868;999;i
QC-MER;inyixxi999;p0p100;1975;0.1345901638269424;999;i
QC-MER;inyixxi999;p0p100;1976;0.1470163464546204;999;i
QC-MER;inyixxi999;p0p100;1977;0.1583887785673141;999;i
QC-MER;inyixxi999;p0p100;1978;0.1702637225389481;999;i
QC-MER;inyixxi999;p0p100;1979;0.1843647062778473;999;i
QC-MER;inyixxi999;p0p100;1980;0.2028966993093491;999;i
QC-MER;inyixxi999;p0p100;1981;0.2227141708135605;999;i
QC-MER;inyixxi999;p0p100;1982;0.2447280138731003;999;i
QC-MER;inyixxi999;p0p100;1983;0.2629861533641815;999;i
QC-MER;inyixxi999;p0p100;1984;0.2808614373207092;999;i
QC-MER;inyixxi999;p0p100;1985;0.2958159148693085;999;i
QC-MER;inyixxi999;p0p100;1986;0.3106207251548767;999;i
QC-MER;inyixxi999;p0p100;1987;0.3211572170257568;999;i
QC-MER;inyixxi999;p0p100;1988;0.3344600200653076;999;i
QC-MER;inyixxi999;p0p100;1989;0.3528536260128021;999;i
QC-MER;inyixxi999;p0p100;1990;0.3719424605369568;999;i
QC-MER;inyixxi999;p0p100;1991;0.4015833139419556;999;i
QC-MER;inyixxi999;p0p100;1992;0.4283549785614014;999;i
QC-MER;inyixxi999;p0p100;1993;0.4594608545303345;999;i
QC-MER;inyixxi999;p0p100;1994;0.4867454171180725;999;i
QC-MER;inyixxi999;p0p100;1995;0.5218846797943115;999;i
QC-MER;inyixxi999;p0p100;1996;0.5267804861068726;999;i
QC-MER;inyixxi999;p0p100;1997;0.5406982898712158;999;i
QC-MER;inyixxi999;p0p100;1998;0.5531224012374878;999;i
QC-MER;inyixxi999;p0p100;1999;0.5633949637413025;999;i
