country;variable;percentile;year;value;age;pop
QG-MER;inyixxi999;p0p100;1970;0.0919245555996895;999;i
QG-MER;inyixxi999;p0p100;1971;0.0966586098074913;999;i
QG-MER;inyixxi999;p0p100;1972;0.1022575423121452;999;i
QG-MER;inyixxi999;p0p100;1973;0.1110458746552467;999;i
QG-MER;inyixxi999;p0p100;1974;0.1229775846004486;999;i
QG-MER;inyixxi999;p0p100;1975;0.1345901787281036;999;i
QG-MER;inyixxi999;p0p100;1976;0.1470163613557816;999;i
QG-MER;inyixxi999;p0p100;1977;0.1583887934684753;999;i
QG-MER;inyixxi999;p0p100;1978;0.1702637523412704;999;i
QG-MER;inyixxi999;p0p100;1979;0.1843647062778473;999;i
QG-MER;inyixxi999;p0p100;1980;0.2028966993093491;999;i
QG-MER;inyixxi999;p0p100;1981;0.2227141708135605;999;i
QG-MER;inyixxi999;p0p100;1982;0.2447280436754227;999;i
QG-MER;inyixxi999;p0p100;1983;0.2629861831665039;999;i
QG-MER;inyixxi999;p0p100;1984;0.2808614373207092;999;i
QG-MER;inyixxi999;p0p100;1985;0.2958158850669861;999;i
QG-MER;inyixxi999;p0p100;1986;0.3106207251548767;999;i
QG-MER;inyixxi999;p0p100;1987;0.3211572468280792;999;i
QG-MER;inyixxi999;p0p100;1988;0.3344600200653076;999;i
QG-MER;inyixxi999;p0p100;1989;0.3528536558151245;999;i
QG-MER;inyixxi999;p0p100;1990;0.3719424903392792;999;i
QG-MER;inyixxi999;p0p100;1991;0.401583343744278;999;i
QG-MER;inyixxi999;p0p100;1992;0.4283550083637238;999;i
QG-MER;inyixxi999;p0p100;1993;0.4594608843326569;999;i
QG-MER;inyixxi999;p0p100;1994;0.4867454171180725;999;i
QG-MER;inyixxi999;p0p100;1995;0.5218847393989563;999;i
QG-MER;inyixxi999;p0p100;1996;0.5267805457115173;999;i
QG-MER;inyixxi999;p0p100;1997;0.5406983494758606;999;i
QG-MER;inyixxi999;p0p100;1998;0.5531224012374878;999;i
QG-MER;inyixxi999;p0p100;1999;0.5633949637413025;999;i
QG-MER;inyixxi999;p0p100;2000;0.5817641615867615;999;i
QG-MER;inyixxi999;p0p100;2001;0.6037395000457764;999;i
QG-MER;inyixxi999;p0p100;2002;0.6207959055900574;999;i
QG-MER;inyixxi999;p0p100;2003;0.6379748582839966;999;i
QG-MER;inyixxi999;p0p100;2004;0.6522757411003113;999;i
QG-MER;inyixxi999;p0p100;2005;0.6691776514053345;999;i
QG-MER;inyixxi999;p0p100;2006;0.6897338628768921;999;i
QG-MER;inyixxi999;p0p100;2007;0.7126179933547974;999;i
QG-MER;inyixxi999;p0p100;2008;0.7365526556968689;999;i
QG-MER;inyixxi999;p0p100;2009;0.7383987307548523;999;i
QG-MER;inyixxi999;p0p100;2010;0.7469435334205627;999;i
QG-MER;inyixxi999;p0p100;2011;0.7605955004692078;999;i
QG-MER;inyixxi999;p0p100;2012;0.7741908431053162;999;i
QG-MER;inyixxi999;p0p100;2013;0.7846277952194214;999;i
QG-MER;inyixxi999;p0p100;2014;0.7914331555366516;999;i
QG-MER;inyixxi999;p0p100;2015;0.8025469779968262;999;i
QG-MER;inyixxi999;p0p100;2016;0.8091409802436829;999;i
QG-MER;inyixxi999;p0p100;2017;0.8209730386734009;999;i
QG-MER;inyixxi999;p0p100;2018;0.8360329270362854;999;i
QG-MER;inyixxi999;p0p100;2019;0.8515922427177429;999;i
QG-MER;inyixxi999;p0p100;2020;0.86381596326828;999;i
QG-MER;inyixxi999;p0p100;2021;0.8883015513420105;999;i
QG-MER;inyixxi999;p0p100;2022;0.9446594715118408;999;i
