country;variable;percentile;year;value;age;pop
QH-MER;inyixxi999;p0p100;1970;0.0919245555996895;999;i
QH-MER;inyixxi999;p0p100;1971;0.0966586023569107;999;i
QH-MER;inyixxi999;p0p100;1972;0.1022575423121452;999;i
QH-MER;inyixxi999;p0p100;1973;0.1110458672046661;999;i
QH-MER;inyixxi999;p0p100;1974;0.122977577149868;999;i
QH-MER;inyixxi999;p0p100;1975;0.1345901638269424;999;i
QH-MER;inyixxi999;p0p100;1976;0.1470163464546204;999;i
QH-MER;inyixxi999;p0p100;1977;0.1583887785673141;999;i
QH-MER;inyixxi999;p0p100;1978;0.1702637374401093;999;i
QH-MER;inyixxi999;p0p100;1979;0.1843647062778473;999;i
QH-MER;inyixxi999;p0p100;1980;0.2028966993093491;999;i
QH-MER;inyixxi999;p0p100;1981;0.2227141708135605;999;i
QH-MER;inyixxi999;p0p100;1982;0.2447280138731003;999;i
QH-MER;inyixxi999;p0p100;1983;0.2629861831665039;999;i
QH-MER;inyixxi999;p0p100;1984;0.2808614373207092;999;i
QH-MER;inyixxi999;p0p100;1985;0.2958158850669861;999;i
QH-MER;inyixxi999;p0p100;1986;0.3106207549571991;999;i
QH-MER;inyixxi999;p0p100;1987;0.3211571872234344;999;i
QH-MER;inyixxi999;p0p100;1988;0.3344599902629852;999;i
QH-MER;inyixxi999;p0p100;1989;0.3528536260128021;999;i
QH-MER;inyixxi999;p0p100;1990;0.3719425201416016;999;i
QH-MER;inyixxi999;p0p100;1991;0.401583343744278;999;i
QH-MER;inyixxi999;p0p100;1992;0.428354948759079;999;i
QH-MER;inyixxi999;p0p100;1993;0.4594608545303345;999;i
QH-MER;inyixxi999;p0p100;1994;0.4867453873157501;999;i
QH-MER;inyixxi999;p0p100;1995;0.5218846797943115;999;i
QH-MER;inyixxi999;p0p100;1996;0.5267804861068726;999;i
QH-MER;inyixxi999;p0p100;1997;0.5406982898712158;999;i
QH-MER;inyixxi999;p0p100;1998;0.5531224012374878;999;i
QH-MER;inyixxi999;p0p100;1999;0.5633950233459473;999;i
QH-MER;inyixxi999;p0p100;2000;0.5817641615867615;999;i
QH-MER;inyixxi999;p0p100;2001;0.6037395000457764;999;i
QH-MER;inyixxi999;p0p100;2002;0.6207958459854126;999;i
QH-MER;inyixxi999;p0p100;2003;0.637974739074707;999;i
QH-MER;inyixxi999;p0p100;2004;0.652275800704956;999;i
QH-MER;inyixxi999;p0p100;2005;0.6691776514053345;999;i
QH-MER;inyixxi999;p0p100;2006;0.6897338628768921;999;i
QH-MER;inyixxi999;p0p100;2007;0.7126179933547974;999;i
QH-MER;inyixxi999;p0p100;2008;0.7365527153015137;999;i
QH-MER;inyixxi999;p0p100;2009;0.7383987903594971;999;i
QH-MER;inyixxi999;p0p100;2010;0.746943473815918;999;i
QH-MER;inyixxi999;p0p100;2011;0.760595440864563;999;i
QH-MER;inyixxi999;p0p100;2012;0.7741908431053162;999;i
QH-MER;inyixxi999;p0p100;2013;0.7846277356147766;999;i
QH-MER;inyixxi999;p0p100;2014;0.7914330363273621;999;i
QH-MER;inyixxi999;p0p100;2015;0.8025469183921814;999;i
QH-MER;inyixxi999;p0p100;2016;0.8091409802436829;999;i
QH-MER;inyixxi999;p0p100;2017;0.8209729790687561;999;i
QH-MER;inyixxi999;p0p100;2018;0.8360329270362854;999;i
QH-MER;inyixxi999;p0p100;2019;0.8515922427177429;999;i
QH-MER;inyixxi999;p0p100;2020;0.86381596326828;999;i
QH-MER;inyixxi999;p0p100;2021;0.8883014917373657;999;i
QH-MER;inyixxi999;p0p100;2022;0.9446594715118408;999;i
QH-MER;inyixxi999;p0p100;2023;1;999;i
QH-MER;mcitgri999;p0p100;1980;5925355594;999;i
QH-MER;mcitgri999;p0p100;1981;6152796195;999;i
QH-MER;mcitgri999;p0p100;1982;5012764419;999;i
QH-MER;mcitgri999;p0p100;1983;4259686240;999;i
QH-MER;mcitgri999;p0p100;1984;4531742362;999;i
QH-MER;mcitgri999;p0p100;1985;4495532501;999;i
QH-MER;mcitgri999;p0p100;1986;3677173835;999;i
QH-MER;mcitgri999;p0p100;1987;3661992798;999;i
QH-MER;mcitgri999;p0p100;1988;3759619422;999;i
QH-MER;mcitgri999;p0p100;1989;4004732727;999;i
QH-MER;mcitgri999;p0p100;1990;3993728686;999;i
QH-MER;mcitgri999;p0p100;1991;4025797520;999;i
QH-MER;mcitgri999;p0p100;1992;3578019749;999;i
QH-MER;mcitgri999;p0p100;1993;3821592491;999;i
QH-MER;mcitgri999;p0p100;1994;3955602522;999;i
QH-MER;mcitgri999;p0p100;1995;4922391640;999;i
QH-MER;mcitgri999;p0p100;1996;6077910180;999;i
QH-MER;mcitgri999;p0p100;1997;7179920589;999;i
QH-MER;mcitgri999;p0p100;1998;7443248101;999;i
QH-MER;mcitgri999;p0p100;1999;8846392516;999;i
QH-MER;mcitgri999;p0p100;2000;10650192251;999;i
QH-MER;mcitgri999;p0p100;2001;11803608628;999;i
QH-MER;mcitgri999;p0p100;2002;10799446728;999;i
QH-MER;mcitgri999;p0p100;2003;12796701384;999;i
QH-MER;mcitgri999;p0p100;2004;13611367643;999;i
QH-MER;mcitgri999;p0p100;2005;16150935636;999;i
QH-MER;mcitgri999;p0p100;2006;17874139306;999;i
QH-MER;mcitgri999;p0p100;2007;19842996695;999;i
QH-MER;mcitgri999;p0p100;2008;20907199356;999;i
QH-MER;mcitgri999;p0p100;2009;17695617576;999;i
QH-MER;mcitgri999;p0p100;2010;18300603324;999;i
QH-MER;mcitgri999;p0p100;2011;20062137573;999;i
QH-MER;mcitgri999;p0p100;2012;20517824135;999;i
QH-MER;mcitgri999;p0p100;2013;21358696409;999;i
QH-MER;mcitgri999;p0p100;2014;22840130937;999;i
QH-MER;mcitgri999;p0p100;2015;21332544459;999;i
QH-MER;mcitgri999;p0p100;2016;19952768063;999;i
QH-MER;mcitgri999;p0p100;2017;21346960700;999;i
QH-MER;mcitgri999;p0p100;2018;22931817571;999;i
QH-MER;mcitgri999;p0p100;2019;23967943912;999;i
QH-MER;mcitgri999;p0p100;2020;19426380979;999;i
QH-MER;mcitgri999;p0p100;2021;20043847819;999;i
QH-MER;mcitgri999;p0p100;2022;20760444887;999;i
QH-MER;mcitgri999;p0p100;2023;21121752415;999;i
QH-MER;mcomhni999;p0p100;1991;6851562496;999;i
QH-MER;mcomhni999;p0p100;1992;8006279680;999;i
QH-MER;mcomhni999;p0p100;1993;8265239552;999;i
QH-MER;mcomhni999;p0p100;1994;9440545792;999;i
QH-MER;mcomhni999;p0p100;1995;10797214528;999;i
QH-MER;mcomhni999;p0p100;1996;10748506928;999;i
QH-MER;mcomhni999;p0p100;1997;1635648512;999;i
QH-MER;mcomhni999;p0p100;1998;8415301216;999;i
QH-MER;mcomhni999;p0p100;1999;15600771008;999;i
QH-MER;mcomhni999;p0p100;2000;10106907776;999;i
QH-MER;mcomhni999;p0p100;2001;10148317056;999;i
QH-MER;mcomhni999;p0p100;2002;8594468864;999;i
QH-MER;mcomhni999;p0p100;2003;9099067520;999;i
QH-MER;mcomhni999;p0p100;2004;9154285184;999;i
QH-MER;mcomhni999;p0p100;2005;9072848256;999;i
QH-MER;mcomhni999;p0p100;2006;9378686080;999;i
QH-MER;mcomhni999;p0p100;2007;27676083072;999;i
QH-MER;mcomhni999;p0p100;2008;28885935744;999;i
QH-MER;mcomhni999;p0p100;2009;29643289728;999;i
QH-MER;mcomhni999;p0p100;2010;30077775616;999;i
QH-MER;mcomhni999;p0p100;2011;30354026496;999;i
QH-MER;mcomhni999;p0p100;2012;30943476608;999;i
QH-MER;mcomhni999;p0p100;2013;32013445504;999;i
QH-MER;mcomhni999;p0p100;2014;33497477504;999;i
QH-MER;mcomhni999;p0p100;2015;36449436416;999;i
QH-MER;mcomhni999;p0p100;2016;37814956416;999;i
QH-MER;mcomhni999;p0p100;2017;9604530432;999;i
QH-MER;mcomhni999;p0p100;2018;9748975360;999;i
QH-MER;mcomhni999;p0p100;2019;9920218624;999;i
QH-MER;mcomhni999;p0p100;2020;2491884800;999;i
QH-MER;mcomhni999;p0p100;2021;2558510592;999;i
QH-MER;mcomnxi999;p0p100;1970;1338526097;999;i
QH-MER;mcomnxi999;p0p100;1971;1232416670;999;i
QH-MER;mcomnxi999;p0p100;1972;1350070073;999;i
