country;variable;percentile;year;value;age;pop
QI-MER;inyixxi999;p0p100;1970;0.0919245630502701;999;i
QI-MER;inyixxi999;p0p100;1971;0.0966586172580719;999;i
QI-MER;inyixxi999;p0p100;1972;0.1022575348615646;999;i
QI-MER;inyixxi999;p0p100;1973;0.1110458597540855;999;i
QI-MER;inyixxi999;p0p100;1974;0.1229775696992874;999;i
QI-MER;inyixxi999;p0p100;1975;0.1345901638269424;999;i
QI-MER;inyixxi999;p0p100;1976;0.1470163613557816;999;i
QI-MER;inyixxi999;p0p100;1977;0.1583887934684753;999;i
QI-MER;inyixxi999;p0p100;1978;0.1702637374401093;999;i
QI-MER;inyixxi999;p0p100;1979;0.1843647062778473;999;i
QI-MER;inyixxi999;p0p100;1980;0.2028966844081879;999;i
QI-MER;inyixxi999;p0p100;1981;0.2227141559123993;999;i
QI-MER;inyixxi999;p0p100;1982;0.2447280138731003;999;i
QI-MER;inyixxi999;p0p100;1983;0.2629861831665039;999;i
QI-MER;inyixxi999;p0p100;1984;0.2808614075183868;999;i
QI-MER;inyixxi999;p0p100;1985;0.2958158850669861;999;i
QI-MER;inyixxi999;p0p100;1986;0.3106207847595215;999;i
QI-MER;inyixxi999;p0p100;1987;0.3211571872234344;999;i
QI-MER;inyixxi999;p0p100;1988;0.3344599902629852;999;i
QI-MER;inyixxi999;p0p100;1989;0.3528536558151245;999;i
QI-MER;inyixxi999;p0p100;1990;0.3719424903392792;999;i
QI-MER;inyixxi999;p0p100;1991;0.4015833735466003;999;i
QI-MER;inyixxi999;p0p100;1992;0.4283550083637238;999;i
QI-MER;inyixxi999;p0p100;1993;0.4594608545303345;999;i
QI-MER;inyixxi999;p0p100;1994;0.4867454171180725;999;i
QI-MER;inyixxi999;p0p100;1995;0.5218847393989563;999;i
QI-MER;inyixxi999;p0p100;1996;0.5267804861068726;999;i
QI-MER;inyixxi999;p0p100;1997;0.5406982898712158;999;i
QI-MER;inyixxi999;p0p100;1998;0.5531224012374878;999;i
QI-MER;inyixxi999;p0p100;1999;0.5633949637413025;999;i
QI-MER;inyixxi999;p0p100;2000;0.5817641615867615;999;i
QI-MER;inyixxi999;p0p100;2001;0.6037395000457764;999;i
QI-MER;inyixxi999;p0p100;2002;0.6207958459854126;999;i
QI-MER;inyixxi999;p0p100;2003;0.6379747986793518;999;i
QI-MER;inyixxi999;p0p100;2004;0.652275800704956;999;i
QI-MER;inyixxi999;p0p100;2005;0.6691777110099792;999;i
QI-MER;inyixxi999;p0p100;2006;0.6897338628768921;999;i
QI-MER;inyixxi999;p0p100;2007;0.7126180529594421;999;i
QI-MER;inyixxi999;p0p100;2008;0.7365527153015137;999;i
QI-MER;inyixxi999;p0p100;2009;0.7383988499641418;999;i
QI-MER;inyixxi999;p0p100;2010;0.7469435334205627;999;i
QI-MER;inyixxi999;p0p100;2011;0.760595440864563;999;i
QI-MER;inyixxi999;p0p100;2012;0.7741908431053162;999;i
