country;variable;percentile;year;value;age;pop
QQ-MER;mheagei999;p0p100;1980;580650624;999;i
QQ-MER;mheagei999;p0p100;1981;620534351;999;i
QQ-MER;mheagei999;p0p100;1982;596318031;999;i
QQ-MER;mheagei999;p0p100;1983;537459762;999;i
QQ-MER;mheagei999;p0p100;1984;557353097;999;i
QQ-MER;mheagei999;p0p100;1985;549432253;999;i
QQ-MER;mheagei999;p0p100;1986;602469171;999;i
QQ-MER;mheagei999;p0p100;1987;571530316;999;i
QQ-MER;mheagei999;p0p100;1988;550383793;999;i
QQ-MER;mheagei999;p0p100;1989;663816694;999;i
QQ-MER;mheagei999;p0p100;1990;635153824;999;i
QQ-MER;mheagei999;p0p100;1991;682610991;999;i
QQ-MER;mheagei999;p0p100;1992;666539105;999;i
QQ-MER;mheagei999;p0p100;1993;750553520;999;i
QQ-MER;mheagei999;p0p100;1994;662953897;999;i
QQ-MER;mheagei999;p0p100;1995;650777603;999;i
QQ-MER;mheagei999;p0p100;1996;565320228;999;i
QQ-MER;mheagei999;p0p100;1997;649222666;999;i
QQ-MER;mheagei999;p0p100;1998;661066070;999;i
QQ-MER;mheagei999;p0p100;1999;672700587;999;i
QQ-MER;mheagei999;p0p100;2000;617750802;999;i
QQ-MER;mheagei999;p0p100;2001;583676686;999;i
QQ-MER;mheagei999;p0p100;2002;623996002;999;i
QQ-MER;mheagei999;p0p100;2003;573259574;999;i
QQ-MER;mheagei999;p0p100;2004;639937321;999;i
QQ-MER;mheagei999;p0p100;2005;673495055;999;i
QQ-MER;mheagei999;p0p100;2006;722508614;999;i
QQ-MER;mheagei999;p0p100;2007;772987098;999;i
QQ-MER;mheagei999;p0p100;2008;710228379;999;i
QQ-MER;mheagei999;p0p100;2009;739260982;999;i
QQ-MER;mheagei999;p0p100;2010;703407525;999;i
QQ-MER;mheagei999;p0p100;2011;727317749;999;i
QQ-MER;mheagei999;p0p100;2012;815288871;999;i
QQ-MER;mheagei999;p0p100;2013;892275000;999;i
QQ-MER;mheagei999;p0p100;2014;994861873;999;i
QQ-MER;mheagei999;p0p100;2015;832262182;999;i
QQ-MER;mheagei999;p0p100;2016;972852925;999;i
QQ-MER;mheagei999;p0p100;2017;1003335329;999;i
QQ-MER;mheagei999;p0p100;2018;1056787250;999;i
QQ-MER;mheagei999;p0p100;2019;973274485;999;i
QQ-MER;mheagei999;p0p100;2020;1060946411;999;i
QQ-MER;mheagei999;p0p100;2021;1025863842;999;i
QQ-MER;mheagei999;p0p100;2022;1088486489;999;i
QQ-MER;mheagei999;p0p100;2023;1130252782;999;i
QQ-MER;inyixxi999;p0p100;1970;0.0919245555996895;999;i
QQ-MER;inyixxi999;p0p100;1971;0.0966586098074913;999;i
QQ-MER;inyixxi999;p0p100;1972;0.1022575497627258;999;i
QQ-MER;inyixxi999;p0p100;1973;0.1110458746552467;999;i
QQ-MER;inyixxi999;p0p100;1974;0.1229775696992874;999;i
QQ-MER;inyixxi999;p0p100;1975;0.1345901787281036;999;i
QQ-MER;inyixxi999;p0p100;1976;0.1470163464546204;999;i
QQ-MER;inyixxi999;p0p100;1977;0.1583887785673141;999;i
QQ-MER;inyixxi999;p0p100;1978;0.1702637225389481;999;i
QQ-MER;inyixxi999;p0p100;1979;0.1843647062778473;999;i
QQ-MER;inyixxi999;p0p100;1980;0.2028966993093491;999;i
QQ-MER;inyixxi999;p0p100;1981;0.2227141708135605;999;i
QQ-MER;inyixxi999;p0p100;1982;0.2447280138731003;999;i
QQ-MER;inyixxi999;p0p100;1983;0.2629861831665039;999;i
QQ-MER;inyixxi999;p0p100;1984;0.2808614373207092;999;i
QQ-MER;inyixxi999;p0p100;1985;0.2958158850669861;999;i
QQ-MER;inyixxi999;p0p100;1986;0.3106207251548767;999;i
QQ-MER;inyixxi999;p0p100;1987;0.3211571872234344;999;i
QQ-MER;inyixxi999;p0p100;1988;0.3344599902629852;999;i
QQ-MER;inyixxi999;p0p100;1989;0.3528536260128021;999;i
QQ-MER;inyixxi999;p0p100;1990;0.3719424903392792;999;i
QQ-MER;inyixxi999;p0p100;1991;0.401583343744278;999;i
QQ-MER;inyixxi999;p0p100;1992;0.4283549785614014;999;i
QQ-MER;inyixxi999;p0p100;1993;0.4594608545303345;999;i
QQ-MER;inyixxi999;p0p100;1994;0.4867453873157501;999;i
QQ-MER;inyixxi999;p0p100;1995;0.5218846797943115;999;i
QQ-MER;inyixxi999;p0p100;1996;0.5267805457115173;999;i
QQ-MER;inyixxi999;p0p100;1997;0.5406982898712158;999;i
QQ-MER;inyixxi999;p0p100;1998;0.5531224012374878;999;i
QQ-MER;inyixxi999;p0p100;1999;0.5633949637413025;999;i
QQ-MER;inyixxi999;p0p100;2000;0.5817641615867615;999;i
QQ-MER;inyixxi999;p0p100;2001;0.6037394404411316;999;i
QQ-MER;inyixxi999;p0p100;2002;0.6207958459854126;999;i
QQ-MER;inyixxi999;p0p100;2003;0.637974739074707;999;i
QQ-MER;inyixxi999;p0p100;2004;0.652275800704956;999;i
QQ-MER;inyixxi999;p0p100;2005;0.6691776514053345;999;i
QQ-MER;inyixxi999;p0p100;2006;0.6897338628768921;999;i
QQ-MER;inyixxi999;p0p100;2007;0.7126179933547974;999;i
QQ-MER;inyixxi999;p0p100;2008;0.7365527153015137;999;i
QQ-MER;inyixxi999;p0p100;2009;0.7383987903594971;999;i
QQ-MER;inyixxi999;p0p100;2010;0.746943473815918;999;i
QQ-MER;inyixxi999;p0p100;2011;0.760595440864563;999;i
QQ-MER;inyixxi999;p0p100;2012;0.7741908431053162;999;i
QQ-MER;inyixxi999;p0p100;2013;0.7846277356147766;999;i
QQ-MER;inyixxi999;p0p100;2014;0.7914330363273621;999;i
QQ-MER;inyixxi999;p0p100;2015;0.8025469183921814;999;i
QQ-MER;inyixxi999;p0p100;2016;0.8091409802436829;999;i
QQ-MER;inyixxi999;p0p100;2017;0.8209730386734009;999;i
QQ-MER;inyixxi999;p0p100;2018;0.8360328674316406;999;i
QQ-MER;inyixxi999;p0p100;2019;0.8515922427177429;999;i
QQ-MER;inyixxi999;p0p100;2020;0.8638160228729248;999;i
QQ-MER;inyixxi999;p0p100;2021;0.8883014917373657;999;i
QQ-MER;inyixxi999;p0p100;2022;0.9446595311164856;999;i
QQ-MER;inyixxi999;p0p100;2023;1;999;i
QQ-MER;mcomhni999;p0p100;1994;3834732032;999;i
QQ-MER;mcomhni999;p0p100;1995;3593428032;999;i
QQ-MER;mcomhni999;p0p100;1996;3481780960;999;i
QQ-MER;mcomhni999;p0p100;1997;3444314320;999;i
QQ-MER;mcomhni999;p0p100;1998;3052048576;999;i
QQ-MER;mcomhni999;p0p100;1999;2918770416;999;i
QQ-MER;mcomhni999;p0p100;2000;2675415120;999;i
QQ-MER;mcomhni999;p0p100;2001;2996298192;999;i
QQ-MER;mcomhni999;p0p100;2002;2891778240;999;i
QQ-MER;mcomhni999;p0p100;2003;2884502656;999;i
QQ-MER;mcomhni999;p0p100;2004;2921663552;999;i
QQ-MER;mcomhni999;p0p100;2005;2993610576;999;i
QQ-MER;mcomhni999;p0p100;2006;2976408880;999;i
QQ-MER;mcomhni999;p0p100;2007;730478208;999;i
QQ-MER;mcomhni999;p0p100;2008;518054400;999;i
QQ-MER;mcomhni999;p0p100;2009;723467408;999;i
QQ-MER;mcomhni999;p0p100;2010;733094960;999;i
QQ-MER;mcomhni999;p0p100;2011;734186064;999;i
QQ-MER;mcomhni999;p0p100;2012;710155280;999;i
QQ-MER;mcomhni999;p0p100;2013;704107920;999;i
QQ-MER;mcomhni999;p0p100;2014;710800544;999;i
QQ-MER;mcomhni999;p0p100;2015;146655040;999;i
QQ-MER;mcomhni999;p0p100;2016;142174832;999;i
QQ-MER;mcomhni999;p0p100;2017;147806416;999;i
QQ-MER;mcomhni999;p0p100;2018;159867328;999;i
QQ-MER;mcomhni999;p0p100;2019;167606672;999;i
QQ-MER;mcomhni999;p0p100;2020;159584720;999;i
QQ-MER;mcitgri999;p0p100;1980;863351879;999;i
QQ-MER;mcitgri999;p0p100;1981;731359367;999;i
QQ-MER;mcitgri999;p0p100;1982;493993233;999;i
QQ-MER;mcitgri999;p0p100;1983;463399730;999;i
QQ-MER;mcitgri999;p0p100;1984;618889694;999;i
QQ-MER;mcitgri999;p0p100;1985;529022442;999;i
QQ-MER;mcitgri999;p0p100;1986;481658240;999;i
QQ-MER;mcitgri999;p0p100;1987;568798393;999;i
QQ-MER;mcitgri999;p0p100;1988;666684465;999;i
QQ-MER;mcitgri999;p0p100;1989;856207483;999;i
QQ-MER;mcitgri999;p0p100;1990;852792298;999;i
QQ-MER;mcitgri999;p0p100;1991;857480076;999;i
QQ-MER;mcitgri999;p0p100;1992;778022806;999;i
QQ-MER;mcitgri999;p0p100;1993;773428379;999;i
QQ-MER;mcitgri999;p0p100;1994;682970404;999;i
QQ-MER;mcitgri999;p0p100;1995;435550381;999;i
QQ-MER;mcitgri999;p0p100;1996;848023279;999;i
QQ-MER;mcitgri999;p0p100;1997;821172002;999;i
QQ-MER;mcitgri999;p0p100;1998;867070887;999;i
QQ-MER;mcitgri999;p0p100;1999;977673262;999;i
QQ-MER;mcitgri999;p0p100;2000;1140571096;999;i
QQ-MER;mcitgri999;p0p100;2001;1820550777;999;i
QQ-MER;mcitgri999;p0p100;2002;1461297845;999;i
QQ-MER;mcitgri999;p0p100;2003;1721631211;999;i
QQ-MER;mcitgri999;p0p100;2004;2343505123;999;i
QQ-MER;mcitgri999;p0p100;2005;2903726597;999;i
QQ-MER;mcitgri999;p0p100;2006;2851969761;999;i
