country;variable;percentile;year;value;age;pop
QR-MER;mheagei999;p0p100;1980;53000269020;999;i
QR-MER;mheagei999;p0p100;1981;54132646072;999;i
QR-MER;mheagei999;p0p100;1982;52372626262;999;i
QR-MER;mheagei999;p0p100;1983;51825571622;999;i
QR-MER;mheagei999;p0p100;1984;50613003760;999;i
QR-MER;mheagei999;p0p100;1985;55148353694;999;i
QR-MER;mheagei999;p0p100;1986;62013676782;999;i
QR-MER;mheagei999;p0p100;1987;62342311174;999;i
QR-MER;mheagei999;p0p100;1988;60795347988;999;i
QR-MER;mheagei999;p0p100;1989;61274505042;999;i
QR-MER;mheagei999;p0p100;1990;64510319624;999;i
QR-MER;mheagei999;p0p100;1991;61678666384;999;i
QR-MER;mheagei999;p0p100;1992;61856009436;999;i
QR-MER;mheagei999;p0p100;1993;69272770472;999;i
QR-MER;mheagei999;p0p100;1994;77375362112;999;i
QR-MER;mheagei999;p0p100;1995;79771783604;999;i
QR-MER;mheagei999;p0p100;1996;78358186072;999;i
QR-MER;mheagei999;p0p100;1997;84797332432;999;i
QR-MER;mheagei999;p0p100;1998;83259311972;999;i
QR-MER;mheagei999;p0p100;1999;84477863466;999;i
QR-MER;mheagei999;p0p100;2000;86984528152;999;i
QR-MER;mheagei999;p0p100;2001;92700422276;999;i
QR-MER;mheagei999;p0p100;2002;83580560452;999;i
QR-MER;mheagei999;p0p100;2003;91225652428;999;i
QR-MER;mheagei999;p0p100;2004;100382282792;999;i
QR-MER;mheagei999;p0p100;2005;104809566164;999;i
QR-MER;mheagei999;p0p100;2006;115525533412;999;i
QR-MER;mheagei999;p0p100;2007;126690516548;999;i
QR-MER;mheagei999;p0p100;2008;136277421276;999;i
QR-MER;mheagei999;p0p100;2009;150651256500;999;i
QR-MER;mheagei999;p0p100;2010;158337507400;999;i
QR-MER;mheagei999;p0p100;2011;166310104364;999;i
QR-MER;mheagei999;p0p100;2012;177255282876;999;i
QR-MER;mheagei999;p0p100;2013;188981205924;999;i
QR-MER;mheagei999;p0p100;2014;189357664560;999;i
QR-MER;mheagei999;p0p100;2015;202060304680;999;i
QR-MER;mheagei999;p0p100;2016;188135970352;999;i
QR-MER;mheagei999;p0p100;2017;205184596536;999;i
QR-MER;mheagei999;p0p100;2018;202113859480;999;i
QR-MER;mheagei999;p0p100;2019;202495716080;999;i
QR-MER;mheagei999;p0p100;2020;224147311872;999;i
QR-MER;mheagei999;p0p100;2021;234848196224;999;i
QR-MER;mheagei999;p0p100;2022;228791292528;999;i
QR-MER;mheagei999;p0p100;2023;217388342128;999;i
QR-MER;inyixxi999;p0p100;1970;0.0919245555996895;999;i
QR-MER;inyixxi999;p0p100;1971;0.0966586023569107;999;i
QR-MER;inyixxi999;p0p100;1972;0.1022575348615646;999;i
QR-MER;inyixxi999;p0p100;1973;0.1110458672046661;999;i
QR-MER;inyixxi999;p0p100;1974;0.122977577149868;999;i
QR-MER;inyixxi999;p0p100;1975;0.1345901787281036;999;i
QR-MER;inyixxi999;p0p100;1976;0.1470163464546204;999;i
QR-MER;inyixxi999;p0p100;1977;0.1583887934684753;999;i
QR-MER;inyixxi999;p0p100;1978;0.1702637374401093;999;i
QR-MER;inyixxi999;p0p100;1979;0.1843647062778473;999;i
QR-MER;inyixxi999;p0p100;1980;0.2028966993093491;999;i
QR-MER;inyixxi999;p0p100;1981;0.2227141857147217;999;i
QR-MER;inyixxi999;p0p100;1982;0.2447280287742615;999;i
QR-MER;inyixxi999;p0p100;1983;0.2629861831665039;999;i
QR-MER;inyixxi999;p0p100;1984;0.2808614373207092;999;i
QR-MER;inyixxi999;p0p100;1985;0.2958158850669861;999;i
QR-MER;inyixxi999;p0p100;1986;0.3106207549571991;999;i
QR-MER;inyixxi999;p0p100;1987;0.3211572170257568;999;i
QR-MER;inyixxi999;p0p100;1988;0.3344600200653076;999;i
QR-MER;inyixxi999;p0p100;1989;0.3528536260128021;999;i
QR-MER;inyixxi999;p0p100;1990;0.3719424903392792;999;i
QR-MER;inyixxi999;p0p100;1991;0.401583343744278;999;i
QR-MER;inyixxi999;p0p100;1992;0.4283550083637238;999;i
QR-MER;inyixxi999;p0p100;1993;0.4594608545303345;999;i
QR-MER;inyixxi999;p0p100;1994;0.4867454171180725;999;i
QR-MER;inyixxi999;p0p100;1995;0.5218846797943115;999;i
QR-MER;inyixxi999;p0p100;1996;0.5267804861068726;999;i
QR-MER;inyixxi999;p0p100;1997;0.5406982898712158;999;i
QR-MER;inyixxi999;p0p100;1998;0.5531224012374878;999;i
QR-MER;inyixxi999;p0p100;1999;0.5633949637413025;999;i
QR-MER;inyixxi999;p0p100;2000;0.5817641615867615;999;i
QR-MER;inyixxi999;p0p100;2001;0.6037395000457764;999;i
QR-MER;inyixxi999;p0p100;2002;0.6207958459854126;999;i
QR-MER;inyixxi999;p0p100;2003;0.6379747986793518;999;i
QR-MER;inyixxi999;p0p100;2004;0.6522758603096008;999;i
QR-MER;inyixxi999;p0p100;2005;0.6691776514053345;999;i
QR-MER;inyixxi999;p0p100;2006;0.6897338032722473;999;i
QR-MER;inyixxi999;p0p100;2007;0.7126179933547974;999;i
QR-MER;inyixxi999;p0p100;2008;0.7365527153015137;999;i
QR-MER;inyixxi999;p0p100;2009;0.7383987903594971;999;i
QR-MER;inyixxi999;p0p100;2010;0.7469435334205627;999;i
QR-MER;inyixxi999;p0p100;2011;0.760595440864563;999;i
QR-MER;inyixxi999;p0p100;2012;0.7741909027099609;999;i
QR-MER;inyixxi999;p0p100;2013;0.7846277356147766;999;i
QR-MER;inyixxi999;p0p100;2014;0.7914330363273621;999;i
QR-MER;inyixxi999;p0p100;2015;0.8025469183921814;999;i
QR-MER;inyixxi999;p0p100;2016;0.8091409206390381;999;i
QR-MER;inyixxi999;p0p100;2017;0.8209730386734009;999;i
QR-MER;inyixxi999;p0p100;2018;0.8360329270362854;999;i
QR-MER;inyixxi999;p0p100;2019;0.8515922427177429;999;i
QR-MER;inyixxi999;p0p100;2020;0.86381596326828;999;i
QR-MER;inyixxi999;p0p100;2021;0.8883015513420105;999;i
QR-MER;inyixxi999;p0p100;2022;0.9446594715118408;999;i
QR-MER;inyixxi999;p0p100;2023;1;999;i
