country;variable;percentile;year;value;age;pop
SB;acomnxi992;p0p100;1970;-931.1;992;i
SB;acomnxi992;p0p100;1971;-1084.2;992;i
SB;acomnxi992;p0p100;1972;-676.5;992;i
SB;acomnxi992;p0p100;1973;-936.2;992;i
SB;acomnxi992;p0p100;1974;-832.2;992;i
SB;acomnxi992;p0p100;1975;-361.8;992;i
SB;acomnxi992;p0p100;1976;-555.5;992;i
SB;acomnxi992;p0p100;1977;-585.2;992;i
SB;acomnxi992;p0p100;1978;-553.8000000000001;992;i
SB;acomnxi992;p0p100;1979;-707.9000000000001;992;i
SB;acomnxi992;p0p100;1980;-1114.4;992;i
SB;acomnxi992;p0p100;1981;-632.9000000000001;992;i
SB;acomnxi992;p0p100;1982;-573.9;992;i
SB;acomnxi992;p0p100;1983;-520.6;992;i
SB;acomnxi992;p0p100;1984;-565.9;992;i
SB;acomnxi992;p0p100;1985;-403.8;992;i
SB;acomnxi992;p0p100;1986;-338.1;992;i
SB;acomnxi992;p0p100;1987;-257.1;992;i
SB;acomnxi992;p0p100;1988;-496.1;992;i
SB;acomnxi992;p0p100;1989;-370.3;992;i
SB;acomnxi992;p0p100;1990;-18.5;992;i
SB;acomnxi992;p0p100;1991;-112.1;992;i
SB;acomnxi992;p0p100;1992;-78.80000000000001;992;i
SB;acomnxi992;p0p100;1993;-106;992;i
SB;acomnxi992;p0p100;1994;-123.1;992;i
SB;acomnxi992;p0p100;1995;-181.5;992;i
SB;acomnxi992;p0p100;1996;-206.1;992;i
SB;acomnxi992;p0p100;1997;-236;992;i
SB;acomnxi992;p0p100;1998;-272.6;992;i
SB;acomnxi992;p0p100;1999;-354.1;992;i
SB;acomnxi992;p0p100;2000;63;992;i
SB;acomnxi992;p0p100;2001;248.3;992;i
SB;acomnxi992;p0p100;2002;70.2;992;i
SB;acomnxi992;p0p100;2003;98.10000000000001;992;i
SB;acomnxi992;p0p100;2004;355.9;992;i
SB;acomnxi992;p0p100;2005;146.4;992;i
SB;acomnxi992;p0p100;2006;-33.5;992;i
SB;acomnxi992;p0p100;2007;-82.9;992;i
SB;acomnxi992;p0p100;2008;-20.3;992;i
SB;acomnxi992;p0p100;2009;-48.6;992;i
SB;acomnxi992;p0p100;2010;31.4;992;i
SB;acomnxi992;p0p100;2011;-9.8;992;i
SB;acomnxi992;p0p100;2012;-16;992;i
SB;acomnxi992;p0p100;2013;-52.6;992;i
SB;acomnxi992;p0p100;2014;-165.5;992;i
SB;acomnxi992;p0p100;2015;-139.4;992;i
SB;acomnxi992;p0p100;2016;-17.3;992;i
SB;acomnxi992;p0p100;2017;68.7;992;i
SB;acomnxi992;p0p100;2018;77.60000000000001;992;i
SB;acomnxi992;p0p100;2019;46.5;992;i
SB;acomnxi992;p0p100;2020;-20.1;992;i
SB;acomnxi992;p0p100;2021;309.4;992;i
SB;acomnxi992;p0p100;2022;543.8000000000001;992;i
SB;acomnxi992;p0p100;2023;458.5;992;i
SB;acompxi992;p0p100;1970;1041.9;992;i
SB;acompxi992;p0p100;1971;1206.2;992;i
SB;acompxi992;p0p100;1972;770.3000000000001;992;i
SB;acompxi992;p0p100;1973;1046.8;992;i
SB;acompxi992;p0p100;1974;978.9000000000001;992;i
SB;acompxi992;p0p100;1975;385.5;992;i
SB;acompxi992;p0p100;1976;578.5;992;i
