country;variable;percentile;year;value;age;pop
TC;acomnxi992;p0p100;1970;-60.40000000000001;992;i
TC;acomnxi992;p0p100;1971;-92.30000000000001;992;i
TC;acomnxi992;p0p100;1972;-43.40000000000001;992;i
TC;acomnxi992;p0p100;1973;-101.8;992;i
TC;acomnxi992;p0p100;1974;7.4;992;i
TC;acomnxi992;p0p100;1975;18.1;992;i
TC;acomnxi992;p0p100;1976;30.7;992;i
TC;acomnxi992;p0p100;1977;113;992;i
TC;acomnxi992;p0p100;1978;135.7;992;i
TC;acomnxi992;p0p100;1979;161.6;992;i
TC;acomnxi992;p0p100;1980;99.60000000000001;992;i
TC;acomnxi992;p0p100;1981;114.2;992;i
TC;acomnxi992;p0p100;1982;210.5;992;i
TC;acomnxi992;p0p100;1983;264.8;992;i
TC;acomnxi992;p0p100;1984;251;992;i
TC;acomnxi992;p0p100;1985;152.8;992;i
TC;acomnxi992;p0p100;1986;225.4;992;i
TC;acomnxi992;p0p100;1987;289.8;992;i
TC;acomnxi992;p0p100;1988;321.5;992;i
TC;acomnxi992;p0p100;1989;414.9;992;i
TC;acomnxi992;p0p100;1990;375.9;992;i
TC;acomnxi992;p0p100;1991;510.6;992;i
TC;acomnxi992;p0p100;1992;900.1;992;i
TC;acomnxi992;p0p100;1993;720.6;992;i
TC;acomnxi992;p0p100;1994;689.7;992;i
TC;acomnxi992;p0p100;1995;488.2;992;i
TC;acomnxi992;p0p100;1996;507.7;992;i
TC;acomnxi992;p0p100;1997;463.7;992;i
TC;acomnxi992;p0p100;1998;284.7;992;i
TC;acomnxi992;p0p100;1999;479.9;992;i
TC;acomnxi992;p0p100;2000;392.4;992;i
TC;acomnxi992;p0p100;2001;469.8;992;i
TC;acomnxi992;p0p100;2002;440.3;992;i
TC;acomnxi992;p0p100;2003;541.4;992;i
TC;acomnxi992;p0p100;2004;56.5;992;i
TC;acomnxi992;p0p100;2005;61.8;992;i
TC;acomnxi992;p0p100;2006;-146.5;992;i
TC;acomnxi992;p0p100;2007;194.7;992;i
TC;acomnxi992;p0p100;2008;367.9;992;i
TC;acomnxi992;p0p100;2009;310.1;992;i
TC;acomnxi992;p0p100;2010;237.8;992;i
TC;acomnxi992;p0p100;2011;132;992;i
TC;acomnxi992;p0p100;2012;-71.2;992;i
TC;acomnxi992;p0p100;2013;-28.2;992;i
TC;acomnxi992;p0p100;2014;-113.2;992;i
TC;acomnxi992;p0p100;2015;-103.4;992;i
TC;acomnxi992;p0p100;2016;-70.60000000000001;992;i
TC;acomnxi992;p0p100;2017;5;992;i
TC;acomnxi992;p0p100;2018;8.8;992;i
TC;acomnxi992;p0p100;2019;121;992;i
TC;acomnxi992;p0p100;2020;59.7;992;i
TC;acomnxi992;p0p100;2021;43.1;992;i
TC;acomnxi992;p0p100;2022;99.7;992;i
TC;acomnxi992;p0p100;2023;24;992;i
TC;acompxi992;p0p100;1970;253.6;992;i
TC;acompxi992;p0p100;1971;318.7;992;i
TC;acompxi992;p0p100;1972;290.8;992;i
TC;acompxi992;p0p100;1973;385.4;992;i
TC;acompxi992;p0p100;1974;311.4;992;i
TC;acompxi992;p0p100;1975;329.8;992;i
TC;acompxi992;p0p100;1976;347;992;i
TC;acompxi992;p0p100;1977;377;992;i
TC;acompxi992;p0p100;1978;407.7;992;i
TC;acompxi992;p0p100;1979;341.2;992;i
TC;acompxi992;p0p100;1980;408.4;992;i
TC;acompxi992;p0p100;1981;494.2;992;i
TC;acompxi992;p0p100;1982;415.2;992;i
TC;acompxi992;p0p100;1983;381.7;992;i
TC;acompxi992;p0p100;1984;410.8;992;i
TC;acompxi992;p0p100;1985;475.1;992;i
TC;acompxi992;p0p100;1986;415.5;992;i
TC;acompxi992;p0p100;1987;415.9;992;i
TC;acompxi992;p0p100;1988;401.5;992;i
TC;acompxi992;p0p100;1989;436.9;992;i
TC;acompxi992;p0p100;1990;434.7;992;i
TC;acompxi992;p0p100;1991;451.3;992;i
TC;acompxi992;p0p100;1992;458.5;992;i
TC;acompxi992;p0p100;1993;470.4;992;i
TC;acompxi992;p0p100;1994;489.4;992;i
TC;acompxi992;p0p100;1995;489.2;992;i
TC;acompxi992;p0p100;1996;538.1;992;i
TC;acompxi992;p0p100;1997;573.3000000000001;992;i
TC;acompxi992;p0p100;1998;664.5;992;i
TC;acompxi992;p0p100;1999;646.1;992;i
TC;acompxi992;p0p100;2000;642.1;992;i
TC;acompxi992;p0p100;2001;712.9000000000001;992;i
TC;acompxi992;p0p100;2002;665.7;992;i
TC;acompxi992;p0p100;2003;726.4000000000001;992;i
TC;acompxi992;p0p100;2004;789.5;992;i
TC;acompxi992;p0p100;2005;881.5;992;i
TC;acompxi992;p0p100;2006;1213;992;i
TC;acompxi992;p0p100;2007;936.6;992;i
TC;acompxi992;p0p100;2008;877.3000000000001;992;i
TC;acompxi992;p0p100;2009;707.4000000000001;992;i
TC;acompxi992;p0p100;2010;664.5;992;i
TC;acompxi992;p0p100;2011;673;992;i
TC;acompxi992;p0p100;2012;755.9000000000001;992;i
TC;acompxi992;p0p100;2013;706.5;992;i
TC;acompxi992;p0p100;2014;416;992;i
TC;acompxi992;p0p100;2015;383.3;992;i
TC;acompxi992;p0p100;2016;310.2;992;i
TC;acompxi992;p0p100;2017;374.4;992;i
TC;acompxi992;p0p100;2018;423.5;992;i
TC;acompxi992;p0p100;2019;645.7;992;i
TC;acompxi992;p0p100;2020;495.7;992;i
TC;acompxi992;p0p100;2021;511.2;992;i
TC;acompxi992;p0p100;2022;509.2;992;i
TC;acompxi992;p0p100;2023;554;992;i
TC;acomrxi999;p0p100;1970;83.9;999;i
TC;acomrxi999;p0p100;1971;98;999;i
TC;acomrxi999;p0p100;1972;108.1;999;i
TC;acomrxi999;p0p100;1973;125.3;999;i
TC;acomrxi999;p0p100;1974;142.1;999;i
TC;acomrxi999;p0p100;1975;156.4;999;i
TC;acomrxi999;p0p100;1976;171.4;999;i
TC;acomrxi999;p0p100;1977;224.4;999;i
TC;acomrxi999;p0p100;1978;250.4;999;i
TC;acomrxi999;p0p100;1979;232.8;999;i
TC;acomrxi999;p0p100;1980;238;999;i
TC;acomrxi999;p0p100;1981;291.8;999;i
TC;acomrxi999;p0p100;1982;308.7;999;i
TC;acomrxi999;p0p100;1983;328.1;999;i
TC;acomrxi999;p0p100;1984;345.5;999;i
TC;acomrxi999;p0p100;1985;336.9;999;i
TC;acomrxi999;p0p100;1986;352.6;999;i
TC;acomrxi999;p0p100;1987;397.9;999;i
TC;acomrxi999;p0p100;1988;417.7;999;i
TC;acomrxi999;p0p100;1989;502.9;999;i
TC;acomrxi999;p0p100;1990;485.8;999;i
TC;acomrxi999;p0p100;1991;580.5;999;i
TC;acomrxi999;p0p100;1992;825.1;999;i
TC;acomrxi999;p0p100;1993;729.8000000000001;999;i
TC;acomrxi999;p0p100;1994;729.9000000000001;999;i
TC;acomrxi999;p0p100;1995;611.8000000000001;999;i
TC;acomrxi999;p0p100;1996;661.9000000000001;999;i
TC;acomrxi999;p0p100;1997;663;999;i
TC;acomrxi999;p0p100;1998;612.2;999;i
TC;acomrxi999;p0p100;1999;731.9000000000001;999;i
TC;acomrxi999;p0p100;2000;676.6;999;i
TC;acomrxi999;p0p100;2001;777.1;999;i
TC;acomrxi999;p0p100;2002;730;999;i
TC;acomrxi999;p0p100;2003;842.8000000000001;999;i
