country;variable;percentile;year;value;age;pop
TO;acomnxi992;p0p100;1970;-46.8;992;i
TO;acomnxi992;p0p100;1971;-13.2;992;i
TO;acomnxi992;p0p100;1972;-13.9;992;i
TO;acomnxi992;p0p100;1973;-18.4;992;i
TO;acomnxi992;p0p100;1974;-13.8;992;i
TO;acomnxi992;p0p100;1975;-10.1;992;i
TO;acomnxi992;p0p100;1976;-23.4;992;i
TO;acomnxi992;p0p100;1977;-24;992;i
TO;acomnxi992;p0p100;1978;-11.6;992;i
TO;acomnxi992;p0p100;1979;-7.7;992;i
TO;acomnxi992;p0p100;1980;51.7;992;i
TO;acomnxi992;p0p100;1981;170.2;992;i
TO;acomnxi992;p0p100;1982;151.6;992;i
TO;acomnxi992;p0p100;1983;109.3;992;i
TO;acomnxi992;p0p100;1984;152.8;992;i
TO;acomnxi992;p0p100;1985;135.2;992;i
TO;acomnxi992;p0p100;1986;84.5;992;i
TO;acomnxi992;p0p100;1987;-39.1;992;i
TO;acomnxi992;p0p100;1988;36.1;992;i
TO;acomnxi992;p0p100;1989;70.9;992;i
TO;acomnxi992;p0p100;1990;59.8;992;i
TO;acomnxi992;p0p100;1991;11;992;i
TO;acomnxi992;p0p100;1992;-4.2;992;i
TO;acomnxi992;p0p100;1993;-25.5;992;i
TO;acomnxi992;p0p100;1994;86.7;992;i
TO;acomnxi992;p0p100;1995;50.6;992;i
TO;acomnxi992;p0p100;1996;82.30000000000001;992;i
TO;acomnxi992;p0p100;1997;88.2;992;i
TO;acomnxi992;p0p100;1998;158;992;i
TO;acomnxi992;p0p100;1999;153.6;992;i
TO;acomnxi992;p0p100;2000;58.40000000000001;992;i
TO;acomnxi992;p0p100;2001;59.1;992;i
TO;acomnxi992;p0p100;2002;161.1;992;i
TO;acomnxi992;p0p100;2003;155.3;992;i
TO;acomnxi992;p0p100;2004;170;992;i
TO;acomnxi992;p0p100;2005;233.4;992;i
TO;acomnxi992;p0p100;2006;164.7;992;i
TO;acomnxi992;p0p100;2007;193.7;992;i
TO;acomnxi992;p0p100;2008;242.4;992;i
TO;acomnxi992;p0p100;2009;296.5;992;i
TO;acomnxi992;p0p100;2010;252.8;992;i
TO;acomnxi992;p0p100;2011;816.7;992;i
TO;acomnxi992;p0p100;2012;662.5;992;i
TO;acomnxi992;p0p100;2013;772.7;992;i
TO;acomnxi992;p0p100;2014;744.5;992;i
TO;acomnxi992;p0p100;2015;810.8000000000001;992;i
TO;acomnxi992;p0p100;2016;747.6;992;i
TO;acomnxi992;p0p100;2017;1535.7;992;i
TO;acomnxi992;p0p100;2018;1860.8;992;i
TO;acomnxi992;p0p100;2019;2208.6;992;i
TO;acomnxi992;p0p100;2020;2416;992;i
TO;acomnxi992;p0p100;2021;1950.3;992;i
