country;variable;percentile;year;value;age;pop
TV;acomnxi992;p0p100;1970;1856.4;992;i
TV;acomnxi992;p0p100;1971;1918.6;992;i
TV;acomnxi992;p0p100;1972;1912.6;992;i
TV;acomnxi992;p0p100;1973;1978.4;992;i
TV;acomnxi992;p0p100;1974;2017.9;992;i
TV;acomnxi992;p0p100;1975;1912.5;992;i
TV;acomnxi992;p0p100;1976;1844.7;992;i
TV;acomnxi992;p0p100;1977;2030.7;992;i
TV;acomnxi992;p0p100;1978;2003.4;992;i
TV;acomnxi992;p0p100;1979;1666.9;992;i
TV;acomnxi992;p0p100;1980;1571.5;992;i
TV;acomnxi992;p0p100;1981;1810.2;992;i
TV;acomnxi992;p0p100;1982;1460.4;992;i
TV;acomnxi992;p0p100;1983;1553.5;992;i
TV;acomnxi992;p0p100;1984;1606.1;992;i
TV;acomnxi992;p0p100;1985;1437.9;992;i
TV;acomnxi992;p0p100;1986;1603.8;992;i
TV;acomnxi992;p0p100;1987;1930.1;992;i
TV;acomnxi992;p0p100;1988;2222.3;992;i
TV;acomnxi992;p0p100;1989;2494.5;992;i
TV;acomnxi992;p0p100;1990;2609;992;i
TV;acomnxi992;p0p100;1991;3046.4;992;i
TV;acomnxi992;p0p100;1992;4314.8;992;i
TV;acomnxi992;p0p100;1993;3757.3;992;i
TV;acomnxi992;p0p100;1994;3900.2;992;i
TV;acomnxi992;p0p100;1995;3090.6;992;i
TV;acomnxi992;p0p100;1996;3022.5;992;i
TV;acomnxi992;p0p100;1997;3225.2;992;i
TV;acomnxi992;p0p100;1998;3257;992;i
TV;acomnxi992;p0p100;1999;3720.8;992;i
TV;acomnxi992;p0p100;2000;3373.6;992;i
TV;acomnxi992;p0p100;2001;3631.2;992;i
TV;acomnxi992;p0p100;2002;4666.3;992;i
TV;acomnxi992;p0p100;2003;2733.7;992;i
TV;acomnxi992;p0p100;2004;1857.2;992;i
TV;acomnxi992;p0p100;2005;1686.7;992;i
TV;acomnxi992;p0p100;2006;1256.4;992;i
TV;acomnxi992;p0p100;2007;1961.5;992;i
TV;acomnxi992;p0p100;2008;2237.2;992;i
TV;acomnxi992;p0p100;2009;1975.8;992;i
TV;acomnxi992;p0p100;2010;1206.1;992;i
TV;acomnxi992;p0p100;2011;1081.9;992;i
TV;acomnxi992;p0p100;2012;656.6;992;i
TV;acomnxi992;p0p100;2013;901.6;992;i
TV;acomnxi992;p0p100;2014;793.3000000000001;992;i
TV;acomnxi992;p0p100;2015;748.4000000000001;992;i
TV;acomnxi992;p0p100;2016;677.8000000000001;992;i
TV;acomnxi992;p0p100;2017;688.2;992;i
TV;acomnxi992;p0p100;2018;634;992;i
TV;acomnxi992;p0p100;2019;426;992;i
TV;acomnxi992;p0p100;2020;446.9;992;i
TV;acomnxi992;p0p100;2021;495.2;992;i
TV;acomnxi992;p0p100;2022;448.4;992;i
TV;acomnxi992;p0p100;2023;477.3;992;i
TV;acompxi999;p0p100;1970;39.1;999;i
