country;variable;percentile;year;value;age;pop
VC;acomnxi992;p0p100;1970;-573.3000000000001;992;i
VC;acomnxi992;p0p100;1971;-654.2;992;i
VC;acomnxi992;p0p100;1972;-673.8000000000001;992;i
VC;acomnxi992;p0p100;1973;-742.2;992;i
VC;acomnxi992;p0p100;1974;-476.9;992;i
VC;acomnxi992;p0p100;1975;-420;992;i
VC;acomnxi992;p0p100;1976;-487.9;992;i
VC;acomnxi992;p0p100;1977;-531.5;992;i
VC;acomnxi992;p0p100;1978;-9.5;992;i
VC;acomnxi992;p0p100;1979;-74.5;992;i
VC;acomnxi992;p0p100;1980;-114.7;992;i
VC;acomnxi992;p0p100;1981;-120.6;992;i
VC;acomnxi992;p0p100;1982;-165.3;992;i
VC;acomnxi992;p0p100;1983;-125.3;992;i
VC;acomnxi992;p0p100;1984;-168.8;992;i
VC;acomnxi992;p0p100;1985;-147.8;992;i
VC;acomnxi992;p0p100;1986;-219.1;992;i
VC;acomnxi992;p0p100;1987;-91;992;i
VC;acomnxi992;p0p100;1988;-229.7;992;i
VC;acomnxi992;p0p100;1989;-123.4;992;i
VC;acomnxi992;p0p100;1990;-196.1;992;i
VC;acomnxi992;p0p100;1991;18.2;992;i
VC;acomnxi992;p0p100;1992;47.2;992;i
VC;acomnxi992;p0p100;1993;-6.800000000000001;992;i
VC;acomnxi992;p0p100;1994;17.5;992;i
VC;acomnxi992;p0p100;1995;-56.3;992;i
VC;acomnxi992;p0p100;1996;-92.4;992;i
VC;acomnxi992;p0p100;1997;-121.1;992;i
VC;acomnxi992;p0p100;1998;-151.1;992;i
VC;acomnxi992;p0p100;1999;-163.6;992;i
VC;acomnxi992;p0p100;2000;-224.3;992;i
VC;acomnxi992;p0p100;2001;-130.1;992;i
VC;acomnxi992;p0p100;2002;-171.8;992;i
VC;acomnxi992;p0p100;2003;-236.1;992;i
VC;acomnxi992;p0p100;2004;-197.1;992;i
VC;acomnxi992;p0p100;2005;-205.4;992;i
VC;acomnxi992;p0p100;2006;-285.9;992;i
VC;acomnxi992;p0p100;2007;-212;992;i
VC;acomnxi992;p0p100;2008;-158;992;i
VC;acomnxi992;p0p100;2009;-159.4;992;i
VC;acomnxi992;p0p100;2010;-154.3;992;i
VC;acomnxi992;p0p100;2011;-147.8;992;i
VC;acomnxi992;p0p100;2012;-196.3;992;i
VC;acomnxi992;p0p100;2013;-209.3;992;i
VC;acomnxi992;p0p100;2014;-125.8;992;i
VC;acomnxi992;p0p100;2015;-92.4;992;i
VC;acomnxi992;p0p100;2016;-157.7;992;i
VC;acomnxi992;p0p100;2017;-134;992;i
VC;acomnxi992;p0p100;2018;-40.2;992;i
VC;acomnxi992;p0p100;2019;-5;992;i
VC;acomnxi992;p0p100;2020;-35.7;992;i
VC;acomnxi992;p0p100;2021;6.7;992;i
VC;acomnxi992;p0p100;2022;14.1;992;i
VC;acomnxi992;p0p100;2023;29.4;992;i
VC;acomrxi999;p0p100;1970;21.4;999;i
VC;acomrxi999;p0p100;1971;23.3;999;i
VC;acomrxi999;p0p100;1972;29.6;999;i
VC;acomrxi999;p0p100;1973;28.1;999;i
VC;acomrxi999;p0p100;1974;26.9;999;i
VC;acomrxi999;p0p100;1975;24.9;999;i
VC;acomrxi999;p0p100;1976;27.9;999;i
VC;acomrxi999;p0p100;1977;37.6;999;i
VC;acomrxi999;p0p100;1978;16.8;999;i
VC;acomrxi999;p0p100;1979;29.1;999;i
VC;acomrxi999;p0p100;1980;31.5;999;i
VC;acomrxi999;p0p100;1981;41.40000000000001;999;i
VC;acomrxi999;p0p100;1982;13.8;999;i
VC;acomrxi999;p0p100;1983;12.9;999;i
VC;acomrxi999;p0p100;1984;12.2;999;i
VC;acomrxi999;p0p100;1985;12.4;999;i
VC;acomrxi999;p0p100;1986;64.5;999;i
VC;acomrxi999;p0p100;1987;96.60000000000001;999;i
VC;acomrxi999;p0p100;1988;86.2;999;i
VC;acomrxi999;p0p100;1989;68.9;999;i
VC;acomrxi999;p0p100;1990;11.2;999;i
VC;acomrxi999;p0p100;1991;41.40000000000001;999;i
VC;acomrxi999;p0p100;1992;46;999;i
VC;acomrxi999;p0p100;1993;8.1;999;i
VC;acomrxi999;p0p100;1994;10.6;999;i
VC;acomrxi999;p0p100;1995;7.7;999;i
VC;acomrxi999;p0p100;1996;3.4;999;i
VC;acomrxi999;p0p100;1997;1.1;999;i
VC;acomrxi999;p0p100;1998;1.1;999;i
VC;acomrxi999;p0p100;1999;1.9;999;i
VC;acomrxi999;p0p100;2000;1.9;999;i
VC;acomrxi999;p0p100;2001;46.1;999;i
VC;acomrxi999;p0p100;2002;31.6;999;i
VC;acomrxi999;p0p100;2003;9.9;999;i
VC;acomrxi999;p0p100;2004;31.1;999;i
VC;acomrxi999;p0p100;2005;31.6;999;i
VC;acomrxi999;p0p100;2006;30.6;999;i
VC;acomrxi999;p0p100;2007;28.6;999;i
VC;acomrxi999;p0p100;2008;44.5;999;i
VC;acomrxi999;p0p100;2009;45.90000000000001;999;i
VC;acomrxi999;p0p100;2010;41.2;999;i
VC;acomrxi999;p0p100;2011;41.7;999;i
VC;acomrxi999;p0p100;2012;28;999;i
VC;acomrxi999;p0p100;2013;27.3;999;i
VC;acomrxi999;p0p100;2014;19.9;999;i
VC;acomrxi999;p0p100;2015;28.3;999;i
VC;acomrxi999;p0p100;2016;22.7;999;i
VC;acomrxi999;p0p100;2017;26;999;i
VC;acomrxi999;p0p100;2018;32;999;i
VC;acomrxi999;p0p100;2019;36.5;999;i
VC;acomrxi999;p0p100;2020;20.2;999;i
VC;acomrxi999;p0p100;2021;20.2;999;i
VC;acomrxi999;p0p100;2022;19.3;999;i
VC;acomrxi999;p0p100;2023;31.7;999;i
VC;aconfci992;p0p100;1960;1221.1;992;i
VC;aconfci992;p0p100;1961;1224.5;992;i
VC;aconfci992;p0p100;1962;1221.9;992;i
