country;variable;percentile;year;value;age;pop
ZZ;aconfci992;p0p100;1950;153293.1;992;i
ZZ;aconfci992;p0p100;1951;155881.4;992;i
ZZ;aconfci992;p0p100;1952;157261.1;992;i
ZZ;aconfci992;p0p100;1953;157494;992;i
ZZ;aconfci992;p0p100;1954;157504.8;992;i
ZZ;aconfci992;p0p100;1955;156979.4;992;i
ZZ;aconfci992;p0p100;1956;155969.6;992;i
ZZ;aconfci992;p0p100;1957;154871.3;992;i
ZZ;aconfci992;p0p100;1958;154133.8;992;i
ZZ;aconfci992;p0p100;1959;154277;992;i
ZZ;aconfci992;p0p100;1960;155366.5;992;i
ZZ;aconfci992;p0p100;1961;157560.2;992;i
ZZ;aconfci992;p0p100;1962;161664.2;992;i
ZZ;aconfci992;p0p100;1963;167324.3;992;i
ZZ;aconfci992;p0p100;1964;173914.1;992;i
ZZ;aconfci992;p0p100;1965;181215.3;992;i
ZZ;aconfci992;p0p100;1966;188975.6;992;i
ZZ;aconfci992;p0p100;1967;195687.2;992;i
ZZ;aconfci992;p0p100;1968;200636.4;992;i
ZZ;aconfci992;p0p100;1969;204194.1;992;i
ZZ;aconfci992;p0p100;1970;207437.9;992;i
ZZ;aconfci992;p0p100;1971;210372.4;992;i
ZZ;aconfci992;p0p100;1972;212876.3;992;i
ZZ;aconfci992;p0p100;1973;214770.7;992;i
ZZ;aconfci992;p0p100;1974;216394.4;992;i
ZZ;aconfci992;p0p100;1975;217644.2;992;i
ZZ;aconfci992;p0p100;1976;217756.6;992;i
ZZ;aconfci992;p0p100;1977;216017.5;992;i
ZZ;aconfci992;p0p100;1978;213143;992;i
ZZ;aconfci992;p0p100;1979;209847.7;992;i
ZZ;aconfci992;p0p100;1980;206069.1;992;i
ZZ;aconfci992;p0p100;1981;201427;992;i
ZZ;aconfci992;p0p100;1982;196398.9;992;i
ZZ;aconfci992;p0p100;1983;191349.4;992;i
ZZ;aconfci992;p0p100;1984;188176.6;992;i
ZZ;aconfci992;p0p100;1985;186732.6;992;i
ZZ;aconfci992;p0p100;1986;186437.8;992;i
ZZ;aconfci992;p0p100;1987;187588.8;992;i
ZZ;aconfci992;p0p100;1988;190667.4;992;i
ZZ;aconfci992;p0p100;1989;195879.6;992;i
ZZ;aconfci992;p0p100;1990;209229.6;992;i
ZZ;aconfci992;p0p100;1991;215931.9;992;i
ZZ;aconfci992;p0p100;1992;223537.6;992;i
ZZ;aconfci992;p0p100;1993;232028.3;992;i
ZZ;aconfci992;p0p100;1994;241568;992;i
ZZ;aconfci992;p0p100;1995;252182.4;992;i
ZZ;aconfci992;p0p100;1996;263161.8;992;i
ZZ;aconfci992;p0p100;1997;387502.1;992;i
ZZ;aconfci992;p0p100;1998;283085.6;992;i
ZZ;aconfci992;p0p100;1999;293462.1;992;i
ZZ;aconfci992;p0p100;2000;304605.6;992;i
ZZ;aconfci992;p0p100;2001;317550.6;992;i
ZZ;aconfci992;p0p100;2002;327607;992;i
ZZ;aconfci992;p0p100;2003;341634.4;992;i
ZZ;aconfci992;p0p100;2004;355009.7;992;i
ZZ;aconfci992;p0p100;2005;367297.3;992;i
ZZ;aconfci992;p0p100;2006;363506.8;992;i
ZZ;aconfci992;p0p100;2007;389513.5;992;i
ZZ;aconfci992;p0p100;2008;400716.2;992;i
ZZ;aconfci992;p0p100;2009;412808.9;992;i
ZZ;aconfci992;p0p100;2010;424970;992;i
ZZ;aconfci992;p0p100;2011;441416.6;992;i
ZZ;aconfci992;p0p100;2012;460775.4;992;i
ZZ;aconfci992;p0p100;2013;473214.7;992;i
ZZ;aconfci992;p0p100;2014;488117.6;992;i
ZZ;aconfci992;p0p100;2015;505529.4;992;i
ZZ;aconfci992;p0p100;2016;524691.6;992;i
ZZ;aconfci992;p0p100;2017;545057.4;992;i
ZZ;aconfci992;p0p100;2018;565015.3;992;i
ZZ;aconfci992;p0p100;2019;582752.6;992;i
ZZ;aconfci992;p0p100;2020;598849;992;i
ZZ;aconfci992;p0p100;2021;616122.6;992;i
ZZ;aconfci992;p0p100;2022;636526.9;992;i
ZZ;aconfci992;p0p100;2023;684034.3;992;i
ZZ;aconfci999;p0p100;1950;67234.5;999;i
ZZ;aconfci999;p0p100;1951;68470.40000000001;999;i
ZZ;aconfci999;p0p100;1952;69158;999;i
ZZ;aconfci999;p0p100;1953;69320.8;999;i
ZZ;aconfci999;p0p100;1954;69364.6;999;i
ZZ;aconfci999;p0p100;1955;69147.2;999;i
ZZ;aconfci999;p0p100;1956;68697.6;999;i
ZZ;aconfci999;p0p100;1957;68198.90000000001;999;i
ZZ;aconfci999;p0p100;1958;67848.5;999;i
ZZ;aconfci999;p0p100;1959;67866.2;999;i
ZZ;aconfci999;p0p100;1960;68279.1;999;i
ZZ;aconfci999;p0p100;1961;69185.90000000001;999;i
ZZ;aconfci999;p0p100;1962;70931.90000000001;999;i
ZZ;aconfci999;p0p100;1963;73349.6;999;i
ZZ;aconfci999;p0p100;1964;76204.1;999;i
ZZ;aconfci999;p0p100;1965;79394.90000000001;999;i
ZZ;aconfci999;p0p100;1966;82794.20000000001;999;i
ZZ;aconfci999;p0p100;1967;85747.40000000001;999;i
ZZ;aconfci999;p0p100;1968;87965.3;999;i
ZZ;aconfci999;p0p100;1969;89520;999;i
ZZ;aconfci999;p0p100;1970;90885;999;i
ZZ;aconfci999;p0p100;1971;92151;999;i
ZZ;aconfci999;p0p100;1972;93280.40000000001;999;i
ZZ;aconfci999;p0p100;1973;94151.5;999;i
ZZ;aconfci999;p0p100;1974;94845.3;999;i
ZZ;aconfci999;p0p100;1975;95344.70000000001;999;i
ZZ;aconfci999;p0p100;1976;95335.3;999;i
ZZ;aconfci999;p0p100;1977;94491.1;999;i
